Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.97),ID83D (ID8 0.998),ID83E (ID3 0.99),ID83F (ID6 0.997),ID83G (ID9 0.995),ID83H (ID4 0.999),ID83I (ID11 0.992),ID83J (ID14 1)
DEL,C,1,0,0.00351878,2e-08,0.00573984,0.03393217,0.0928129,0.02565434,0.34165867,0.00955479,0.00674496,0.00800586
DEL,C,1,1,3.704e-05,0.0002003,0.01206032,0.0207402,0.22080378,0.00101966,0.10243071,0.00134147,0.00087558,0.00022603
DEL,C,1,2,0,0,0.01448451,0.00011622,0.19248808,0.0055049,0.00097763,4.804e-05,0.01355352,2e-08
DEL,C,1,3,0.0027965,0.00180315,0.01040786,0.00431033,0.07263738,0.00019667,0.01109365,0.00059471,0.00112284,0.00028007
DEL,C,1,4,0.00413693,0.00040092,0.00030338,0.00032811,0.04584559,0.00175494,0.01387151,0.00075825,0.00298613,0.00180064
DEL,C,1,5+,0.01509932,0.00329151,0.00117445,0.00023382,0.02515558,0.00121594,0.00072834,0.00202692,0.00244383,0.00226149
DEL,T,1,0,0.00766807,0.00111418,0.11330888,0.03448174,0.0335591,0.00176351,0.10318006,0.00380201,0.00156681,0.0175537
DEL,T,1,1,0,0,0.16698319,0.01125529,0.00470508,0,0.02642882,0.00584062,0.01438389,1.24e-05
DEL,T,1,2,0.0069056,0.00081055,0.12728453,0.00628293,0.01505378,0.0115488,0.08187794,0.00024977,0.00044361,0.01050412
DEL,T,1,3,0.01982375,0.00224907,0.10027386,0.00678589,0.01384705,0.02244559,0.10932431,0.00025551,0.00071309,0.01702072
DEL,T,1,4,0.04645514,0.00441189,0.0536291,0.00068275,0.01093341,0.01773783,0.09072693,0.0002683,0.00222272,0.0131933
DEL,T,1,5+,0.81372858,0.00013901,0.00973436,0.00303028,0.00550569,0.00304768,0.02750807,0.00682665,0.02859854,0.03678895
INS,C,1,0,0,0,2.12e-06,2.44e-06,2.19e-06,1e-06,1.44e-06,2.09e-06,5.49e-06,0.46835242
INS,C,1,1,0.00014071,1e-08,2.178e-05,0.00022297,0.00553891,0.00133284,2.21e-06,3.185e-05,0.13099548,0.01207951
INS,C,1,2,6.4e-06,0,0.0021377,7.882e-05,0.00439228,2.43e-06,1.8e-07,4e-08,0.07925097,0.0001003
INS,C,1,3,0.00058172,0.00040701,0,0,0.00676665,7.568e-05,0.00011486,0.00016052,0.02915903,0.00159016
