Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3000
low confidence hdp.3,2271
low confidence hdp.4,2197
low confidence hdp.5,2196
low confidence hdp.6,1591
low confidence hdp.7,1231
low confidence hdp.8,1200
low confidence hdp.9,1000
low confidence hdp.10,1000
low confidence hdp.11,802
low confidence hdp.12,795
low confidence hdp.13,599
low confidence hdp.14,595
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,196
low confidence hdp.18,6
low confidence hdp.19,4
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
