prog,noise,seed,ex.sig,gt.sig,sim
mSigHdp,Noiseless,145879,hdp.3,ID1,1
mSigHdp,Noiseless,145879,hdp.1,ID2,1
mSigHdp,Noiseless,145879,hdp.7,ID3,1
mSigHdp,Noiseless,145879,hdp.4,ID4,0.999
mSigHdp,Noiseless,145879,hdp.10,ID5,1
mSigHdp,Noiseless,145879,hdp.8,ID6,1
mSigHdp,Noiseless,145879,hdp.6,ID8,1
mSigHdp,Noiseless,145879,hdp.5,ID9,1
mSigHdp,Noiseless,145879,hdp.2,ID11,0.991
mSigHdp,Noiseless,145879,hdp.11,ID13,1
mSigHdp,Noiseless,145879,hdp.9,ID14,0.999
signeR,Noiseless,145879,signeR.3,ID1,1
signeR,Noiseless,145879,signeR.1,ID2,1
signeR,Noiseless,145879,signeR.8,ID3,0.998
signeR,Noiseless,145879,signeR.12,ID4,0.992
signeR,Noiseless,145879,signeR.5,ID5,0.983
signeR,Noiseless,145879,signeR.9,ID6,1
signeR,Noiseless,145879,signeR.7,ID8,0.998
signeR,Noiseless,145879,signeR.11,ID9,0.999
signeR,Noiseless,145879,signeR.10,ID14,0.999
SigProfilerExtractor,Noiseless,145879,ID83A,ID2,1
SigProfilerExtractor,Noiseless,145879,ID83B,ID1,1
SigProfilerExtractor,Noiseless,145879,ID83C,ID5,0.982
SigProfilerExtractor,Noiseless,145879,ID83D,ID8,0.988
SigProfilerExtractor,Noiseless,145879,ID83E,ID3,0.992
SigProfilerExtractor,Noiseless,145879,ID83F,ID6,0.999
SigProfilerExtractor,Noiseless,145879,ID83G,ID9,0.995
SigProfilerExtractor,Noiseless,145879,ID83H,ID14,1
SigProfilerExtractor,Noiseless,145879,ID83I,ID4,0.995
SignatureAnalyzer,Noiseless,145879,W.1,ID2,1
SignatureAnalyzer,Noiseless,145879,W.2,ID1,1
SignatureAnalyzer,Noiseless,145879,W.4,ID13,0.986
SignatureAnalyzer,Noiseless,145879,W.5,ID6,0.996
SignatureAnalyzer,Noiseless,145879,W.6,ID4,1
SignatureAnalyzer,Noiseless,145879,W.7,ID9,0.994
SignatureAnalyzer,Noiseless,145879,W.8,ID5,0.991
SignatureAnalyzer,Noiseless,145879,W.9,ID3,0.99
SignatureAnalyzer,Noiseless,145879,W.10,ID8,0.999
mSigHdp,Noiseless,200437,hdp.1,ID2,1
mSigHdp,Noiseless,200437,hdp.2,ID1,0.999
mSigHdp,Noiseless,200437,hdp.3,ID6,1
mSigHdp,Noiseless,200437,hdp.4,ID5,1
mSigHdp,Noiseless,200437,hdp.5,ID11,0.992
mSigHdp,Noiseless,200437,hdp.6,ID13,1
mSigHdp,Noiseless,200437,hdp.7,ID9,1
mSigHdp,Noiseless,200437,hdp.8,ID8,1
mSigHdp,Noiseless,200437,hdp.9,ID4,0.999
mSigHdp,Noiseless,200437,hdp.10,ID3,1
mSigHdp,Noiseless,200437,hdp.11,ID14,1
signeR,Noiseless,200437,signeR.1,ID2,1
signeR,Noiseless,200437,signeR.2,ID1,1
signeR,Noiseless,200437,signeR.4,ID5,0.984
signeR,Noiseless,200437,signeR.5,ID8,0.999
signeR,Noiseless,200437,signeR.6,ID3,0.998
signeR,Noiseless,200437,signeR.7,ID6,1
signeR,Noiseless,200437,signeR.8,ID14,0.999
signeR,Noiseless,200437,signeR.9,ID9,0.999
signeR,Noiseless,200437,signeR.10,ID4,0.992
SigProfilerExtractor,Noiseless,200437,ID83A,ID2,1
SigProfilerExtractor,Noiseless,200437,ID83B,ID1,1
SigProfilerExtractor,Noiseless,200437,ID83C,ID5,0.966
SigProfilerExtractor,Noiseless,200437,ID83D,ID8,0.995
SigProfilerExtractor,Noiseless,200437,ID83E,ID3,0.991
SigProfilerExtractor,Noiseless,200437,ID83F,ID6,0.999
SigProfilerExtractor,Noiseless,200437,ID83G,ID9,0.996
SigProfilerExtractor,Noiseless,200437,ID83H,ID14,1
SigProfilerExtractor,Noiseless,200437,ID83I,ID4,0.991
SignatureAnalyzer,Noiseless,200437,W.1,ID11,0.997
SignatureAnalyzer,Noiseless,200437,W.2,ID8,0.999
SignatureAnalyzer,Noiseless,200437,W.3,ID9,0.994
SignatureAnalyzer,Noiseless,200437,W.4,ID1,1
SignatureAnalyzer,Noiseless,200437,W.5,ID3,0.995
SignatureAnalyzer,Noiseless,200437,W.6,ID6,0.996
SignatureAnalyzer,Noiseless,200437,W.7,ID5,0.998
SignatureAnalyzer,Noiseless,200437,W.8,ID4,1
SignatureAnalyzer,Noiseless,200437,W.10,ID13,0.985
SignatureAnalyzer,Noiseless,200437,W.11,ID2,1
mSigHdp,Noiseless,310111,hdp.1,ID11,0.991
mSigHdp,Noiseless,310111,hdp.2,ID5,1
mSigHdp,Noiseless,310111,hdp.3,ID2,1
mSigHdp,Noiseless,310111,hdp.4,ID13,1
mSigHdp,Noiseless,310111,hdp.5,ID8,1
mSigHdp,Noiseless,310111,hdp.6,ID4,0.999
mSigHdp,Noiseless,310111,hdp.7,ID3,1
mSigHdp,Noiseless,310111,hdp.8,ID1,1
mSigHdp,Noiseless,310111,hdp.9,ID14,0.999
mSigHdp,Noiseless,310111,hdp.10,ID6,1
mSigHdp,Noiseless,310111,hdp.11,ID9,1
signeR,Noiseless,310111,signeR.1,ID2,1
signeR,Noiseless,310111,signeR.3,ID1,1
signeR,Noiseless,310111,signeR.4,ID5,0.983
signeR,Noiseless,310111,signeR.6,ID8,0.99
signeR,Noiseless,310111,signeR.7,ID3,0.996
signeR,Noiseless,310111,signeR.8,ID6,0.997
signeR,Noiseless,310111,signeR.9,ID14,0.998
signeR,Noiseless,310111,signeR.10,ID4,0.99
SigProfilerExtractor,Noiseless,310111,ID83A,ID2,1
SigProfilerExtractor,Noiseless,310111,ID83B,ID1,1
SigProfilerExtractor,Noiseless,310111,ID83C,ID5,0.953
SigProfilerExtractor,Noiseless,310111,ID83D,ID8,0.996
SigProfilerExtractor,Noiseless,310111,ID83E,ID3,0.992
