Noise_level,Approach,mean(PPV),mean(TPR),mean(aver_Sim_TP_only),mean(Composite),sd(Composite)
Moderate,mSigHdp,1.000,1.000,0.998,3.00,0.000139
Moderate,SignatureAnalyzer,0.833,0.909,0.993,2.74,0.001063
Moderate,signeR,0.663,0.618,0.990,2.27,0.218537
Moderate,SigProfilerExtractor,1.000,0.818,0.991,2.81,0.002072
Noiseless,mSigHdp,0.983,1.000,0.999,2.98,0.037160
Noiseless,SignatureAnalyzer,0.904,0.855,0.995,2.75,0.055527
Noiseless,signeR,0.770,0.727,0.995,2.49,0.213940
Noiseless,SigProfilerExtractor,1.000,0.818,0.993,2.81,0.001177
Realistic,mSigHdp,0.919,1.000,0.993,2.91,0.054664
Realistic,NR_hdp_gb_1,0.799,1.000,0.988,2.79,0.049329
Realistic,NR_hdp_gb_50,0.716,1.000,0.990,2.71,0.039301
Realistic,SignatureAnalyzer,0.555,0.745,0.988,2.29,0.086660
Realistic,signeR,0.609,0.618,0.988,2.22,0.199993
Realistic,SigProfilerExtractor,0.940,0.818,0.988,2.75,0.054570
