Approach,Noise_level,Run,CPU_time
mSigHdp,Noiseless,seed.145879,275676.357
mSigHdp,Noiseless,seed.200437,263361.888
mSigHdp,Noiseless,seed.310111,219471.935
mSigHdp,Noiseless,seed.528401,259044.333
mSigHdp,Noiseless,seed.1076753,216814.621
mSigHdp,Moderate,seed.145879,267265.518
mSigHdp,Moderate,seed.200437,266432.397
mSigHdp,Moderate,seed.310111,228049.409
mSigHdp,Moderate,seed.528401,261922.354
mSigHdp,Moderate,seed.1076753,225311.298
mSigHdp,Realistic,seed.145879,323196.139
mSigHdp,Realistic,seed.200437,322170.498
mSigHdp,Realistic,seed.310111,329230.679
mSigHdp,Realistic,seed.528401,336591.984
mSigHdp,Realistic,seed.1076753,320264.262
signeR,Noiseless,seed.145879,1523194.72
signeR,Noiseless,seed.200437,1188790.249
signeR,Noiseless,seed.310111,1083419.238
signeR,Noiseless,seed.528401,1088708.397
signeR,Noiseless,seed.1076753,1049009.899
signeR,Moderate,seed.145879,1479041.939
signeR,Moderate,seed.200437,982505.813
signeR,Moderate,seed.310111,1109100.848
signeR,Moderate,seed.528401,1039210.345
signeR,Moderate,seed.1076753,1047273.894
signeR,Realistic,seed.145879,1347688.326
signeR,Realistic,seed.200437,1108226.596
signeR,Realistic,seed.310111,1665230.682
signeR,Realistic,seed.528401,1792770.17
signeR,Realistic,seed.1076753,1872213.106
SignatureAnalyzer,Noiseless,seed.145879,412906.065
SignatureAnalyzer,Noiseless,seed.200437,366838.588
SignatureAnalyzer,Noiseless,seed.310111,385014.158
SignatureAnalyzer,Noiseless,seed.528401,381421.909
SignatureAnalyzer,Noiseless,seed.1076753,343303.322
SignatureAnalyzer,Moderate,seed.145879,439081.644
SignatureAnalyzer,Moderate,seed.200437,465324.642
SignatureAnalyzer,Moderate,seed.310111,425990.684
SignatureAnalyzer,Moderate,seed.528401,349183.954000001
SignatureAnalyzer,Moderate,seed.1076753,373015.320000001
SignatureAnalyzer,Realistic,seed.145879,784410.168
SignatureAnalyzer,Realistic,seed.200437,645603.253
SignatureAnalyzer,Realistic,seed.310111,714643.859
SignatureAnalyzer,Realistic,seed.528401,697518.985
SignatureAnalyzer,Realistic,seed.1076753,674674.733
SigProfilerExtractor,Noiseless,seed.145879,2291542.66
SigProfilerExtractor,Noiseless,seed.200437,2272226.03
SigProfilerExtractor,Noiseless,seed.310111,2274198.46
SigProfilerExtractor,Noiseless,seed.528401,2312377.6
SigProfilerExtractor,Noiseless,seed.1076753,2262157.81
SigProfilerExtractor,Moderate,seed.145879,1471483.13
SigProfilerExtractor,Moderate,seed.200437,1456763.6
SigProfilerExtractor,Moderate,seed.310111,1465046.82
SigProfilerExtractor,Moderate,seed.528401,1457259.56
SigProfilerExtractor,Moderate,seed.1076753,1428303.79
SigProfilerExtractor,Realistic,seed.145879,90595.73
SigProfilerExtractor,Realistic,seed.200437,108789.62
SigProfilerExtractor,Realistic,seed.310111,106773.52
SigProfilerExtractor,Realistic,seed.528401,108625.06
SigProfilerExtractor,Realistic,seed.1076753,107019.45
