MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	0.00222907	0.00000030	0.00058618	0.02642980	0.08635070	0.02188628	0.00238839	0.38756124	0.00424537	0.00840934	0.00296079
1:Del:C:1	0.00000000	0.00000160	0.00875397	0.01954321	0.23701747	0.00087639	0.00305043	0.09993376	0.00032324	0.00002426	0.00008326
1:Del:C:2	0.00000000	0.00000000	0.00996429	0.00001964	0.21696846	0.00405984	0.00731444	0.00000000	0.00008930	0.00114475	0.00000000
1:Del:C:3	0.00149018	0.00144674	0.00870736	0.00481346	0.07658930	0.00001199	0.00483330	0.01011716	0.01159369	0.00063179	0.00051261
1:Del:C:4	0.00228156	0.00021188	0.00000412	0.00013163	0.04557413	0.00167388	0.00072676	0.01393052	0.01507707	0.00179749	0.00152657
1:Del:C:5	0.01126450	0.00081493	0.00001294	0.00000467	0.02677366	0.00085267	0.00057751	0.00003464	0.04580312	0.00193214	0.00358512
1:Del:T:0	0.00327407	0.00036025	0.14639076	0.03346767	0.02094934	0.00002521	0.04886527	0.12016590	0.03469796	0.00432780	0.01668594
1:Del:T:1	0.00000000	0.00000002	0.01278282	0.00285389	0.00436227	0.00000000	0.54139466	0.00212898	0.00000006	0.00070595	0.00000002
1:Del:T:2	0.00534653	0.00000620	0.17833594	0.00283426	0.00042375	0.00759910	0.03283121	0.09262834	0.01955298	0.00139415	0.00549832
1:Del:T:3	0.01288146	0.00040342	0.11949391	0.00176532	0.00088614	0.01885950	0.06307074	0.11630203	0.07395263	0.00308204	0.01333732
1:Del:T:4	0.02227478	0.00014734	0.06392418	0.00000000	0.00045650	0.01251481	0.00809299	0.09842647	0.22953611	0.00193522	0.00983454
1:Del:T:5	0.89283459	0.00061552	0.01133161	0.00015949	0.00062641	0.00009453	0.00102792	0.00393661	0.02228503	0.00044608	0.06132535
1:Ins:C:0	0.00000001	0.00000001	0.00000004	0.00000013	0.00000013	0.00000001	0.00000006	0.00000027	0.00000002	0.00000008	0.54744961
1:Ins:C:1	0.00017378	0.00000889	0.01125568	0.00215148	0.00376976	0.00140628	0.00101748	0.00000000	0.00216323	0.00004930	0.01429230
1:Ins:C:2	0.00000166	0.00000014	0.00875092	0.00172861	0.00333655	0.00000323	0.00187021	0.00000618	0.00130177	0.00006384	0.00043449
1:Ins:C:3	0.00023378	0.00061371	0.00140607	0.00000060	0.00845300	0.00000056	0.00016069	0.00000309	0.00307650	0.00064535	0.00072833
1:Ins:C:4	0.00185493	0.00089234	0.00002909	0.00002211	0.00836080	0.00022279	0.00024121	0.00006111	0.01215712	0.00000000	0.00073079
1:Ins:C:5	0.00351410	0.01667223	0.00000000	0.00000000	0.00808188	0.00000000	0.00174498	0.00001214	0.08125073	0.00033559	0.00231904
1:Ins:T:0	0.00058734	0.00196412	0.00006780	0.00295422	0.01856114	0.00659748	0.03223526	0.01297034	0.00729194	0.00371756	0.03924683
1:Ins:T:1	0.00000000	0.00000000	0.02050925	0.00437317	0.06343826	0.00007764	0.00644727	0.00604504	0.00365956	0.00030906	0.00273416
1:Ins:T:2	0.00024924	0.00000245	0.04673835	0.00010781	0.05396155	0.00000000	0.00773060	0.00001866	0.00497082	0.00000424	0.00133662
1:Ins:T:3	0.00059093	0.00292764	0.03086293	0.00018408	0.03077108	0.00003193	0.01348827	0.00007131	0.01117758	0.00028806	0.00030604
1:Ins:T:4	0.00159465	0.01292369	0.01679926	0.00038248	0.00802863	0.00042422	0.01237854	0.00173975	0.03651017	0.00067709	0.00479167
1:Ins:T:5	0.00159505	0.93699258	0.00139682	0.00172718	0.00285867	0.00727717	0.00197722	0.00381360	0.11869019	0.00069282	0.15532985
2:Del:R:0	0.00002884	0.00009507	0.02462181	0.00745032	0.00878413	0.00004848	0.02766874	0.01262073	0.00066498	0.09386862	0.00030524
2:Del:R:1	0.00211546	0.00000784	0.01939092	0.00757627	0.01174941	0.00017792	0.00649007	0.00036629	0.00921960	0.20752511	0.00544065
2:Del:R:2	0.00126115	0.00031782	0.00157727	0.00000135	0.01364578	0.00158712	0.00242232	0.00000304	0.00527268	0.04778252	0.00207544
2:Del:R:3	0.00092213	0.00011816	0.00000000	0.00000000	0.00643664	0.00038874	0.00000000	0.00000079	0.00078966	0.01067107	0.00006928
2:Del:R:4	0.00087488	0.00000250	0.00062045	0.00023561	0.00325983	0.00012957	0.00004342	0.00014762	0.00089603	0.00342426	0.00028859
2:Del:R:5	0.00000000	0.00000000	0.03034858	0.00004558	0.00047849	0.00000786	0.00943448	0.00000000	0.00030134	0.00118800	0.00000000
3:Del:R:0	0.00000000	0.00001146	0.01880251	0.01481638	0.00164415	0.00051495	0.01297061	0.00130228	0.00023636	0.00468889	0.00149521
3:Del:R:1	0.00204444	0.00260251	0.00116378	0.00005891	0.00000504	0.00385361	0.00058834	0.00063210	0.03152343	0.10579977	0.00404287
3:Del:R:2	0.00141104	0.00037146	0.00014181	0.00005945	0.00000000	0.00046104	0.00067888	0.00035849	0.00777164	0.01480352	0.00139098
3:Del:R:3	0.00025215	0.00016245	0.00048903	0.00025540	0.00003338	0.00011683	0.00009142	0.00019222	0.00310041	0.00372794	0.00033061
3:Del:R:4	0.00000000	0.00000000	0.00801058	0.00000518	0.00001604	0.00000000	0.00215019	0.00000000	0.00007957	0.00050753	0.00000411
3:Del:R:5	0.00000000	0.00000000	0.01245935	0.00000662	0.00013710	0.00002450	0.00269249	0.00000000	0.00013671	0.00041603	0.00001495
4:Del:R:0	0.00000084	0.00004156	0.00935180	0.00798832	0.00065915	0.00224912	0.01244565	0.00039055	0.00018300	0.00611163	0.00022269
4:Del:R:1	0.00118387	0.00022668	0.00014089	0.00042867	0.00104297	0.00240226	0.00007000	0.00216234	0.00887194	0.05928849	0.00005430
4:Del:R:2	0.00047694	0.00000000	0.00000000	0.00000000	0.00000000	0.00051350	0.00001794	0.00001350	0.00023000	0.01136479	0.00039738
4:Del:R:3	0.00000000	0.00000000	0.00434547	0.00000863	0.00011210	0.00009984	0.00212586	0.00000007	0.00006744	0.00398154	0.00000000
4:Del:R:4	0.00000000	0.00000002	0.00631470	0.00008781	0.00015795	0.00000872	0.00221005	0.00000000	0.00003664	0.00022036	0.00000000
4:Del:R:5	0.00010733	0.00001486	0.00200221	0.00000150	0.00004037	0.00009884	0.00055206	0.00000000	0.00072803	0.00068420	0.00002710
5:Del:R:0	0.00000000	0.00000000	0.00977515	0.31480911	0.00097809	0.01027843	0.01628822	0.00006873	0.00039541	0.00213827	0.00060705
5:Del:R:1	0.00318525	0.00000000	0.00000000	0.00000445	0.00000000	0.00746608	0.00094753	0.00003104	0.00174549	0.01260455	0.00018013
5:Del:R:2	0.00036459	0.00007161	0.00022330	0.00028418	0.00002267	0.00042640	0.00027152	0.00005526	0.00095756	0.00301546	0.00000069
5:Del:R:3	0.00007590	0.00000120	0.00028851	0.00000400	0.00001570	0.00018619	0.00005114	0.00006546	0.00055651	0.00094509	0.00006829
5:Del:R:4	0.00003983	0.00000065	0.00006410	0.00000003	0.00003451	0.00007313	0.00001721	0.00003728	0.00034636	0.00013879	0.00000883
5:Del:R:5	0.00002285	0.00001071	0.00076055	0.00000018	0.00000656	0.00000000	0.00061476	0.00004013	0.00005782	0.00013478	0.00000051
2:Ins:R:0	0.00013802	0.00050784	0.00608293	0.00184249	0.00234869	0.00198090	0.01163605	0.00058754	0.00147630	0.00085679	0.02680185
2:Ins:R:1	0.00020753	0.00000362	0.02790042	0.00122573	0.00272550	0.00004949	0.00678933	0.00116347	0.00060142	0.00031352	0.00000109
2:Ins:R:2	0.00077916	0.00014818	0.01067009	0.00029811	0.00121075	0.00035481	0.00200254	0.00043137	0.00263181	0.00001775	0.00114799
2:Ins:R:3	0.00027024	0.00032822	0.00141748	0.00030627	0.00086722	0.00036707	0.00096173	0.00039700	0.00247646	0.00030553	0.00099489
2:Ins:R:4	0.00141045	0.00189836	0.00001447	0.00002351	0.00018614	0.00004074	0.00023286	0.00007850	0.01160758	0.00008400	0.00369270
2:Ins:R:5	0.00815347	0.00990472	0.00017928	0.00021794	0.00000069	0.00000854	0.00266244	0.00003339	0.10930653	0.00000093	0.00011890
3:Ins:R:0	0.00000011	0.00004253	0.00521830	0.00037853	0.00023775	0.00103375	0.00175688	0.00046861	0.00011314	0.00015294	0.00823581
3:Ins:R:1	0.00070399	0.00025655	0.00753176	0.00036442	0.00031754	0.00007106	0.00527777	0.00044718	0.00430320	0.00038081	0.00305627
3:Ins:R:2	0.00011850	0.00002432	0.00193172	0.00000282	0.00010592	0.00082276	0.00048211	0.00000211	0.00068914	0.00114153	0.00028276
3:Ins:R:3	0.00000566	0.00013082	0.00000000	0.00002712	0.00000494	0.00030803	0.00009015	0.00001580	0.00018045	0.00000280	0.00029237
3:Ins:R:4	0.00008492	0.00007828	0.00001674	0.00009851	0.00001726	0.00014158	0.00001634	0.00003575	0.00054404	0.00011373	0.00088226
3:Ins:R:5	0.00155434	0.00070839	0.00002352	0.00003269	0.00000100	0.00000000	0.00016440	0.00000649	0.00810610	0.00000000	0.00206416
4:Ins:R:0	0.00000670	0.00000065	0.00237091	0.00070702	0.00013058	0.00169628	0.00293497	0.00000130	0.00002965	0.00041143	0.00533224
4:Ins:R:1	0.00065924	0.00036775	0.00382464	0.00070118	0.00002171	0.00063236	0.00548867	0.00075413	0.00711233	0.00157996	0.00194872
4:Ins:R:2	0.00000000	0.00003152	0.00036368	0.00016105	0.00015268	0.00040287	0.00020152	0.00002544	0.00006195	0.00005751	0.00006681
4:Ins:R:3	0.00024685	0.00005234	0.00000065	0.00000003	0.00000110	0.00039913	0.00001420	0.00000117	0.00020275	0.00007779	0.00078645
4:Ins:R:4	0.00009793	0.00034031	0.00000396	0.00010017	0.00000066	0.00000336	0.00004931	0.00015766	0.00097896	0.00026678	0.00149356
4:Ins:R:5	0.00151046	0.00054368	0.00063040	0.00092812	0.00000193	0.00003904	0.00081786	0.00000187	0.00866888	0.00004594	0.00014612
5:Ins:R:0	0.00000000	0.00000002	0.00560421	0.00000667	0.00006434	0.00882261	0.00369724	0.00000000	0.00007122	0.00004935	0.00289222
5:Ins:R:1	0.00002636	0.00165962	0.00162513	0.01157092	0.00029153	0.00574387	0.01525420	0.00101596	0.00146351	0.00204649	0.02549339
5:Ins:R:2	0.00000307	0.00021667	0.00037165	0.00001151	0.00000823	0.00136569	0.00024755	0.00000497	0.00029845	0.00005692	0.00054554
5:Ins:R:3	0.00005387	0.00018418	0.00027629	0.00003373	0.00006515	0.00005767	0.00002387	0.00013176	0.00076876	0.00000992	0.00010038
