"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.996578106752264
"SBS96B","SBS7b",0.999133870219725
"SBS96C","SBS4",0.98225418584033
"SBS96E","SBS3",0.948625515255172
"SBS96F","SBS40",0.935540041756212
"SBS96G","SBS2",0.999915516031738
"SBS96H","SBS17b",0.999555326571524
"SBS96I","SBS1",0.999997192235362
"SBS96J","SBS44",0.998864523290361
"SBS96K","SBS7c",0.999961281639354
"SBS96L","SBS12",0.994293382628595
"SBS96M","SBS18",0.994632736068222
"SBS96N","SBS16",0.985341794701121
"SBS96O","SBS29",0.904552985705118
"SBS96P","SBS17a",0.999989720859789
"SBS96Q","SBS7d",0.999217021148607
"SBS96R","SBS13",0.999980951184317
"SBS96S","SBS22",0.998542962038431
"SBS96T","SBS35",0.947756817085349
"SBS96U","SBS41",0.984916645774392
"SBS96V","SBS28",0.991344304849338
