"ex.sig","ref.sig","sim"
"signeR.1","SBS5",0.971167897708556
"signeR.2","SBS3",0.945590326323368
"signeR.3","SBS4",0.935023955090139
"signeR.4","SBS7a",0.990137563301661
"signeR.5","SBS18",0.978872538213998
"signeR.7","SBS7b",0.910672712654802
"signeR.8","SBS1",0.998392836598211
"signeR.9","SBS44",0.989334680923866
"signeR.11","SBS17b",0.999701386332446
"signeR.13","SBS2",0.99070121055182
"signeR.16","SBS13",0.999784334364283
"signeR.17","SBS7c",0.996598998317013
"signeR.18","SBS26",0.979699897719149
"signeR.19","SBS17a",0.998528397661997
"signeR.22","SBS7d",0.998105948401563
