Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15
DEL,C,1,0,0.0161065824186923,0.0135018829603158,0.00258701489888649,0.0081652890150592,0.197076799648064,0.0194810288065894,0.0178187901214747,0.00225082935010565,0.032982221008308,0.00953530958570552,0.0427869331333523,0.00715150828642629,0.0538105848247442,0.334991417953974,0.0292064789739921
DEL,C,1,1,0.0307376820040415,0.00721998007172213,0.000381380039714599,0.000679350158075224,0.121168799616006,0.0309920689261876,0.0241276717901063,0.00492513567266609,0.0112117727609633,0.00220544575451692,0.00118382818946034,0.00041170730007145,0.00165313016603177,0.0201074005565832,0.00441980481324409
DEL,C,1,2,0.0156719102766545,0.00723404951368345,1.09460658935612e-05,7.49827507491839e-05,0.121302591440903,0.0253335429278371,0.0213935573322995,0.000416090746191046,0.00196319233186741,0.00419633456911478,3.92901130701124e-05,5.77261558301239e-05,7.18752246100769e-05,0.00594077555033412,0.0182157273516938
DEL,C,1,3,0.0123439468246064,0.00123493096994161,0.00254117566633789,0.00454632539467316,0.0627841306489183,0.0142567523776382,0.0140823809733438,0.0196069838246569,0.00643859729736646,0.00204577547364692,0.0183262753485289,0.00359535925274036,0.00776252425788831,0.0539794030895366,0.020305554136222
DEL,C,1,4,0.00563872559856474,0.00126000431691658,0.00209079668720414,0.0159398417359783,0.0485866831244112,0.00302830500188954,0.00261893602279079,0.0023552213479666,0.00134282127177304,0.00192103306671723,0.0206546416143795,0.0091043950298869,0.0121708713673064,0.0474574647136263,0.00234019723059629
DEL,C,1,5+,0.00180671473243574,0.00101510451822399,0.00777770388609606,0.033564542663147,0.0260636462950536,0.00170342030009291,0.00291486340063266,0.0136177391549271,0.00169481834620168,0.00262458024180068,0.156301194590264,0.0112849188784135,0.248951819641103,0.0308828675698645,0.00236574523529712
DEL,T,1,0,0.0740859931144134,0.0106844943654173,0.00619954709103394,0.0424574539934161,0.0412485722193289,0.0970021072252975,0.11287148143476,0.0079623519123186,0.0297762887350186,0.022368808410632,0.0595911436668608,0.0267522611226321,0.0944440451376411,0.0466825809461914,0.0165244494404987
DEL,T,1,1,0.0074615517909626,0.00234740060196622,9.58813413412411e-06,0.000102926966157142,0.0110631217507838,0.0649201387932863,0.0980749645697298,0.00038802308638881,0.00773042656051957,0.0123744467674253,2.904051835617e-05,5.88153285816357e-05,0.000503126572270538,0.0114045393191021,0.141638138061417
DEL,T,1,2,0.021399184044061,0.0128646859408871,0.00594272502000626,0.0197202489041148,0.010845135121763,0.0850367839567052,0.0774205320588918,0.00547467090668882,0.0066125028790031,0.0137815411175922,0.0169169560753619,0.0239378387327257,0.0119552456934761,0.00681772734089887,0.0651627407899443
DEL,T,1,3,0.28861337744639,0.0108358495329231,0.0123748347053693,0.0942654930024681,0.0144504094920529,0.148621485547137,0.0649929324425856,0.00660968767588451,0.0114439005613973,0.00606747067306013,0.108643995702003,0.0672019587682763,0.0480126500395314,0.0129563898748521,0.00480813448469675
