Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11
DEL,C,1,0,9.37351024511951e-06,0.00358765108091731,0.00521110555204125,0.00568145270531822,0.0180778040427699,0.040677020132931,0.11368574459592,0.0287414469943737,0.363584902143335,0.00814394881504491,0.0109424004911774
DEL,C,1,1,0.000546817031793388,4.43473569840634e-05,2.6546670968519e-05,2.96817866849453e-05,0.020942357241674,0.0199455359947584,0.206595971060113,0.00511490608592524,0.101981828050306,0.000242812474380464,0.00291897099277923
DEL,C,1,2,1.76477995698112e-06,1.70555047626771e-06,2.11466643320564e-06,3.95691181091265e-06,0.0191005691715673,4.29287833763082e-05,0.176855947520533,0.00637325723466405,9.22289626540986e-05,0.000163138033531467,0.000746132694894226
DEL,C,1,3,0.00172125569687832,0.0023974170258574,0.00222510571007704,0.00348324949588359,0.0109698265631387,0.00453094216263667,0.0654861137856697,0.000176630717136348,0.011534508116312,0.00069565247788611,0.000985626543503731
DEL,C,1,4,0.000831012989964042,0.00331074886120881,0.00386476020173097,0.00479388196605264,0.00159971517692851,0.000149262346763552,0.0416135947298789,0.00235897562478993,0.0116268129949091,0.00177446299497832,0.00250117189879907
DEL,C,1,5+,0.00320949484469521,0.0120617877417263,0.0159023749278567,0.0192388689877692,0.00130857260044215,3.81096050629994e-05,0.0220846747627469,0.000998596648240494,0.000396033353814732,0.00332145769542163,0.00224125091046691
DEL,T,1,0,0.0014920209323135,0.00616686454088265,0.00849133239626225,0.0104840350439192,0.0995399376864828,0.0342166906869358,0.0386098547621572,0.00402356579620964,0.10601440602895,0.015271499377927,0.00762403846334486
DEL,T,1,1,1.88071160810568e-06,1.64696430339992e-06,2.27910187286503e-06,2.53752550140178e-06,0.155938171548721,0.0032865741301894,0.00565246538865234,6.5815128988067e-05,0.0302622932319246,0.000127287204383575,0.045777966681964
DEL,T,1,2,0.000806160530793478,0.00675623154203253,0.00706060625771263,0.00929004717720988,0.1100507466429,0.00471568823919695,0.0213657305167464,0.012370904120489,0.0897839423641531,0.00917266388480381,0.000211590590504096
DEL,T,1,3,0.00242361734024434,0.0175688023772635,0.0191681457055617,0.0278718557142827,0.0889279710782572,0.0053395842679798,0.0192486658119701,0.0231139998333301,0.121134531459817,0.0181163942454015,0.00286877967866852
DEL,T,1,4,0.00327951185865524,0.0380978098010649,0.0496078638692377,0.061729099047611,0.0475564697667338,3.23749268434854e-05,0.0157850622606106,0.0188856760355657,0.0982786605385697,0.0142929993607507,0.000928119382821823
