Signature,NumberOfPostSamples
low confidence hdp.1,3540
low confidence hdp.2,3420
low confidence hdp.3,3278
low confidence hdp.4,2639
low confidence hdp.5,2600
low confidence hdp.6,2599
low confidence hdp.7,2575
low confidence hdp.8,2233
low confidence hdp.9,2191
low confidence hdp.10,1200
low confidence hdp.11,1178
low confidence hdp.12,1101
low confidence hdp.13,926
low confidence hdp.14,800
low confidence hdp.15,709
low confidence hdp.16,692
low confidence hdp.17,604
low confidence hdp.18,600
low confidence hdp.19,600
low confidence hdp.20,566
low confidence hdp.21,535
low confidence hdp.22,452
low confidence hdp.23,408
low confidence hdp.24,400
low confidence hdp.25,400
low confidence hdp.26,370
low confidence hdp.27,364
low confidence hdp.28,360
low confidence hdp.29,341
low confidence hdp.30,317
low confidence hdp.31,315
low confidence hdp.32,307
low confidence hdp.33,302
low confidence hdp.34,240
low confidence hdp.35,239
low confidence hdp.36,235
low confidence hdp.37,220
low confidence hdp.38,213
low confidence hdp.39,213
low confidence hdp.40,200
low confidence hdp.41,200
low confidence hdp.42,200
low confidence hdp.43,172
low confidence hdp.44,172
low confidence hdp.45,166
low confidence hdp.46,166
low confidence hdp.47,161
low confidence hdp.48,160
low confidence hdp.49,157
low confidence hdp.50,156
low confidence hdp.51,150
low confidence hdp.52,145
low confidence hdp.53,130
low confidence hdp.54,128
low confidence hdp.55,128
low confidence hdp.56,125
low confidence hdp.57,121
low confidence hdp.58,119
low confidence hdp.59,115
low confidence hdp.60,96
low confidence hdp.61,89
low confidence hdp.62,85
low confidence hdp.63,78
low confidence hdp.64,70
low confidence hdp.65,61
low confidence hdp.66,59
low confidence hdp.67,57
low confidence hdp.68,49
low confidence hdp.69,48
low confidence hdp.70,48
low confidence hdp.71,47
low confidence hdp.72,47
low confidence hdp.73,42
low confidence hdp.74,34
low confidence hdp.75,24
low confidence hdp.76,24
low confidence hdp.77,23
low confidence hdp.78,22
low confidence hdp.79,22
low confidence hdp.80,20
low confidence hdp.81,20
low confidence hdp.82,20
low confidence hdp.83,19
low confidence hdp.84,19
low confidence hdp.85,19
low confidence hdp.86,19
low confidence hdp.87,19
low confidence hdp.88,16
low confidence hdp.89,15
low confidence hdp.90,15
low confidence hdp.91,15
low confidence hdp.92,14
low confidence hdp.93,14
low confidence hdp.94,14
low confidence hdp.95,14
low confidence hdp.96,14
low confidence hdp.97,12
low confidence hdp.98,10
low confidence hdp.99,10
low confidence hdp.100,7
low confidence hdp.101,6
low confidence hdp.102,6
low confidence hdp.103,5
low confidence hdp.104,5
low confidence hdp.105,5
low confidence hdp.106,4
low confidence hdp.107,4
low confidence hdp.108,4
low confidence hdp.109,4
low confidence hdp.110,4
low confidence hdp.111,4
low confidence hdp.112,4
low confidence hdp.113,4
low confidence hdp.114,4
low confidence hdp.115,4
low confidence hdp.116,4
low confidence hdp.117,4
low confidence hdp.118,4
low confidence hdp.119,3
low confidence hdp.120,3
low confidence hdp.121,3
low confidence hdp.122,2
low confidence hdp.123,2
low confidence hdp.124,2
low confidence hdp.125,2
low confidence hdp.126,2
low confidence hdp.127,2
low confidence hdp.128,2
low confidence hdp.129,2
low confidence hdp.130,2
low confidence hdp.131,2
low confidence hdp.132,2
low confidence hdp.133,2
low confidence hdp.134,2
low confidence hdp.135,2
low confidence hdp.136,2
low confidence hdp.137,2
low confidence hdp.138,2
low confidence hdp.139,2
low confidence hdp.140,2
low confidence hdp.141,2
low confidence hdp.142,2
low confidence hdp.143,2
low confidence hdp.144,2
low confidence hdp.145,2
low confidence hdp.146,2
low confidence hdp.147,2
low confidence hdp.148,2
low confidence hdp.149,2
low confidence hdp.150,2
low confidence hdp.151,2
low confidence hdp.152,2
low confidence hdp.153,2
low confidence hdp.154,2
low confidence hdp.155,2
low confidence hdp.156,2
low confidence hdp.157,2
low confidence hdp.158,2
low confidence hdp.159,2
