Approach,Noise_level,Run,Composite,aver_Sim_TP_only,PPV,TPR,N_sigs,FN,FP
mSigHdp.beta40,noisy.NB.size.10,seed.145879,2.839516393711733,0.993362547557887,0.846153846153846,1,13,0,2
mSigHdp.beta40,noisy.NB.size.10,seed.200437,2.839369108292796,0.99321526213895,0.846153846153846,1,13,0,2
mSigHdp.beta40,noisy.NB.size.10,seed.310111,2.838752658581037,0.992598812427191,0.846153846153846,1,13,0,2
mSigHdp.beta40,noisy.NB.size.10,seed.528401,2.909807395424927,0.99314072875826,0.916666666666667,1,12,0,1
mSigHdp.beta40,noisy.NB.size.10,seed.1076753,2.839472051827264,0.993318205673418,0.846153846153846,1,13,0,2
mSigHdp.beta50,noisy.NB.size.10,seed.145879,2.993232327481846,0.993232327481846,1,1,11,0,0
mSigHdp.beta50,noisy.NB.size.10,seed.200437,2.910209650218818,0.993542983552151,0.916666666666667,1,12,0,1
mSigHdp.beta50,noisy.NB.size.10,seed.310111,2.838915522313248,0.992761676159402,0.846153846153846,1,13,0,2
mSigHdp.beta50,noisy.NB.size.10,seed.528401,2.90931896354645,0.992652296879783,0.916666666666667,1,12,0,1
mSigHdp.beta50,noisy.NB.size.10,seed.1076753,2.910306767534728,0.993640100868061,0.916666666666667,1,12,0,1
mSigHdp.beta60,noisy.NB.size.10,seed.145879,2.839601434866978,0.993447588713132,0.846153846153846,1,13,0,2
mSigHdp.beta60,noisy.NB.size.10,seed.200437,2.90997077686608,0.993304110199413,0.916666666666667,1,12,0,1
mSigHdp.beta60,noisy.NB.size.10,seed.310111,2.838535965343244,0.992382119189398,0.846153846153846,1,13,0,2
mSigHdp.beta60,noisy.NB.size.10,seed.528401,2.7380496141569513,0.995625371732709,0.833333333333333,0.909090909090909,12,1,2
mSigHdp.beta60,noisy.NB.size.10,seed.1076753,2.839168482680495,0.993014636526649,0.846153846153846,1,13,0,2
mSigHdp.beta75,noisy.NB.size.10,seed.145879,2.838777704373915,0.992623858220069,0.846153846153846,1,13,0,2
mSigHdp.beta75,noisy.NB.size.10,seed.200437,2.725719731638096,0.992386398304763,0.733333333333333,1,15,0,4
mSigHdp.beta75,noisy.NB.size.10,seed.310111,2.909619542235113,0.992952875568446,0.916666666666667,1,12,0,1
mSigHdp.beta75,noisy.NB.size.10,seed.528401,2.909308136373828,0.992641469707161,0.916666666666667,1,12,0,1
mSigHdp.beta75,noisy.NB.size.10,seed.1076753,2.7260759296749,0.992742596341567,0.733333333333333,1,15,0,4
SigProfilerExtractor,noisy.NB.size.10,seed.145879,2.807562774986422,0.989380956804604,1,0.818181818181818,9,2,0
SigProfilerExtractor,noisy.NB.size.10,seed.200437,2.7078751644449532,0.989693346263135,0.9,0.818181818181818,10,2,1
SigProfilerExtractor,noisy.NB.size.10,seed.310111,2.7051821883381733,0.987000370156355,0.9,0.818181818181818,10,2,1
SigProfilerExtractor,noisy.NB.size.10,seed.528401,2.8051587754920977,0.98697695731028,1,0.818181818181818,9,2,0
SigProfilerExtractor,noisy.NB.size.10,seed.1076753,2.7072156903915,0.989033872209682,0.9,0.818181818181818,10,2,1
