Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3200
low confidence hdp.3,3200
low confidence hdp.4,2395
low confidence hdp.5,2250
low confidence hdp.6,1994
low confidence hdp.7,1451
low confidence hdp.8,1397
low confidence hdp.9,1368
low confidence hdp.10,1200
low confidence hdp.11,1200
low confidence hdp.12,1028
low confidence hdp.13,1000
low confidence hdp.14,800
low confidence hdp.15,800
low confidence hdp.16,594
low confidence hdp.17,400
low confidence hdp.18,199
low confidence hdp.19,6
low confidence hdp.20,3
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
