"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.98465264557203
"SBS96B","SBS7b",0.998436945488431
"SBS96C","SBS4",0.986103161039924
"SBS96D","SBS2",0.999916574703714
"SBS96F","SBS3",0.949761284970736
"SBS96G","SBS40",0.931600443509122
"SBS96H","SBS17b",0.999548157439062
"SBS96I","SBS1",0.999997013832802
"SBS96J","SBS44",0.99882523181371
"SBS96K","SBS7c",0.99995533077908
"SBS96L","SBS18",0.994571033692642
"SBS96M","SBS12",0.994343925733509
"SBS96O","SBS16",0.977955001493356
"SBS96P","SBS17a",0.999987977586235
"SBS96Q","SBS7d",0.998820138827023
"SBS96R","SBS13",0.999985216113034
"SBS96S","SBS22",0.994074146493152
"SBS96T","SBS41",0.98206396579231
"SBS96U","SBS28",0.991412441821839
