Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2485
low confidence hdp.3,2198
low confidence hdp.4,1538
low confidence hdp.5,1226
low confidence hdp.6,1189
low confidence hdp.7,1181
low confidence hdp.8,998
low confidence hdp.9,962
low confidence hdp.10,797
low confidence hdp.11,678
low confidence hdp.12,600
low confidence hdp.13,600
low confidence hdp.14,400
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,57
low confidence hdp.18,3
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
low confidence hdp.26,2
