"ex.sig","gt.sig","sim"
"signeR.12","SBS1",0.997940516712384
"signeR.10","SBS2",0.99839566331441
"signeR.7","SBS3",0.991697146104332
"signeR.3","SBS4",0.992612605800638
"signeR.5","SBS7a",0.926631788359101
"signeR.18","SBS7c",0.99815990110073
"signeR.21","SBS7d",0.928059559128905
"signeR.23","SBS13",0.998951726768485
"signeR.17","SBS17a",0.998780422991722
"signeR.11","SBS17b",0.999080508772204
"signeR.13","SBS18",0.992665106156412
"signeR.26","SBS22",0.976221772646011
"signeR.27","SBS28",0.978987061121483
"signeR.1","SBS40",0.988457625273587
"signeR.25","SBS41",0.977924471409876
"signeR.9","SBS44",0.980664245112265
