Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID1 0.51),ID83D (False Positive) (ID5 0.859),ID83E (ID8 0.986),ID83F (ID3 0.983),ID83G (ID6 0.993),ID83H (ID9 0.992),ID83I (ID13 0.987),ID83J (ID4 0.997),ID83K (ID11 0.998),ID83L (ID14 0.966)
DEL,C,1,0,0.00228796,0,0.00028422,0.00038881,0.0248738,0.09452865,0.02053322,0.40110736,0.00367007,0.00341143,0.00035889,0.00593137
DEL,C,1,1,1.5e-06,2.955e-05,2.176e-05,0.00335242,0.02011924,0.24463154,0.00087675,0.09580007,0.00483142,0.00043164,0.00018922,0
DEL,C,1,2,0,1e-08,0.0001204,0.00357937,0,0.22565895,0.00438028,0,0.00673189,2.144e-05,0.0035715,1e-08
DEL,C,1,3,0.00138418,0.00103235,0.01119413,0.0106439,0.0051496,0.07224417,5.23e-06,0.00833186,0.00634313,0.00112693,0.00090569,0.00051933
DEL,C,1,4,0.00261939,0.00031984,0.00956517,0.00024179,8.97e-06,0.04647455,0.00188453,0.01177128,0.00026118,0.00110353,0.00030778,0.00218795
DEL,C,1,5+,0.00917552,0.00093558,0.05313368,0.00050235,0,0.02554223,0.00064569,4.322e-05,0.00082432,0.00291114,0.0022337,0.00578949
DEL,T,1,0,0.00428276,6.059e-05,0.02695201,0.14895782,0.03661942,0.03034127,0.00032263,0.10773237,0.06067102,0.00614828,9.65e-05,0.01954239
DEL,T,1,1,0,1e-08,0.00075713,0.00293349,0.00521597,0.00252432,5.1e-07,0.00665237,0.49237241,0.00048323,4.7e-05,2e-08
DEL,T,1,2,0.00316284,5.775e-05,0.0215954,0.18501542,0.0029669,0.01048718,0.01061991,0.08616536,0.03363463,0.00195502,0.00030346,0.0099443
DEL,T,1,3,0.00814845,0.0003285,0.08441141,0.1285721,0.00115853,0.00406422,0.01893713,0.12840227,0.06348389,0.00235848,0.00096596,0.01787414
DEL,T,1,4,0.01992732,0.00020401,0.23312896,0.08344232,0,0.0034047,0.01342391,0.08935988,0.01013947,0.00130105,0.00045433,0.01602689
DEL,T,1,5+,0.9099308,0.00039147,0.02109506,0.01553954,0.00040602,0.00048871,0.00051724,0.00610581,0.00120986,0.00216615,0.00314782,0.01160341
INS,C,1,0,0,1e-08,0,1.43e-06,7.7e-07,2.7e-07,0.00234731,1.5e-07,5e-08,3.2e-07,1.3e-07,0.54334643
INS,C,1,1,0.00016941,0,3.688e-05,0.00024029,0.00012282,0.00010472,0.0009418,0,4.436e-05,0.00075791,0.14145846,0.0202805
INS,C,1,2,2.12e-06,9e-08,9.2e-07,0.00121839,0.00015436,0.00044823,1.58e-06,2.44e-06,0.00126204,0.00046081,0.09437579,0.00336809
INS,C,1,3,0.00033074,0.00067679,0.00158763,1.183e-05,0,0.00609385,2.82e-06,1.69e-06,7.165e-05,0.00035914,0.03337225,0.00264435
INS,C,1,4,0.00147593,0.0012139,0.0117443,0.00010865,0.00022736,0.0062954,0.00027494,1.51e-05,0.00018631,0.00032636,0.00987181,0.00266892
INS,C,1,5+,0.00327076,0.0164783,0.07966322,8.742e-05,2.44e-06,0.00694089,0,1.894e-05,0.00395261,0.00317754,0.01005791,0.00401889
INS,T,1,0,0.00074582,0.00170923,0.00633579,0.00933715,0.00263615,0.01992502,0.00628615,0.01196356,0.02683891,0.00424358,0.00107895,0.03405767
INS,T,1,1,0,0,0,0.00135419,0.00147101,0.05080161,4.04e-06,0.00468649,0.00502013,0.00172309,0.29507955,0.00934758
INS,T,1,2,0.00025711,1e-08,0.00257589,0.03690821,0,0.04242908,0,0,0.00680718,0.00067669,0.15564589,0.00558329
INS,T,1,3,0.00064593,0.00326325,0.00616953,0.01998106,1.072e-05,0.02731506,5.412e-05,0,0.01024261,0.0011545,0.11052596,0.00378288
INS,T,1,4,0.0008873,0.0137138,0.02980715,0.00959184,0.00024901,0.00746219,0.00065607,2.52e-06,0.01691161,0.0022791,0.05698257,0.00762003
INS,T,1,5+,0.00144519,0.9366743,0.16200112,0.00561202,0.00241936,0.00661309,0.00605276,0.00974029,0.00665865,0.01222654,0.03588384,0.12065316
DEL,repeats,2,0,1.381e-05,7.312e-05,5.403e-05,0.03171354,0.00750199,0.00674223,0.00065332,0.0110114,0.02748394,0.06983902,4.196e-05,0.00177197
DEL,repeats,2,1,0.00164142,5.91e-05,0.01025198,0.0205874,0.00623642,0.00857982,0.00093159,0.00025635,0.00884769,0.22142405,0.00132296,0.01038057
DEL,repeats,2,2,0.00129006,5.671e-05,0.00438766,0.00085606,1.47e-05,0.0138875,0.00154694,3.809e-05,0.00267387,0.04832366,0.00095017,0.0049414
DEL,repeats,2,3,0.00059097,0.0002658,0.00181449,6.27e-06,1.21e-06,0.00719826,0.00018398,0,3.389e-05,0.00902851,7.221e-05,0.00077996
DEL,repeats,2,4,0.00050833,5.63e-06,0.00336843,0.00087192,6.562e-05,0.00300974,0.00017985,0.00025993,0.00018524,0.00312467,0.00015382,0.00031464
DEL,repeats,2,5+,0,0,0.00253751,0.01613074,0.00036127,0.00055318,2e-08,1.221e-05,0.03911787,0.0006978,0.00498722,0.00015231
DEL,repeats,3,0,1.1e-06,2.434e-05,0.00020712,0.02415807,0.01272883,0.00103965,0.00083805,0.00160652,0.01018322,0.00485102,0.0006118,0.00113372
DEL,repeats,3,1,0.0030941,0.00280367,0.02186961,0.00228209,8.567e-05,1.248e-05,0.0045377,0.00116576,0.00171154,0.09654013,0.0016815,0.00819418
DEL,repeats,3,2,0.00176283,0.00018973,0.00659273,0.0002461,0.00038331,2.067e-05,0.00041024,0.00042326,0.00043124,0.01784705,0.00043564,0.00243047
DEL,repeats,3,3,0.00033306,0.00023691,0.0011147,0.00091695,0.00018758,1.742e-05,1.6e-07,2.248e-05,0.00015324,0.00426326,0.00026988,0.00063563
DEL,repeats,3,4,0,1e-08,0.00045346,0.00757694,1.234e-05,0.00014194,1e-08,0,0.00593582,0.00027615,0.00121506,4.041e-05
