Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,2798
low confidence hdp.3,1391
low confidence hdp.4,1335
low confidence hdp.5,1186
low confidence hdp.6,600
low confidence hdp.7,599
low confidence hdp.8,566
low confidence hdp.9,400
low confidence hdp.10,270
low confidence hdp.11,202
low confidence hdp.12,200
low confidence hdp.13,199
low confidence hdp.14,64
low confidence hdp.15,12
low confidence hdp.16,2
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
