Type,Subtype,Indel_size,Repeat_MH_size,hdp.0 (False Positive) (ID1 0.78),hdp.1 (ID2 0.998),hdp.2 (ID1 1),hdp.3 (ID5 0.991),hdp.4 (ID8 0.991),hdp.5 (ID6 0.995),hdp.6 (ID3 0.975),hdp.7 (False Positive) (ID5 0.919),hdp.8 (ID9 1),hdp.9 (ID14 0.97),hdp.10 (False Positive) (ID5 0.358),hdp.11 (ID13 0.998),hdp.12 (ID4 0.995),hdp.13 (ID11 0.978),hdp.14 (False Positive) (ID5 0.344)
DEL,C,1,0,0.0235550927409714,0.00229695041239799,0.000483203966519107,0.0206014289389823,0.0347316904212319,0.0302197774408638,0.137676360513872,0.0187497294375793,0.333890749870157,0.0112368750959637,0.0204669046091045,0.0479555144930023,0.0103396923029923,0.00883037409541329,0.0264853717303894
DEL,C,1,1,0.0424435911559316,3.14934763982184e-05,0.000453923636496682,0.027377592631865,0.0199622787042464,0.00611551109611941,0.15141074055018,0.0297891495251398,0.0973253197895836,0.00286906340222782,0.00231434479389451,0.0138237213371841,0.00221984704716665,0.00951121897099641,0.00107593781789147
DEL,C,1,2,0.0175173053141646,4.30360924827942e-07,1.60019640326657e-06,0.0261889188712745,0.00267895345925894,0.00844671630250435,0.215436245361809,0.0253680548115143,0.00241001954771518,0.000444231169203823,0.00514273331051451,0.00720170529151605,0.00326981365125199,0.00288387697598599,1.67923526330455e-06
DEL,C,1,3,0.011995611390894,0.0014928446601895,0.00154511802299411,0.0127137156974212,0.00572408503099551,0.000885545093590715,0.0712229750429644,0.015289237549333,0.0111786111965866,0.00119174603888284,0.00855049729735367,0.00422000948466731,0.00171229520514526,0.00232275345397057,0.0285626450925718
DEL,C,1,4,0.0133562797317318,0.00208422302561996,0.000789495018583735,0.00264248743940294,0.00116382175711302,0.00257904006215282,0.04322582849399,0.00361059311692883,0.0131518129801139,0.00232558927286017,0.0145385017055884,0.00401573772884522,0.00250048042860249,0.00320689515777886,0.02833197722615
DEL,C,1,5+,0.0325491088034573,0.0101851233796611,0.00239834150169042,0.00197511802393354,0.000622260525126074,0.00189139711501208,0.0254041435167727,0.00310436279805646,0.000801956947500922,0.00459222766929709,0.0206270577947956,0.00125712196532321,0.0024551234942865,0.000779788885604063,0.0048787634595335
DEL,T,1,0,0.0222141085691675,0.00414574226675585,0.00113259586632002,0.0790118656642199,0.0301648670855593,0.00277323245304522,0.0283261014731589,0.193742904593609,0.104889233238362,0.0195840834856913,0.0415938867661533,0.0408601603893988,0.00804671792587382,0.0153887188944534,0.0319103223997632
DEL,T,1,1,0.00370963413663542,1.6021847765999e-07,1.64897949160022e-06,0.105759005808649,0.0109292928854187,0.000845515783020552,0.00784228733761734,0.0715058992702885,0.038618416517646,0.000659546771375821,0.00322390628678173,0.519426393260831,0.00301953040771962,0.00919088497909331,2.30911087620361e-06
DEL,T,1,2,0.0152409773384153,0.00516535520180844,0.000775402060270173,0.13123494883216,0.00907441056800029,0.00963393144064803,0.0106328835883335,0.0928986285930306,0.0852912926838769,0.00735549631560765,0.0172861224032733,0.0187676878761467,0.00596599645805267,0.0188573095811846,0.0550673408100754
DEL,T,1,3,0.0483990891897099,0.0130058575353188,0.00217215476964183,0.0950093015527676,0.0102981268498516,0.0211865249434844,0.0153642673453831,0.0736039078612177,0.106389182291554,0.0150882811099901,0.0526341552171786,0.0573515038793243,0.00643414628771158,0.00572417312740565,0.0214213968657617
DEL,T,1,4,0.0603248130373606,0.0321087938795017,0.00349809471178362,0.0434824874973709,0.00152497579578044,0.0170706683768214,0.0138946294518996,0.0456721940656139,0.0946226058007686,0.012755107516862,0.427182358731844,0.014302290753802,0.00420733565838358,0.00646225910486325,0.1031566005893
DEL,T,1,5+,0.13936843109535,0.832386192497395,0.000993006726234389,0.0254806915129935,0.00912051569206685,0.00291816625486602,0.00795299656541727,0.0305391527298131,0.00426527815551077,0.0419805267174669,0.0126241957493996,0.00625167077107893,0.00192905949600279,0.0084241256830443,0.0123434283809691
