Signature,NumberOfPostSamples
low confidence hdp.1,3594
low confidence hdp.2,3399
low confidence hdp.3,3289
low confidence hdp.4,3003
low confidence hdp.5,2801
low confidence hdp.6,2800
low confidence hdp.7,2627
low confidence hdp.8,1801
low confidence hdp.9,1800
low confidence hdp.10,1772
low confidence hdp.11,1446
low confidence hdp.12,1301
low confidence hdp.13,1202
low confidence hdp.14,1200
low confidence hdp.15,1200
low confidence hdp.16,1148
low confidence hdp.17,1109
low confidence hdp.18,1070
low confidence hdp.19,1000
low confidence hdp.20,906
low confidence hdp.21,772
low confidence hdp.22,766
low confidence hdp.23,729
low confidence hdp.24,703
low confidence hdp.25,600
low confidence hdp.26,564
low confidence hdp.27,543
low confidence hdp.28,513
low confidence hdp.29,486
low confidence hdp.30,475
low confidence hdp.31,458
low confidence hdp.32,406
low confidence hdp.33,400
low confidence hdp.34,400
low confidence hdp.35,397
low confidence hdp.36,386
low confidence hdp.37,381
low confidence hdp.38,337
low confidence hdp.39,330
low confidence hdp.40,309
low confidence hdp.41,305
low confidence hdp.42,299
low confidence hdp.43,292
low confidence hdp.44,259
low confidence hdp.45,255
low confidence hdp.46,247
low confidence hdp.47,242
low confidence hdp.48,219
low confidence hdp.49,200
low confidence hdp.50,200
low confidence hdp.51,200
low confidence hdp.52,200
low confidence hdp.53,199
low confidence hdp.54,197
low confidence hdp.55,197
low confidence hdp.56,191
low confidence hdp.57,170
low confidence hdp.58,157
low confidence hdp.59,153
low confidence hdp.60,146
low confidence hdp.61,146
low confidence hdp.62,145
low confidence hdp.63,134
low confidence hdp.64,132
low confidence hdp.65,130
low confidence hdp.66,129
low confidence hdp.67,124
low confidence hdp.68,122
low confidence hdp.69,117
low confidence hdp.70,110
low confidence hdp.71,103
low confidence hdp.72,102
low confidence hdp.73,101
low confidence hdp.74,100
low confidence hdp.75,97
low confidence hdp.76,97
low confidence hdp.77,97
low confidence hdp.78,93
low confidence hdp.79,81
low confidence hdp.80,80
low confidence hdp.81,78
low confidence hdp.82,75
low confidence hdp.83,75
low confidence hdp.84,73
low confidence hdp.85,72
low confidence hdp.86,71
low confidence hdp.87,70
low confidence hdp.88,64
low confidence hdp.89,63
low confidence hdp.90,63
low confidence hdp.91,62
low confidence hdp.92,60
low confidence hdp.93,59
low confidence hdp.94,55
low confidence hdp.95,51
low confidence hdp.96,51
low confidence hdp.97,46
low confidence hdp.98,45
low confidence hdp.99,45
low confidence hdp.100,44
low confidence hdp.101,43
low confidence hdp.102,43
low confidence hdp.103,42
low confidence hdp.104,38
low confidence hdp.105,36
low confidence hdp.106,34
low confidence hdp.107,29
low confidence hdp.108,29
low confidence hdp.109,28
low confidence hdp.110,27
low confidence hdp.111,27
low confidence hdp.112,24
low confidence hdp.113,24
low confidence hdp.114,22
low confidence hdp.115,20
low confidence hdp.116,19
low confidence hdp.117,19
low confidence hdp.118,18
low confidence hdp.119,18
low confidence hdp.120,17
low confidence hdp.121,16
low confidence hdp.122,15
low confidence hdp.123,14
low confidence hdp.124,14
low confidence hdp.125,13
low confidence hdp.126,12
low confidence hdp.127,12
low confidence hdp.128,12
low confidence hdp.129,12
low confidence hdp.130,11
low confidence hdp.131,10
low confidence hdp.132,10
low confidence hdp.133,9
low confidence hdp.134,8
low confidence hdp.135,6
low confidence hdp.136,6
low confidence hdp.137,6
low confidence hdp.138,6
low confidence hdp.139,6
low confidence hdp.140,4
low confidence hdp.141,4
low confidence hdp.142,4
low confidence hdp.143,4
low confidence hdp.144,4
low confidence hdp.145,4
low confidence hdp.146,4
low confidence hdp.147,4
low confidence hdp.148,4
low confidence hdp.149,3
low confidence hdp.150,3
low confidence hdp.151,2
low confidence hdp.152,2
low confidence hdp.153,2
low confidence hdp.154,2
low confidence hdp.155,2
low confidence hdp.156,2
low confidence hdp.157,2
low confidence hdp.158,2
low confidence hdp.159,2
low confidence hdp.160,2
low confidence hdp.161,2
low confidence hdp.162,2
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
low confidence hdp.166,2
low confidence hdp.167,2
low confidence hdp.168,2
low confidence hdp.169,2
low confidence hdp.170,2
low confidence hdp.171,2
low confidence hdp.172,2
