Signature,NumberOfPostSamples
low confidence hdp.1,3000
low confidence hdp.2,2400
low confidence hdp.3,2199
low confidence hdp.4,2000
low confidence hdp.5,1600
low confidence hdp.6,1481
low confidence hdp.7,1400
low confidence hdp.8,1399
low confidence hdp.9,679
low confidence hdp.10,600
low confidence hdp.11,542
low confidence hdp.12,400
low confidence hdp.13,400
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,165
low confidence hdp.19,85
low confidence hdp.20,33
low confidence hdp.21,9
low confidence hdp.22,4
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
low confidence hdp.26,2
low confidence hdp.27,2
low confidence hdp.28,2
low confidence hdp.29,2
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
