Signature,NumberOfPostSamples
low confidence hdp.1,2327
low confidence hdp.2,2309
low confidence hdp.3,2053
low confidence hdp.4,1803
low confidence hdp.5,1799
low confidence hdp.6,1791
low confidence hdp.7,1699
low confidence hdp.8,1400
low confidence hdp.9,1373
low confidence hdp.10,1200
low confidence hdp.11,1192
low confidence hdp.12,888
low confidence hdp.13,800
low confidence hdp.14,601
low confidence hdp.15,600
low confidence hdp.16,600
low confidence hdp.17,584
low confidence hdp.18,530
low confidence hdp.19,505
low confidence hdp.20,498
low confidence hdp.21,476
low confidence hdp.22,452
low confidence hdp.23,400
low confidence hdp.24,368
low confidence hdp.25,342
low confidence hdp.26,298
low confidence hdp.27,275
low confidence hdp.28,230
low confidence hdp.29,222
low confidence hdp.30,206
low confidence hdp.31,200
low confidence hdp.32,200
low confidence hdp.33,200
low confidence hdp.34,200
low confidence hdp.35,200
low confidence hdp.36,200
low confidence hdp.37,179
low confidence hdp.38,174
low confidence hdp.39,157
low confidence hdp.40,156
low confidence hdp.41,150
low confidence hdp.42,145
low confidence hdp.43,128
low confidence hdp.44,121
low confidence hdp.45,119
low confidence hdp.46,118
low confidence hdp.47,115
low confidence hdp.48,97
low confidence hdp.49,91
low confidence hdp.50,74
low confidence hdp.51,73
low confidence hdp.52,68
low confidence hdp.53,56
low confidence hdp.54,52
low confidence hdp.55,49
low confidence hdp.56,48
low confidence hdp.57,46
low confidence hdp.58,45
low confidence hdp.59,43
low confidence hdp.60,42
low confidence hdp.61,33
low confidence hdp.62,31
low confidence hdp.63,22
low confidence hdp.64,20
low confidence hdp.65,20
low confidence hdp.66,19
low confidence hdp.67,19
low confidence hdp.68,19
low confidence hdp.69,15
low confidence hdp.70,14
low confidence hdp.71,14
low confidence hdp.72,14
low confidence hdp.73,14
low confidence hdp.74,13
low confidence hdp.75,10
low confidence hdp.76,10
low confidence hdp.77,8
low confidence hdp.78,7
low confidence hdp.79,6
low confidence hdp.80,5
low confidence hdp.81,5
low confidence hdp.82,4
low confidence hdp.83,4
low confidence hdp.84,4
low confidence hdp.85,4
low confidence hdp.86,4
low confidence hdp.87,4
low confidence hdp.88,4
low confidence hdp.89,3
low confidence hdp.90,2
low confidence hdp.91,2
low confidence hdp.92,2
low confidence hdp.93,2
low confidence hdp.94,2
low confidence hdp.95,2
low confidence hdp.96,2
low confidence hdp.97,2
low confidence hdp.98,2
low confidence hdp.99,2
low confidence hdp.100,2
low confidence hdp.101,2
low confidence hdp.102,2
low confidence hdp.103,2
low confidence hdp.104,2
low confidence hdp.105,2
low confidence hdp.106,2
low confidence hdp.107,2
low confidence hdp.108,2
low confidence hdp.109,2
low confidence hdp.110,2
low confidence hdp.111,2
low confidence hdp.112,2
low confidence hdp.113,2
