MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	0.00000000	0.00282404	0.01499007	0.04008245	0.10160367	0.26063415	0.03078763	0.01209590	0.00479656
1:Del:C:1	0.00001079	0.00000041	0.00769810	0.02076245	0.22669813	0.07447689	0.00220626	0.00087221	0.00038689
1:Del:C:2	0.00000000	0.00000000	0.00765719	0.00034772	0.20080108	0.00514995	0.00332034	0.00193774	0.00017241
1:Del:C:3	0.00194053	0.00293159	0.00614512	0.00542411	0.07247021	0.01086204	0.00003682	0.00124540	0.00054436
1:Del:C:4	0.00066170	0.00360867	0.00086881	0.00102118	0.04375682	0.01032371	0.00169993	0.00214347	0.00131290
1:Del:C:5	0.00255577	0.01465196	0.00029157	0.00207294	0.02578713	0.00149246	0.00098293	0.00230553	0.00335221
1:Del:T:0	0.00107353	0.00841016	0.09492236	0.03818061	0.02972753	0.11615066	0.00280532	0.00756159	0.01850920
1:Del:T:1	0.00000001	0.00000000	0.29714876	0.00487645	0.00149148	0.01757355	0.00002423	0.01942852	0.00000237
1:Del:T:2	0.00017892	0.00757269	0.09972218	0.00934854	0.00714033	0.10368159	0.01008966	0.00496040	0.00919517
1:Del:T:3	0.00192776	0.02017995	0.09218094	0.00919534	0.00797462	0.11043859	0.02237922	0.00689297	0.01693590
1:Del:T:4	0.00478153	0.04576373	0.04049118	0.00911100	0.00796866	0.09335485	0.01727716	0.00473278	0.01303532
1:Del:T:5	0.00025577	0.82022203	0.00301489	0.00074822	0.00066414	0.00234688	0.00005098	0.00074480	0.05977511
1:Ins:C:0	0.00000002	0.00000001	0.00000005	0.00000075	0.00000015	0.00000017	0.00199430	0.00000010	0.51651640
1:Ins:C:1	0.00001622	0.00018330	0.00460011	0.00202753	0.00524001	0.00318042	0.00142195	0.00024641	0.01315186
1:Ins:C:2	0.00000001	0.00000913	0.00445988	0.00167140	0.00371140	0.00244768	0.00003367	0.00021426	0.00042546
1:Ins:C:3	0.00075207	0.00024786	0.00050756	0.00039653	0.00822791	0.00070348	0.00000179	0.00073103	0.00061171
1:Ins:C:4	0.00136426	0.00249827	0.00000732	0.00084490	0.00809422	0.00043397	0.00028246	0.00011409	0.00076695
1:Ins:C:5	0.02278865	0.00806726	0.00000000	0.01082015	0.00824782	0.00448680	0.00001954	0.00256373	0.00361709
