Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I
DEL,C,1,0,0,0.00282404,0.01499007,0.04008245,0.10160367,0.26063415,0.03078763,0.0120959,0.00479656
DEL,C,1,1,1.079e-05,4.1e-07,0.0076981,0.02076245,0.22669813,0.07447689,0.00220626,0.00087221,0.00038689
DEL,C,1,2,0,0,0.00765719,0.00034772,0.20080108,0.00514995,0.00332034,0.00193774,0.00017241
DEL,C,1,3,0.00194053,0.00293159,0.00614512,0.00542411,0.07247021,0.01086204,3.682e-05,0.0012454,0.00054436
DEL,C,1,4,0.0006617,0.00360867,0.00086881,0.00102118,0.04375682,0.01032371,0.00169993,0.00214347,0.0013129
DEL,C,1,5+,0.00255577,0.01465196,0.00029157,0.00207294,0.02578713,0.00149246,0.00098293,0.00230553,0.00335221
DEL,T,1,0,0.00107353,0.00841016,0.09492236,0.03818061,0.02972753,0.11615066,0.00280532,0.00756159,0.0185092
DEL,T,1,1,1e-08,0,0.29714876,0.00487645,0.00149148,0.01757355,2.423e-05,0.01942852,2.37e-06
DEL,T,1,2,0.00017892,0.00757269,0.09972218,0.00934854,0.00714033,0.10368159,0.01008966,0.0049604,0.00919517
DEL,T,1,3,0.00192776,0.02017995,0.09218094,0.00919534,0.00797462,0.11043859,0.02237922,0.00689297,0.0169359
DEL,T,1,4,0.00478153,0.04576373,0.04049118,0.009111,0.00796866,0.09335485,0.01727716,0.00473278,0.01303532
DEL,T,1,5+,0.00025577,0.82022203,0.00301489,0.00074822,0.00066414,0.00234688,5.098e-05,0.0007448,0.05977511
INS,C,1,0,2e-08,1e-08,5e-08,7.5e-07,1.5e-07,1.7e-07,0.0019943,1e-07,0.5165164
INS,C,1,1,1.622e-05,0.0001833,0.00460011,0.00202753,0.00524001,0.00318042,0.00142195,0.00024641,0.01315186
INS,C,1,2,1e-08,9.13e-06,0.00445988,0.0016714,0.0037114,0.00244768,3.367e-05,0.00021426,0.00042546
INS,C,1,3,0.00075207,0.00024786,0.00050756,0.00039653,0.00822791,0.00070348,1.79e-06,0.00073103,0.00061171
INS,C,1,4,0.00136426,0.00249827,7.32e-06,0.0008449,0.00809422,0.00043397,0.00028246,0.00011409,0.00076695
INS,C,1,5+,0.02278865,0.00806726,0,0.01082015,0.00824782,0.0044868,1.954e-05,0.00256373,0.00361709
INS,T,1,0,0.00242157,0.00083399,0.01792845,0.0042951,0.01650294,0.01116538,0.00641908,0.00516813,0.03638878
INS,T,1,1,7.3e-07,0,0.01195165,0.00373724,0.05887937,0.01267668,0.00013371,0.00092531,0.00263136
INS,T,1,2,2.36e-06,0.00052045,0.02307177,0.00098123,0.05353124,0.01220644,0,0.00087569,0.00179278
INS,T,1,3,0.00374732,0.00098143,0.01986526,0.00238749,0.03026067,0.00886158,5.128e-05,0.00121177,0.00069372
INS,T,1,4,0.01566573,0.00312935,0.0135634,0.00621806,0.00804886,0.00894375,0.00046771,0.0021129,0.00419777
INS,T,1,5+,0.90377047,0.00672179,0.000389,0.00647168,0.00205493,0.00821051,0.00658619,0.00117021,0.16512888
DEL,repeats,2,0,7.228e-05,0.00017175,0.02580665,0.00764337,0.00881138,0.01500087,0.0003464,0.08991688,0.00178205
DEL,repeats,2,1,0.00019349,0.00264326,0.01134688,0.00737732,0.01164099,0.00528574,0.00048861,0.1920373,0.00828664
DEL,repeats,2,2,0.00045115,0.00146566,0.00197898,0.00014065,0.01263767,0.00057939,0.00154002,0.04440503,0.00276635
DEL,repeats,2,3,8.49e-05,0.00107685,0,6.39e-06,0.00603727,1.157e-05,0.00034724,0.00959763,0.00029562
DEL,repeats,2,4,4.4e-07,0.00099773,0.00023073,0.00020699,0.00315294,0.00028684,0.00012168,0.00326541,0.00049908
DEL,repeats,2,5+,1e-08,1e-08,0.01820366,0.00057374,0.00022691,0.00804608,5.01e-06,0.00183753,0.00031051
DEL,repeats,3,0,1.576e-05,4.786e-05,0.01470028,0.01300936,0.00150111,0.00665833,0.00100651,0.0054248,0.00147777
DEL,repeats,3,1,0.00408803,0.00403347,0.00024713,0.00330095,2.111e-05,0.00252688,0.00389944,0.10236353,0.00515689
DEL,repeats,3,2,0.00066169,0.00194544,0.00048716,0.00037698,4.01e-06,0.00054817,0.00055905,0.01357241,0.00169605
DEL,repeats,3,3,0.00028846,0.00050892,0.00027406,0.00051924,4.656e-05,0.00043957,0.00012466,0.00365328,0.00023337
DEL,repeats,3,4,2e-08,3e-08,0.00481744,0.00014008,4.4e-06,0.00194641,1e-08,0.00064721,9.557e-05
