Data_set,Noise_level,Approach,Run,cpu_time,CPU.days
SBS_set1,Realistic,mSigHdp,seed.1076753,17875397.175,206.891171006944
SBS_set1,Realistic,mSigHdp,seed.145879,17777271.397,205.755455983796
SBS_set1,Realistic,mSigHdp,seed.200437,17756133.684,205.510806527778
SBS_set1,Realistic,mSigHdp,seed.310111,17459401.501,202.076406261574
SBS_set1,Realistic,mSigHdp,seed.528401,18103805.217,209.534782604167
SBS_set1,Realistic,NR_hdp_gb_1,seed.1076753,44903442.705,519.715772048611
SBS_set1,Realistic,NR_hdp_gb_1,seed.145879,44455802.97,514.534756597222
SBS_set1,Realistic,NR_hdp_gb_1,seed.200437,45117615.791,522.194627210648
SBS_set1,Realistic,NR_hdp_gb_1,seed.310111,44956989.098,520.335521967593
SBS_set1,Realistic,NR_hdp_gb_1,seed.528401,43134899.532,499.246522361111
SBS_set1,Realistic,NR_hdp_gb_20,seed.1076753,14086166.971,163.03433994213
SBS_set1,Realistic,NR_hdp_gb_20,seed.145879,14125877.708,163.493954953704
SBS_set1,Realistic,NR_hdp_gb_20,seed.200437,14113375.146,163.349249375
SBS_set1,Realistic,NR_hdp_gb_20,seed.310111,14020604.483,162.275514849537
SBS_set1,Realistic,NR_hdp_gb_20,seed.528401,14494105.136,167.755846481482
SBS_set1,Realistic,SignatureAnalyzer,seed.1076753,4016281.778,46.4847428009259
SBS_set1,Realistic,SignatureAnalyzer,seed.145879,4245677.486,49.1397857175926
SBS_set1,Realistic,SignatureAnalyzer,seed.200437,4232091.226,48.982537337963
SBS_set1,Realistic,SignatureAnalyzer,seed.310111,4122607.682,47.7153666898148
SBS_set1,Realistic,SignatureAnalyzer,seed.528401,4233571.47,48.9996697916667
SBS_set1,Realistic,signeR,seed.1076753,4007599.722,46.3842560416667
SBS_set1,Realistic,signeR,seed.145879,4072954.083,47.1406722569445
SBS_set1,Realistic,signeR,seed.200437,4106450.776,47.528365462963
SBS_set1,Realistic,signeR,seed.310111,4023129.604,46.5640000462963
SBS_set1,Realistic,signeR,seed.528401,3519467.009,40.7345718634259
SBS_set1,Realistic,SigProfilerExtractor,seed.1076753,731491.74,8.46633958333333
SBS_set1,Realistic,SigProfilerExtractor,seed.145879,720775.19,8.34230543981481
SBS_set1,Realistic,SigProfilerExtractor,seed.200437,773246.7,8.94961458333333
SBS_set1,Realistic,SigProfilerExtractor,seed.310111,791179.96,9.15717546296296
SBS_set1,Realistic,SigProfilerExtractor,seed.528401,782587.6,9.05772685185185
SBS_set2,Realistic,mSigHdp,seed.1076753,24462112.846,283.126306087963
SBS_set2,Realistic,mSigHdp,seed.145879,23800788.824,275.47209287037
SBS_set2,Realistic,mSigHdp,seed.200437,25439862.31,294.442850810185
SBS_set2,Realistic,mSigHdp,seed.310111,24911450.045,288.326968113426
SBS_set2,Realistic,mSigHdp,seed.528401,25037565.107,289.78663318287
SBS_set2,Realistic,NR_hdp_gb_20,seed.1076753,31082611.152,359.752443888889
SBS_set2,Realistic,NR_hdp_gb_20,seed.145879,30574178.921,353.867811585648
SBS_set2,Realistic,NR_hdp_gb_20,seed.200437,31421002.22,363.669007175926
SBS_set2,Realistic,NR_hdp_gb_20,seed.310111,30687345.959,355.177615266204
SBS_set2,Realistic,NR_hdp_gb_20,seed.528401,31536141.721,365.001640289352
SBS_set2,Realistic,SignatureAnalyzer,seed.1076753,6397205.75,74.0417332175926
SBS_set2,Realistic,SignatureAnalyzer,seed.145879,5310002.954,61.4583675231482
SBS_set2,Realistic,SignatureAnalyzer,seed.200437,5603919.865,64.8601836226852
SBS_set2,Realistic,SignatureAnalyzer,seed.310111,6500565.178,75.2380228935185
SBS_set2,Realistic,SignatureAnalyzer,seed.528401,5898554.229,68.2703035763889
SBS_set2,Realistic,signeR,seed.1076753,1538994.096,17.8124316666667
SBS_set2,Realistic,signeR,seed.145879,1656785.884,19.1757625462963
SBS_set2,Realistic,signeR,seed.200437,1569906.974,18.1702196064815
SBS_set2,Realistic,signeR,seed.310111,1390289.565,16.0913144097222
SBS_set2,Realistic,signeR,seed.528401,1442116.337,16.6911613078704
SBS_set2,Realistic,SigProfilerExtractor,seed.1076753,3848239.21,44.5398056712963
SBS_set2,Realistic,SigProfilerExtractor,seed.145879,3749668.53,43.3989413194444
SBS_set2,Realistic,SigProfilerExtractor,seed.200437,3949493.73,45.7117329861111
SBS_set2,Realistic,SigProfilerExtractor,seed.310111,3846206.98,44.5162844907407
SBS_set2,Realistic,SigProfilerExtractor,seed.528401,3974440.67,46.0004707175926
SBS_set1,Realistic,mSigHdp_ds_3k,seed.1076753,1694469.415,19.611914525463
SBS_set1,Realistic,mSigHdp_ds_3k,seed.145879_old,1378118.505,15.9504456597222
SBS_set1,Realistic,mSigHdp_ds_3k,seed.200437,1459552.914,16.8929735416667
SBS_set1,Realistic,mSigHdp_ds_3k,seed.310111,1414006.838,16.3658198842593
SBS_set1,Realistic,mSigHdp_ds_3k,seed.528401,1616929.555,18.7144624421296
SBS_set2,Realistic,mSigHdp_ds_3k,seed.1076753,2989747.226,34.6035558564815
SBS_set2,Realistic,mSigHdp_ds_3k,seed.145879,3014169.645,34.8862227430556
SBS_set2,Realistic,mSigHdp_ds_3k,seed.200437,3007256.781,34.8062127430556
SBS_set2,Realistic,mSigHdp_ds_3k,seed.310111,3015428.688,34.900795
SBS_set2,Realistic,mSigHdp_ds_3k,seed.528401,3015978.896,34.9071631481482
