Data_set,Noise_level,Approach,Run,cpu_time
indel_set1,Moderate,signeR,seed.310111,185855.678
indel_set1,Moderate,signeR,seed.528401,131694.975
indel_set1,Noiseless,signeR,seed.1076753,201794.947
indel_set1,Noiseless,signeR,seed.145879,188014.448
indel_set1,Noiseless,signeR,seed.200437,137291.71
indel_set1,Noiseless,signeR,seed.310111,179921.541
indel_set1,Noiseless,signeR,seed.528401,138254.188
indel_set1,Realistic,signeR,seed.1076753,177144.868
indel_set1,Realistic,signeR,seed.145879,181433.406
indel_set1,Realistic,signeR,seed.200437,185361.546
indel_set1,Realistic,signeR,seed.310111,179265.619
indel_set1,Realistic,signeR,seed.528401,177817.998
indel_set1,Moderate,SigProfilerExtractor,seed.1076753,72902.05
indel_set1,Moderate,SigProfilerExtractor,seed.145879,71518.1500000001
indel_set1,Moderate,SigProfilerExtractor,seed.200437,72177.6899999999
indel_set1,Moderate,SigProfilerExtractor,seed.310111,73109.09
indel_set1,Moderate,SigProfilerExtractor,seed.528401,72686.63
indel_set1,Noiseless,SigProfilerExtractor,seed.1076753,98757.66
indel_set1,Noiseless,SigProfilerExtractor,seed.145879,98145.5
indel_set1,Noiseless,SigProfilerExtractor,seed.200437,98290.46
indel_set1,Noiseless,SigProfilerExtractor,seed.310111,98914.48
indel_set1,Noiseless,SigProfilerExtractor,seed.528401,98892.28
indel_set1,Realistic,SigProfilerExtractor,seed.1076753,56258.58
indel_set1,Realistic,SigProfilerExtractor,seed.145879,55978.5899999999
indel_set1,Realistic,SigProfilerExtractor,seed.200437,56084.74
indel_set1,Realistic,SigProfilerExtractor,seed.310111,56169.58
indel_set1,Realistic,SigProfilerExtractor,seed.528401,57025.85
indel_set2,Realistic,mSigHdp,seed.1076753,533893.184
indel_set2,Realistic,mSigHdp,seed.145879,532916.036
indel_set2,Realistic,mSigHdp,seed.200437,536523.725
indel_set2,Realistic,mSigHdp,seed.310111,531947.478
indel_set2,Realistic,mSigHdp,seed.528401,532347.413
indel_set2,Noiseless,NR_hdp_gb_1,seed.1076753,415791.954
indel_set2,Noiseless,NR_hdp_gb_1,seed.145879,398061.222
indel_set2,Noiseless,NR_hdp_gb_1,seed.200437,396869.703
indel_set2,Noiseless,NR_hdp_gb_1,seed.310111,413312.657
indel_set2,Noiseless,NR_hdp_gb_1,seed.528401,398714.307
indel_set2,Realistic,NR_hdp_gb_1,seed.1076753,586859.103
indel_set2,Realistic,NR_hdp_gb_1,seed.145879,593516.509
