Approach,mean_comp,sd_comp,mean_PPV,mean_TPR,mean_cos
mSigHdp,2.89126609095757,0.0465398613207876,0.899139194139194,1,0.992126896818377
NR_hdp_gb_1,2.77773964862972,0.0568172822382033,0.788985855475794,1,0.988753793153922
NR_hdp_gb_50,2.75519290760762,0.0631624218393159,0.764926470588235,1,0.990266437019388
SignatureAnalyzer,2.25083650601591,0.110574426447329,0.560952380952381,0.703496503496504,0.986387621567028
signeR,2.16595569260838,0.166389905962888,0.591120589936379,0.586013986013986,0.988821116658019
SigProfilerExtractor,2.66923944799706,0.0892915577710005,0.886666666666667,0.793706293706294,0.988866487624101
