Data_set,Approach,mean_PPV,mean_TPR,mean_cos,mean_comp,sd_comp
indel_set1,mSigHdp,0.919230769230769,1,0.993165876988249,2.91239664621902,0.0546637576707219
indel_set1,NR_hdp_gb_1,0.799413919413919,1,0.988397888148069,2.78781180756199,0.0493291019627675
indel_set1,SigProfilerExtractor,0.94,0.818181818181818,0.988417302390641,2.74659912057246,0.0545701084292181
indel_set1,NR_hdp_gb_50,0.716078431372549,1,0.989606781697222,2.70568521306977,0.0393005496609551
indel_set1,SignatureAnalyzer,0.555238095238095,0.745454545454546,0.987771409499319,2.28846405019196,0.0866601921728115
indel_set1,signeR,0.609358974358974,0.618181818181818,0.988401214590531,2.21594200713132,0.199993248809202
indel_set2,mSigHdp,0.879047619047619,1,0.991087916648505,2.87013553569612,0.0277313854617788
indel_set2,NR_hdp_gb_50,0.813774509803922,1,0.990926092341555,2.80470060214548,0.0361149996342356
indel_set2,NR_hdp_gb_1,0.778557791537668,1,0.989109698159774,2.76766748969744,0.0676496618451243
indel_set2,SigProfilerExtractor,0.833333333333333,0.769230769230769,0.989315672857561,2.59187977542166,0.000126744736802568
indel_set2,SignatureAnalyzer,0.566666666666667,0.661538461538462,0.985003833634737,2.21320896183987,0.128298536254787
indel_set2,signeR,0.572882205513785,0.553846153846154,0.989241018725506,2.11596937808545,0.126683555152344
