dataset_name,sig_names,sigs_prev_prop,Approach,num_seeds_with_miss,num_seeds_with_hit
SBS_set1,SBS5,0.940740740740741,mSigHdp,0,5
SBS_set1,SBS5,0.940740740740741,SigProfilerExtractor,5,0
SBS_set1,SBS1,0.92962962962963,mSigHdp,0,5
SBS_set1,SBS1,0.92962962962963,SigProfilerExtractor,0,5
SBS_set1,SBS40,0.377777777777778,mSigHdp,0,5
SBS_set1,SBS40,0.377777777777778,SigProfilerExtractor,0,5
SBS_set1,SBS2,0.333333333333333,mSigHdp,0,5
SBS_set1,SBS2,0.333333333333333,SigProfilerExtractor,0,5
SBS_set1,SBS13,0.327777777777778,mSigHdp,0,5
SBS_set1,SBS13,0.327777777777778,SigProfilerExtractor,0,5
SBS_set1,SBS18,0.288888888888889,mSigHdp,0,5
SBS_set1,SBS18,0.288888888888889,SigProfilerExtractor,0,5
SBS_set1,SBS17a,0.2,mSigHdp,0,5
SBS_set1,SBS17a,0.2,SigProfilerExtractor,0,5
SBS_set1,SBS17b,0.198148148148148,mSigHdp,0,5
SBS_set1,SBS17b,0.198148148148148,SigProfilerExtractor,0,5
SBS_set1,SBS3,0.194444444444444,mSigHdp,0,5
SBS_set1,SBS3,0.194444444444444,SigProfilerExtractor,0,5
SBS_set1,SBS4,0.105555555555556,mSigHdp,0,5
SBS_set1,SBS4,0.105555555555556,SigProfilerExtractor,0,5
SBS_set1,SBS7d,0.0981481481481482,mSigHdp,0,5
SBS_set1,SBS7d,0.0981481481481482,SigProfilerExtractor,0,5
SBS_set1,SBS7a,0.0962962962962963,mSigHdp,2,3
SBS_set1,SBS7a,0.0962962962962963,SigProfilerExtractor,0,5
SBS_set1,SBS7b,0.0944444444444444,mSigHdp,1,4
SBS_set1,SBS7b,0.0944444444444444,SigProfilerExtractor,0,5
SBS_set1,SBS7c,0.087037037037037,mSigHdp,0,5
SBS_set1,SBS7c,0.087037037037037,SigProfilerExtractor,0,5
SBS_set1,SBS12,0.0666666666666667,mSigHdp,0,5
SBS_set1,SBS12,0.0666666666666667,SigProfilerExtractor,4,1
SBS_set1,SBS29,0.0425925925925926,mSigHdp,0,5
SBS_set1,SBS29,0.0425925925925926,SigProfilerExtractor,5,0
SBS_set1,SBS41,0.0314814814814815,mSigHdp,0,5
SBS_set1,SBS41,0.0314814814814815,SigProfilerExtractor,5,0
SBS_set1,SBS16,0.0240740740740741,mSigHdp,0,5
SBS_set1,SBS16,0.0240740740740741,SigProfilerExtractor,5,0
SBS_set1,SBS44,0.0203703703703704,mSigHdp,0,5
SBS_set1,SBS44,0.0203703703703704,SigProfilerExtractor,0,5
SBS_set1,SBS28,0.0166666666666667,mSigHdp,0,5
SBS_set1,SBS28,0.0166666666666667,SigProfilerExtractor,0,5
SBS_set1,SBS38,0.00925925925925926,mSigHdp,5,0
SBS_set1,SBS38,0.00925925925925926,SigProfilerExtractor,5,0
SBS_set1,SBS22,0.00555555555555556,mSigHdp,0,5
SBS_set1,SBS22,0.00555555555555556,SigProfilerExtractor,2,3
SBS_set1,SBS35,0.00555555555555556,mSigHdp,5,0
SBS_set1,SBS35,0.00555555555555556,SigProfilerExtractor,5,0
SBS_set2,SBS5,0.971296296296296,mSigHdp,0,5
SBS_set2,SBS5,0.971296296296296,SigProfilerExtractor,5,0
SBS_set2,SBS1,0.95462962962963,mSigHdp,0,5
SBS_set2,SBS1,0.95462962962963,SigProfilerExtractor,0,5
SBS_set2,SBS40,0.475,mSigHdp,0,5
SBS_set2,SBS40,0.475,SigProfilerExtractor,4,1
SBS_set2,SBS2,0.327777777777778,mSigHdp,0,5
SBS_set2,SBS2,0.327777777777778,SigProfilerExtractor,0,5
SBS_set2,SBS13,0.30462962962963,mSigHdp,0,5
SBS_set2,SBS13,0.30462962962963,SigProfilerExtractor,0,5
SBS_set2,SBS18,0.215740740740741,mSigHdp,0,5
SBS_set2,SBS18,0.215740740740741,SigProfilerExtractor,1,4
SBS_set2,SBS3,0.165740740740741,mSigHdp,0,5
SBS_set2,SBS3,0.165740740740741,SigProfilerExtractor,1,4
SBS_set2,SBS17b,0.149074074074074,mSigHdp,0,5
SBS_set2,SBS17b,0.149074074074074,SigProfilerExtractor,0,5
SBS_set2,SBS17a,0.131481481481481,mSigHdp,0,5
SBS_set2,SBS17a,0.131481481481481,SigProfilerExtractor,0,5
SBS_set2,SBS9,0.0490740740740741,mSigHdp,0,5
SBS_set2,SBS9,0.0490740740740741,SigProfilerExtractor,4,1
SBS_set2,SBS7a,0.0481481481481481,mSigHdp,5,0
SBS_set2,SBS7a,0.0481481481481481,SigProfilerExtractor,4,1
SBS_set2,SBS7d,0.0472222222222222,mSigHdp,0,5
SBS_set2,SBS7d,0.0472222222222222,SigProfilerExtractor,4,1
SBS_set2,SBS7b,0.0462962962962963,mSigHdp,1,4
SBS_set2,SBS7b,0.0462962962962963,SigProfilerExtractor,0,5
SBS_set2,SBS4,0.0453703703703704,mSigHdp,0,5
SBS_set2,SBS4,0.0453703703703704,SigProfilerExtractor,0,5
SBS_set2,SBS12,0.0435185185185185,mSigHdp,0,5
SBS_set2,SBS12,0.0435185185185185,SigProfilerExtractor,0,5
SBS_set2,SBS7c,0.0425925925925926,mSigHdp,0,5
SBS_set2,SBS7c,0.0425925925925926,SigProfilerExtractor,2,3
SBS_set2,SBS36,0.0287037037037037,mSigHdp,0,5
SBS_set2,SBS36,0.0287037037037037,SigProfilerExtractor,4,1
SBS_set2,SBS29,0.0240740740740741,mSigHdp,0,5
SBS_set2,SBS29,0.0240740740740741,SigProfilerExtractor,5,0
SBS_set2,SBS41,0.0203703703703704,mSigHdp,0,5
