Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.998),hdp.2 (ID3 0.998),hdp.3 (ID5 0.973),hdp.4 (ID6 1),hdp.5 (ID8 0.974),hdp.6 (ID11 0.999),hdp.7 (ID13 0.999),hdp.8 (ID1 1),hdp.9 (False Positive) (ID8 0.968),hdp.10 (ID9 0.998),hdp.11 (ID4 0.998),hdp.12 (ID14 0.916),hdp.13 (ID12 0.993),hdp.14 (ID10 0.987)
DEL,C,1,0,0.00451764408989607,0.117342918428655,0.0194473741973934,0.0296910261074925,0.0394724788720378,0.00274761101215092,0.0508361211478613,0.000227605446530959,0.0383136209133443,0.324755883459435,0.00832733573848605,0.0128251459400617,0.04764483850809,0.0100489927528292
DEL,C,1,1,0.000116322488083915,0.216577270788523,0.0266259840567112,0.00560186436150902,0.0230525111820279,0.00124542477127896,0.0144749238315715,0.000726264742145497,0.0215541194521263,0.0947929230043196,0.00235556008318748,0.00170117959369591,0.011498518531882,0.0232574100184099
DEL,C,1,2,3.08175664255509e-06,0.190348053472899,0.0277315220186029,0.00787913392509188,0.00265690835196371,0.000193684770910359,0.00630664995448381,8.58464485581771e-06,0.00315763231952994,0.0026239542567424,0.00146160006669602,0.000978060758209821,0.00192408512462303,0.0173635902813983
DEL,C,1,3,0.00241464989374092,0.0606751583046618,0.0133136301261741,0.000887668622774731,0.005744077501773,0.000414571758067631,0.00561458185899331,0.00166753065225718,0.0058706704718907,0.00936689610407515,0.00124614413635303,0.000747094564895845,0.00570233791441096,0.00739045261405053
DEL,C,1,4,0.00330316608254233,0.0426437143493528,0.00224408544076674,0.00294344524661898,0.00134155795300244,0.000245755802285757,0.00328266682011749,0.000769949853655539,0.000709186902027873,0.0113474491301096,0.00167924787446059,0.00270952833549907,0.00307466480075576,0.00399302775373024
DEL,C,1,5+,0.0136377423018662,0.0228490367596287,0.00208177356804422,0.00168648423480111,0.000267401370862993,0.000763621113606575,0.00135726433713703,0.00320298591218371,0.000980195968113076,0.00109493078702842,0.00239148439210736,0.00539835897916871,0.034625944301878,0.00626968369232054
DEL,T,1,0,0.00723095792918497,0.03709274442812,0.0668167455500504,0.00381565413471126,0.0330288798453229,0.000681303214257545,0.0478240682314565,0.00101975607549708,0.0381468201539874,0.0970648283101133,0.00420253716218574,0.0237640792560675,0.0248142715858929,0.0334599190156659
DEL,T,1,1,3.90903262363613e-06,0.0116031149721372,0.111747873454998,0.000244087334145332,0.00809931971848799,0.00103695347456466,0.531734932993402,8.23179070328814e-06,0.0109049723387804,0.0449754034172251,0.000804767466028626,0.000573263753870201,0.00384081459182799,0.00114404720193065
DEL,T,1,2,0.00586790037359912,0.0145071844114326,0.158122023734917,0.0119900371434092,0.00991802235296443,0.000719960308722195,0.02145904660683,0.00075792314494687,0.00743247977602554,0.0789510009853465,0.000959603935168582,0.0122054071988441,0.0220931429090417,0.00280463141452075
DEL,T,1,3,0.0161181402474647,0.0151552878150371,0.0814342457213967,0.0214130508678474,0.00642966466517538,0.00154157954210659,0.0596795683924231,0.0027630487435024,0.0106114532970805,0.116522343677179,0.00128774484577495,0.0227099869898481,0.0169815029992887,0.00704268313484586
DEL,T,1,4,0.0388427500738503,0.0134297229822205,0.0548895809446872,0.0178225209614501,0.00249581819612566,0.0011699448602342,0.0168926498494787,0.00429682810401039,0.000545841352370167,0.0884099206751901,0.0012622853464935,0.0204925164772523,0.0368489788295662,0.0104832530834691
DEL,T,1,5+,0.777685688225906,0.00736311585026723,0.0293064884507797,0.00403652054011624,0.00889341617308266,0.00654402967567135,0.00859653983847582,0.000588262157521022,0.00872050971280743,0.00197513987393037,0.00559966231149615,0.0680409527673119,0.00579548376571565,0.00296015440724067
INS,C,1,0,3.00299505353928e-06,0.00231326175473904,0.000333538312758529,0.00219761355474033,0.00335339941451755,0.000308233553087727,0.00202245095764004,7.13282991696619e-06,0.00265632705273097,6.61841457478858e-05,0.000192592962776335,0.573460828947705,0.00133702623468775,0.000437872477567564
INS,C,1,1,0.000214107514514788,0.00152872957499941,0.00143088088940843,0.00159448549958597,0.00222354142025542,0.166115536871487,0.00164009709311677,2.11617807934771e-05,0.00184544317489038,0.000242221008297974,8.28866877268994e-05,0.0165572459076918,0.00251493798522659,0.00198186461432505
INS,C,1,2,6.95559791790757e-06,0.00169872439646919,0.00284550497362113,0.000257696181983831,0.00169814716520639,0.0938584770260251,0.00169070430801806,1.43824362529269e-05,0.00100762638041974,0.000699717006106056,0.000117720678134502,0.00119660562730417,0.00395889225038131,0.00112658849178016
INS,C,1,3,0.000481520425601217,0.00641217673906269,0.000545633566665924,0.000207087871184457,0.0001748407437964,0.0381775368615298,0.000178077745362756,0.000887159923460115,0.000101148367566584,0.000161870176913991,0.000420076117945441,0.00173366196608269,0.00138487672189165,0.0027414188432862
INS,C,1,4,0.00249644687619442,0.0062523417653978,0.00022719572714471,0.000394847158176273,0.000768735700388468,0.0105736636702261,0.000150407336606838,0.00176610825538131,0.00069316140773244,0.000213098993202844,9.32390933949865e-05,0.00212419544326498,0.00403748164279549,0.00265553001633894
INS,C,1,5+,0.010624422218459,0.00800202983461817,0.000325185459546791,0.000376374837572932,0.000409757431628859,0.00173828400858197,0.00101058567277612,0.0218060615460257,0.00150088312127234,0.000620299334428794,0.000384893675229792,0.00131392415409394,0.0165744641461642,0.0114818110341456
INS,T,1,0,0.00141303764904111,0.020301006773257,0.00511663965119538,0.00706595240290719,0.00394743130044463,0.000869073374846328,0.0381868381621388,0.00219554880205472,0.00440940981450679,0.0123840822096195,0.00151662181017624,0.0374481523158313,0.00572192719153489,0.00744804629006423
INS,T,1,1,1.00116592902873e-05,0.0459021546435907,0.0125823230207967,0.00121518422456302,0.00572162109083054,0.296226457402097,0.00482654285691717,3.19266729531179e-05,0.00459289371655362,0.00920946875833121,0.00119518017620199,0.00270379854253844,0.00252926216019863,0.034961769438267
INS,T,1,2,0.000580541617964657,0.0372279305165825,0.0320625586682764,0.000309810785743652,0.000642717471332024,0.161526310863259,0.00362953790734875,0.000227637638949168,0.00170840696851463,0.0021437444910287,0.000429529291850828,0.00272972483976458,0.00205346726720835,0.00167724022342333
INS,T,1,3,0.00141643165907558,0.0242216890759645,0.0178758532584097,0.000903966347128413,0.00114436169356306,0.114146513807015,0.00786672799696672,0.00376518672910457,0.000451671554294768,0.00166763484738922,0.000892779774802917,0.000718702966679547,0.00142444241600362,0.00331073333405576
INS,T,1,4,0.00442248053961591,0.0074497508591824,0.0108553623933311,0.00145333775645688,0.0010691586614114,0.0551459549262521,0.0149149372091943,0.0155647956015754,0.00183401781185134,0.00133678018305381,0.00093121069226132,0.00503170641212732,0.00266336740912608,0.00122792928058475
