Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (False Positive) (ID2 0.995),signeR.2 (False Positive) (ID2 1),signeR.3 (ID1 1),signeR.4 (ID5 0.982),signeR.5 (ID8 0.999),signeR.6 (ID3 0.999),signeR.7 (ID6 1),signeR.8 (ID14 0.997),signeR.9 (ID9 0.999),signeR.10 (ID2 1),signeR.11 (ID4 0.993),signeR.12 (False Positive) (ID2 1),signeR.13 (ID11 0.973)
DEL,C,1,0,0.0043801965644557,0.00483448819569217,1.53228903190321e-06,0.0259320373829714,0.0440061810007393,0.117294664399487,0.0333994039473859,0.0088821814230857,0.35256194451641,0.0033299136180995,0.0132120330018897,0.00174929788549104,0.000778036540636358
DEL,C,1,1,7.28932315222493e-05,1.56286558801189e-05,0.000630860858006928,0.0244871619443482,0.0229122783599223,0.207521601535927,0.0057349805183371,0.000772946124663734,0.103922493280636,2.89607714044813e-05,0.00203892170446888,5.18911343887693e-05,0.0028558774793675
DEL,C,1,2,1.03269155789819e-06,1.4196943864386e-06,6.15905198935117e-07,0.0219746454466425,6.80583507753155e-06,0.17659446237283,0.00762047703055493,0.000276296607924162,0.000108127070363003,2.53432654101606e-05,0.000529380725543634,3.17368194355635e-05,0.00320807290408687
DEL,C,1,3,0.00242100893106746,0.00248204540978576,0.00193533737400477,0.0123454007454786,0.00452901762056199,0.0647146923873619,0.00099875148619223,0.000403860800767871,0.0107965107442989,0.00248915690105082,0.000309154380497373,0.00178821194402161,0.00435401480217602
DEL,C,1,4,0.00359738381429614,0.00386789350327223,0.000687001934399089,0.0028160185111168,1.04086854818296e-05,0.0429148904484793,0.00247905730294873,0.00186708103668632,0.0135495351753443,0.00373354963311024,0.00115067548968074,0.00305811572708997,0.000842880455092165
DEL,C,1,5+,0.013654354842442,0.0146492887514,0.00359438035005905,0.00198547599648112,1.09507314477085e-05,0.0224225856969877,0.0011895378238258,0.00259728832186738,1.63460480140071e-05,0.0145723544072723,0.00197876743639954,0.0147592404054598,0.0039776140459023
DEL,T,1,0,0.0073651905187361,0.00797764300183848,0.00116254852812248,0.0983450631086733,0.0342203247541567,0.0407304715082909,0.00470702710147005,0.017101999753257,0.110731226122847,0.00784635948407862,0.00475418808946761,0.00654084570187798,0.0164504205980651
DEL,T,1,1,1.06168227388407e-06,1.43792550881805e-06,5.24258765127911e-07,0.151655717532032,0.00738176598714746,0.00649855258511714,3.35960067463315e-05,0.000117573878497083,0.0327385561515804,2.01697560126529e-05,0.0405197737011255,3.20024191088641e-05,0.000248296570000568
DEL,T,1,2,0.00651650672957031,0.00710781972456882,0.00086085103060799,0.107382918035057,0.00710813494326667,0.0205733364200719,0.0122470631035322,0.0103600361912411,0.0912694374329311,0.00698304333047933,0.000120308387260919,0.00593222608253784,0.038146125611137
DEL,T,1,3,0.0187465619080602,0.0204324453303517,0.00204806127225957,0.0885130434772924,0.00812076794644267,0.021398431320592,0.0231720318648532,0.0163944865218387,0.120039200948822,0.0201733623521102,0.00059027299025374,0.01964549393678,0.0230255214223375
