Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (False Positive) (ID2 1),signeR.2 (ID2 1),signeR.3 (False Positive) (ID2 0.999),signeR.4 (False Positive) (ID1 1),signeR.5 (ID5 0.961),signeR.6 (ID1 1),signeR.7 (False Positive) (ID6 0.86),signeR.8 (ID3 0.99),signeR.9 (False Positive) (ID2 0.635),signeR.10 (ID9 0.996),signeR.11 (ID14 0.989),signeR.12 (ID4 0.986)
DEL,C,1,0,0.00131010979971139,0.00434565466939126,0.00378918216190906,1.19307226931894e-05,0.0182400186393946,1.77293475805819e-05,0.03225338610074,0.103016638704839,0.0195887466478433,0.372520247631972,0.00613123971202497,0.012090066203898
DEL,C,1,1,6.69465031012711e-06,3.28012075978453e-05,3.156795047383e-05,0.000465274088921921,0.0213420034400554,0.000198131187393714,0.00924295891505054,0.220984117027725,0.0001456314515612,0.0964133471687529,0.000809598050392097,0.000366318469156866
DEL,C,1,2,1.75253315937625e-06,3.0916608835847e-06,3.07456321353345e-06,2.19274701212846e-06,0.0171132956249988,3.39487610519213e-06,0.00304889606119684,0.193945297499631,1.1326040329795e-05,3.57547267386795e-05,8.56678087363018e-05,0.00124319513603614
DEL,C,1,3,0.0017907529648383,0.00251978818540264,0.000994874336310697,0.00379983582197857,0.0102459520696139,0.00108508419776948,0.00139649047535749,0.0700561492576577,0.00457077643623862,0.0113849361302668,0.000893748697200411,0.000540344051051307
DEL,C,1,4,0.00154776162465371,0.00322537995776922,0.00323360183913812,0.00140693065471302,0.00157911335587086,9.66677533328006e-05,0.00136046542524062,0.0433746383236637,0.0241935263966798,0.0136523348241403,0.0019793108312306,0.0021346011085091
DEL,C,1,5+,0.00662256824094182,0.0136438060203509,0.0169864044536727,0.0030880771178963,0.000400622875075493,0.00231027537079975,0.000180256130426038,0.0250111774300362,0.073451715234853,4.98150982931058e-05,0.0043750078888242,0.00197859479531549
DEL,T,1,0,0.00271308545817515,0.00626287470743256,0.00438934410545036,0.00533054363164282,0.09888486146858,2.10193596206888e-05,0.0102099554904806,0.0316729003348506,0.0434042104536721,0.123098713667202,0.0174284882562995,0.00272938670841864
DEL,T,1,1,1.95381824220779e-06,2.35294931359554e-06,2.21839964392899e-06,2.43450165906301e-06,0.143227153719564,3.32827611463186e-06,1.72900534496648e-05,0.00213833612876557,1.23508305234842e-05,0.0209096495648405,0.000158237950853606,0.0296724221029143
DEL,T,1,2,0.00306518114815679,0.00637002621036931,0.00955157510304636,5.4339146906709e-05,0.10460975554773,2.86402524332398e-05,0.00686061350776844,0.00903310362624202,0.0386598872903779,0.0865266708449287,0.00677437489007221,0.000209799293315317
DEL,T,1,3,0.0177719205412559,0.0125447502072742,0.0117442958624536,0.0023461153564851,0.0802753153393419,0.00015290284623179,0.0137757376319737,0.0107888101968685,0.15409103703253,0.110640955092945,0.0152497291531973,0.00402512388806186
