Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2563
low confidence hdp.3,2377
low confidence hdp.4,2373
low confidence hdp.5,2200
low confidence hdp.6,1983
low confidence hdp.7,1599
low confidence hdp.8,1391
low confidence hdp.9,1272
low confidence hdp.10,800
low confidence hdp.11,689
low confidence hdp.12,496
low confidence hdp.13,400
low confidence hdp.14,200
low confidence hdp.15,166
low confidence hdp.16,103
low confidence hdp.17,12
low confidence hdp.18,7
low confidence hdp.19,4
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
