"ex.sig","gt.sig","sim"
"SBS96B","SBS3",0.923138449699276
"SBS96C","SBS40",0.921051690555152
"SBS96D","SBS4",0.984143957577737
"SBS96E","SBS7a",0.933019523454776
"SBS96F","SBS1",0.999391124408632
"SBS96G","SBS12",0.954059928392258
"SBS96H","SBS17b",0.999605601106994
"SBS96I","SBS2",0.997057905748522
"SBS96J","SBS7b",0.981709867368768
"SBS96K","SBS18",0.987632834451661
"SBS96L","SBS44",0.994208291604833
"SBS96M","SBS17a",0.999698652627621
"SBS96N","SBS13",0.998848813530865
"SBS96O","SBS7c",0.995997081759545
"SBS96P","SBS7d",0.964337570123676
"SBS96Q","SBS22",0.977144120149704
"SBS96R","SBS28",0.940252044647981
