"ex.sig","gt.sig","sim"
"SBS96B","SBS3",0.922437451765553
"SBS96C","SBS40",0.917440606263676
"SBS96D","SBS4",0.982779600673585
"SBS96E","SBS7a",0.924113303473512
"SBS96F","SBS1",0.999391110314629
"SBS96G","SBS12",0.938583942998441
"SBS96H","SBS2",0.997523280145185
"SBS96I","SBS17b",0.999558264363535
"SBS96J","SBS7b",0.979899090367499
"SBS96K","SBS18",0.98752074868794
"SBS96L","SBS44",0.994245881738459
"SBS96M","SBS17a",0.999691077485689
"SBS96N","SBS13",0.9982311014297
"SBS96O","SBS7c",0.996496833718131
"SBS96P","SBS7d",0.964538347021423
"SBS96Q","SBS22",0.980720335769752
"SBS96R","SBS28",0.942977794298775
