"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"signeR.1",0.00172893189374468,0.99994776324183,0.0350161483954095,0.00717225911090824,0.15988011322979,0.0267888899872445,0.0297272801318268,0.0281509764906513,0.0172846718911333,0.0191085035736405,0.0781178727254948
"signeR.2",0.999996954923984,0.0049956290868387,0.0840587634255346,0.00591906768721084,0.0114068337229003,0.0388179657914929,0.0513199144569968,0.0169371756481709,0.0599496840994461,0.0232420996777883,0.45183547194188
"signeR.3",0.0051919909246626,0.999935723814068,0.0378112962697029,0.00866614387216991,0.16669353551769,0.028122402623493,0.0306411711179481,0.0352783391479001,0.0179211208694122,0.0208027310459116,0.0802075761107327
"signeR.4",0.0020130404899581,0.999590381939407,0.0410519088397775,0.0120488375934433,0.177802188537066,0.0301759134012853,0.0314771154464187,0.0440408912914754,0.0179613788086024,0.0237680305755598,0.0796997799784771
"signeR.5",0.00535087489805686,0.0895117959807679,0.302090708223973,0.184901301262754,0.977930369654735,0.101040804961731,0.159117258789594,0.495656406087824,0.154290464184937,0.741128230340071,0.0602464251746628
"signeR.6",0.00994528071728051,0.00277928101543723,0.0899770629612442,0.0383725009730103,0.162224316831501,0.460392323501764,0.998035790048429,0.118364846768142,0.0140861345496037,0.0799240377560569,0.0364137821718306
"signeR.7",0.0692412649353837,0.0242808391575441,0.997793712014289,0.0654554119926356,0.361541281895394,0.0689396425510777,0.107639312085966,0.546381411070047,0.223899593377935,0.12532882093543,0.063516161611417
"signeR.8",0.0236309276118413,0.00996617884043782,0.0640588306314864,0.026330844491242,0.122026146326667,0.999409661304681,0.457419656783476,0.101666566937593,0.00690115268389591,0.0483570867525438,0.0339503620252237
"signeR.9",0.00318843057937257,0.0292794236110563,0.556818953312719,0.0421028843024633,0.506283580561823,0.108772138632716,0.135470353194539,0.998195340995246,0.0168947377326127,0.261782715126221,0.0508529026992568
"signeR.10",0.517988279058764,0.140187111171651,0.0729557910387009,0.020002971439955,0.0764478818444443,0.0398023287708056,0.051475369256105,0.0526164039059555,0.0472827892359765,0.0377225226284231,0.994902940775189
"signeR.11",0.00879419171911722,0.00862290154656475,0.0719275632843449,0.990521963491636,0.270863630624464,0.0306684982029851,0.0548013733027142,0.0780414457454187,0.00553982534033415,0.169912076960927,0.0246079479550226
