Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.982),ID83D (ID8 0.991),ID83E (ID3 0.993),ID83F (ID6 0.999),ID83G (ID9 0.99),ID83H (ID14 1),ID83I (ID4 0.994)
DEL,C,1,0,0.00394526,2.05e-05,0.00357153,0.04650444,0.10338647,0.03235291,0.30376053,0.0073784,0.01281678
DEL,C,1,1,5.01e-06,0.00050796,0.00839178,0.02390362,0.2147579,0.00353032,0.08862203,0.00016573,0.00311794
DEL,C,1,2,0,0,0.01173776,0.00089484,0.18878211,0.0056188,0.00126321,1.245e-05,0.0010494
DEL,C,1,3,0.00246648,0.0019536,0.00908791,0.00506117,0.06791054,0.00044655,0.01001161,0.00017152,0.0009244
DEL,C,1,4,0.0038805,0.00063899,5.767e-05,0.00068003,0.0430262,0.00180187,0.01260782,0.00166384,0.00120538
DEL,C,1,5+,0.01487012,0.00361903,0.0004747,0.00043533,0.02332166,0.00078937,0.00077212,0.00236488,0.00213821
DEL,T,1,0,0.00778215,0.00132604,0.11189468,0.04076906,0.0352628,0.00457303,0.09936216,0.01777709,0.00679761
DEL,T,1,1,0,0,0.13339196,0.05220073,0.00536705,8.872e-05,0.07898629,1.7e-07,0.03450277
DEL,T,1,2,0.0069004,0.00109083,0.13048513,0.01136762,0.01500627,0.01210785,0.0788414,0.01055411,0.00110387
DEL,T,1,3,0.02006212,0.00240045,0.0998016,0.01476102,0.01365586,0.02258156,0.10706461,0.01658822,0.00297099
DEL,T,1,4,0.04697079,0.00442425,0.05560972,0.00382112,0.01079263,0.0180285,0.08490422,0.01321746,0.00121004
DEL,T,1,5+,0.81535209,0.00021611,0.01367645,0.00235281,0.00637275,0.00121567,0.03164967,0.04434645,0.00149011
INS,C,1,0,0,1e-08,4e-08,2.5e-07,1.9e-07,1e-07,2.8e-07,0.46148295,8e-08
INS,C,1,1,0.00016672,0,0.00674942,0.00173407,0.00651085,0.00154031,0.0001493,0.01217381,3.869e-05
INS,C,1,2,1.125e-05,4e-08,0.00681206,0.00119083,0.00460298,4.022e-05,7.137e-05,0.00044952,6.75e-06
INS,C,1,3,0.00051488,0.00052032,0.00078659,6.035e-05,0.00834863,0,7.618e-05,0.00163963,0.00020296
INS,C,1,4,0.00315626,0.00146078,4.54e-05,0.00015252,0.00777578,4.259e-05,0.00029517,0.00169509,0
INS,C,1,5+,0.00910474,0.02444973,5.59e-06,0.00059236,0.00696287,3.528e-05,0.00056984,0.00244617,0.00050349
INS,T,1,0,0.00124629,0.00215328,0.0079515,0.00662084,0.01522906,0.00579526,0.01858041,0.03222433,0.0040056
INS,T,1,1,3e-08,1e-08,0.01872387,0.00506203,0.05901161,0.00022937,0.00612917,0.00249826,0.00022919
INS,T,1,2,0.00070904,3.717e-05,0.03544257,0.00064183,0.05098716,1.281e-05,0.00096537,0.00174245,2.783e-05
INS,T,1,3,0.0011511,0.00407546,0.02351234,0.00155231,0.03077396,0.00046444,0.00179983,0.00095372,0.00026208
INS,T,1,4,0.00372096,0.01651638,0.01506826,0.00158573,0.00782156,0.00093081,0.00236225,0.00489859,0.0008616
INS,T,1,5+,0.00194919,0.89997992,0.00054917,0.01334087,0.0096577,0.00832322,0.01937491,0.23705931,0.0070126
DEL,repeats,2,0,0.00010179,0.00044909,0.02944286,0.01060544,0.00693079,0.00144984,0.01302755,0.00049928,0.0701894
DEL,repeats,2,1,0.00341041,0.0005105,0.01864104,0.00983728,0.01006628,0.00113449,0.0011257,0.00683604,0.22131255
DEL,repeats,2,2,0.00191991,0.00016683,0.00228667,0.00024149,0.01242002,0.00177252,0.00057112,0.00277526,0.0518418
DEL,repeats,2,3,0.00080272,0.00018081,0,2.302e-05,0.00610016,3.013e-05,4.484e-05,0.00054308,0.01040356
DEL,repeats,2,4,0.0008997,0,0.0002092,0,0.00364327,6.5e-07,9.49e-06,6.231e-05,0.00315837
DEL,repeats,2,5+,0,1e-08,0.0257197,0.00054666,0.00041101,0,0.00060252,1.62e-06,0.00125724
DEL,repeats,3,0,1.555e-05,5.349e-05,0.01983419,0.01184742,0.00086748,0.00133589,0.00215077,0.0011786,0.00430565
DEL,repeats,3,1,0.00491394,0.00463119,0.00329117,0.00092541,0.00014471,0.00501136,0.00259812,0.00499451,0.09194281
DEL,repeats,3,2,0.00264095,0.00018734,0.00010897,5.97e-05,4.9e-07,0.0003481,0.00043028,0.00126805,0.02105558
DEL,repeats,3,3,0.00057335,8.785e-05,7.517e-05,8.24e-06,0,0,3.797e-05,0.00051285,0.00385206
DEL,repeats,3,4,0,4e-08,0.00697316,0.00016097,6.663e-05,1e-08,0.00016901,1.66e-06,0.00014104
DEL,repeats,3,5+,0,2e-08,0.01010581,0.00022878,0.00010372,0,0.00025788,3e-08,0.00045483
DEL,repeats,4,0,1.467e-05,2.034e-05,0.01246945,0.00710794,0.0001933,0.00240714,0.0011406,3.538e-05,0.00674275
