Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID6 0.993),hdp.2 (ID13 0.998),hdp.3 (ID5 0.907),hdp.4 (ID1 1),hdp.5 (ID3 0.981),hdp.6 (ID14 0.98),hdp.7 (ID2 1),hdp.8 (ID9 1),hdp.9 (ID4 0.994),hdp.10 (ID11 0.977),hdp.11 (ID8 0.985),hdp.12 (False Positive) (ID5 0.361),hdp.13 (False Positive) (ID8 0.955),hdp.14 (False Positive) (ID5 0.907)
DEL,C,1,0,0.030530851940086,0.046262768417355,0.0158532487392903,0.000510521658587369,0.134081359164959,0.0105002388835275,0.0043018231227383,0.334088440432769,0.0114468727547615,0.00824800505614432,0.0338520221550311,0.0193973543344415,0.0376208130693514,0.0182222959506785
DEL,C,1,1,0.00603762895319169,0.0146828253871312,0.0347413303339783,0.000592580064726784,0.158611152058152,0.0025240766010568,5.00794905484303e-05,0.097437734874081,0.00242309442688282,0.0089244659016168,0.0194222916123103,0.00914278893926899,0.0235150051434621,0.0292943740730587
DEL,C,1,2,0.00858557150585228,0.00705640235113401,0.0220057777044362,7.49813252232877e-06,0.208527777419722,0.000301974738569773,4.47765550494307e-06,0.00244842274051796,0.00314650364115434,0.00285588840550784,0.00268897022995572,0.0261562359703025,0.00254031590190272,0.0257801604217086
DEL,C,1,3,0.000834820123050524,0.00481905583441514,0.0132712175183539,0.00187436243398508,0.0711300702278245,0.000935816345906908,0.00239719739188196,0.0109113042530137,0.00162235498417987,0.00233830272655265,0.00567818935710211,0.0169411756145746,0.00604006304331053,0.0155268606483759
DEL,C,1,4,0.0025824353469682,0.00402986638604781,0.00142225104433103,0.000803364188677822,0.043777973671818,0.00171799187486156,0.00358143439712747,0.0130118863706411,0.00248457816489355,0.00332734613695066,0.00107303075955515,0.00643530438404849,0.00192933637635051,0.00371634111588276
DEL,C,1,5+,0.00186615861038171,0.00144204605419685,0.00168083520274797,0.0026507303868415,0.0252558473956125,0.0034210996547397,0.0145117393299803,0.000648024207932941,0.00237603857180853,0.000760133751724827,0.000585864824656129,0.016574361445655,0.000806653647631899,0.00355931410812114
DEL,T,1,0,0.002339422585977,0.0396645184033396,0.065968027429507,0.00141822584921386,0.0284153120480413,0.0197579769538099,0.00699614745771458,0.105382515784242,0.00765561201201374,0.0155599924964007,0.0288907540349265,0.0200429696597877,0.0381806203119578,0.201201744518278
DEL,T,1,1,0.000723785613155508,0.516318226790527,0.0890232513500485,8.49955255869989e-06,0.0096448105094855,0.00064217940467834,4.41854454118144e-06,0.0388980391128776,0.00364938387378275,0.00966404092369047,0.0109906408939831,0.0129170639670599,0.00781497321933703,0.075242933513936
DEL,T,1,2,0.00940683076319556,0.0188236608412488,0.209435560136444,0.000332806017405545,0.0108896000104895,0.00836845564737436,0.0072067416336084,0.0847688652450834,0.00515431684756142,0.019065604164556,0.00907454680592833,0.0230880239966289,0.00785232859336161,0.0827805534995409
DEL,T,1,3,0.0215075920746852,0.0558125462962972,0.0562609986932883,0.00208069592866084,0.0146891628300022,0.0157875516618092,0.0181789244107877,0.106419444207189,0.00619533293290988,0.00615247508793126,0.0102113458869731,0.025353134721966,0.0084235256268922,0.0714850890247668
