Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,2221
low confidence hdp.4,1798
low confidence hdp.5,1793
low confidence hdp.6,1200
low confidence hdp.7,1197
low confidence hdp.8,1184
low confidence hdp.9,1177
low confidence hdp.10,998
low confidence hdp.11,800
low confidence hdp.12,714
low confidence hdp.13,600
low confidence hdp.14,599
low confidence hdp.15,200
low confidence hdp.16,69
low confidence hdp.17,8
low confidence hdp.18,2
low confidence hdp.19,2
