Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.998),ID83B (ID1 0.999),ID83C (False Positive) (ID5 0.877),ID83D (False Positive) (ID5 0.298),ID83E (ID8 0.982),ID83F (ID3 0.972),ID83G (ID6 0.995),ID83H (False Positive) (ID5 0.614),ID83I (False Positive) (ID1 0.49),ID83J (ID9 0.969),ID83K (False Positive) (ID1 0.594),ID83L (ID13 0.985),ID83M (ID4 0.988),ID83N (ID14 0.953),ID83O (ID11 0.924)
DEL,C,1,0,0.000620089906992271,1.0864511423847e-09,0.000227423459291459,0.0198147174461092,0.00901860229103564,0.0832415607571602,0.0227518040638461,0.00831366063485327,0.000390093834658318,0.473032558858395,0.00562508108597757,0.00290256179438938,0.00949950418807106,0.00332633198275289,0.0158020111986307
DEL,C,1,1,0,1.19235543076373e-05,0.0184718582875393,3.56583924201459e-07,0.0151148211686142,0.245454567685456,0.00073411693312244,0.00894983459644099,0.00675014300953613,0.111459895679182,0.00897640661307056,0.000719411640132133,6.33613624281422e-10,4.5452899555869e-05,0.0332515630340117
DEL,C,1,2,0,1.40124913894368e-10,0.0190280609249859,0,0,0.239481315463781,0.00385605560382828,0.00107199622318149,0,0,0.000353493151852788,0.00416057489755168,0.000664321543142847,2.65474664473686e-10,0.00473948185358241
DEL,C,1,3,0.00135282569535775,0.000696633551910983,0.0132806223561056,0.00823324902900748,0.00466162563301623,0.0831082068383694,1.68155815718978e-46,0.00487174892960897,0.0133059605146561,0.00981805705232546,0.0119611847527178,0.00276277065443537,0.000292853892906928,0.000480773935995434,0.00565492190994693
DEL,C,1,4,0.00145034093396006,1.20014817775882e-05,2.4527321295406e-16,0.00945781963790082,2.58677872061683e-05,0.0487759834527969,0.0014751773679747,0.0125901134364437,0.00517760551901688,0.0150439642183483,0.0168161977553973,0.000727446265082229,0.0016007497672399,0.0014731378518627,0.00828614066173032
DEL,C,1,5+,0.00648798088069578,9.99096668661359e-05,1.29715291603816e-05,0.00393356853663369,1.68214200897715e-05,0.0215746653522369,0.000311111642122626,0.062509121241601,0.0267782269928165,8.49859553440524e-06,0.063147631738938,4.77302202489227e-05,0.00101392245288523,0.00385642832813517,0.0342857823387021
DEL,T,1,0,0.000727823323698495,4.31123356247554e-05,0.181596229057759,0.0398597008092636,0.0251127048757766,0.0175423019190203,5.22540707606822e-06,0.0492121841969856,0.00916275911397207,0.12145856410265,0.0676782511947578,0.0317345635034159,0.00363000091832873,0.0172607829235494,0.0420968269355532
DEL,T,1,1,3.18503348695209e-13,1.56999725309248e-08,0.0303823895830583,4.72689090091905e-10,5.24801206215586e-05,0.00455474102411415,7.79117575788746e-09,0.0022784534515355,3.16428221403206e-09,1.44056660921962e-05,0.000893632414416901,0.693376873731613,5.12281289752092e-06,4.23674921679051e-08,0.00302097892659538
DEL,T,1,2,0.00257146343299868,1.01415160713714e-10,0.171958670541644,0.00927561048889411,0.000456829541190574,0.000133344369173756,0.00629327732576376,0.144909095712937,0.00601515849025476,0.0888754406943917,0.000732609216583167,0.00827893467738153,0.000855854468695236,0.0058627045864705,0.0271831018017794
DEL,T,1,3,0.00137024268501635,0.00040891055400913,0.0834839888289957,0.0608070621153657,0.000313706316246196,0.00117259785151764,0.0127179350595776,0.404881105292588,0.00505400287567603,0.0898215590976179,0.0050298898330786,0.0440722725209793,0.00133539299786223,0.0128432536759384,0.016001363406092
DEL,T,1,4,0.00265813122555792,0.000322629864258112,0.0184882902613479,0.720286611616611,5.26616794616075e-10,0.00386553673667092,0.0040943067889159,0.0259093143645522,0.00512062565963216,0.0353167854363026,0.0329804580545893,0.00235037392550436,0.00026724061971251,0.00586116308864474,0.00661936844034097
DEL,T,1,5+,0.942127053141594,9.52151523629766e-05,0.00414536184578416,0.0446814000560382,0.000105714289436348,0.000450132389248276,6.5758736340138e-05,0.0524166971327921,0.0226821861515966,0.000176435553335461,0.00987655399637624,0.000936574854237173,0.000111671340255327,0.05696945881925,0.0116845826112065
INS,C,1,0,9.77817784126639e-35,1.89242324995202e-08,6.78613862870854e-08,2.39622037399544e-45,1.53177980629071e-07,1.76292979636727e-07,1.13412056199838e-08,1.40405726869346e-08,5.71056710610747e-09,2.82848027951375e-07,2.31851924789867e-08,6.25522678360225e-08,8.95865690194091e-07,0.597825427055359,6.5745783203333e-06
INS,C,1,1,0.000116590642035416,3.02227758967044e-07,0.00400006697393794,0.000112084478206498,0.000560372137697414,0.000357837475748966,0.00142495058986242,0.000592290999097713,8.30131271504797e-05,7.08539546478981e-13,0.000308952639190416,4.05203566650059e-05,2.72979713372479e-05,0.0156823932658881,0.0829795367945917
