Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID13 0.998),hdp.2 (ID4 0.992),hdp.3 (ID2 1),hdp.4 (ID6 0.998),hdp.5 (ID1 1),hdp.6 (ID14 0.979),hdp.7 (ID3 0.975),hdp.8 (ID8 0.985),hdp.9 (ID9 1),hdp.10 (ID11 0.976),hdp.11 (False Positive) (ID5 0.36),hdp.12 (False Positive) (ID5 0.126),hdp.13 (False Positive) (ID5 0.921),hdp.14 (ID5 0.996),hdp.15 (False Positive) (ID5 0.925),hdp.16 (False Positive) (ID8 0.953),hdp.17 (False Positive) (ID3 0.937)
DEL,C,1,0,0.0467636121572214,0.01203626771389,0.00411049763499009,0.0301075831755264,0.000466785475437783,0.0104348969283105,0.137717336472171,0.0339551513327131,0.334269136480791,0.00826565640643073,0.0196818368173096,0.00280161059531935,0.0154605544889982,0.0241409931549645,0.0194140205205495,0.0360389425157629,0.0683284092794031
DEL,C,1,1,0.015052687553153,0.00232374245158196,4.2230438858063e-05,0.00615899575485809,0.000574022337212159,0.00240634766885544,0.15197959920474,0.0194561715201125,0.0976140802871386,0.00948029550258661,0.00915406705718214,0.00445278557719408,0.0318649554040713,0.0269717538531084,0.0291816104708873,0.0232988557045314,0.316828413219913
DEL,C,1,2,0.00702816720857724,0.00325932930760371,3.05857883708249e-06,0.00825667658571427,5.99940481610667e-06,0.000337884645960849,0.214352965904707,0.00271457947976246,0.00245691165496614,0.00283880529091133,0.0204675306873894,9.92318870364553e-05,0.0222539700811285,0.0286430024902919,0.0263883044712194,0.00248591642511776,0.135887973735725
DEL,C,1,3,0.00487540061451864,0.00147530381233339,0.00228599186387316,0.00087973155184264,0.00185745824570521,0.000853512955405483,0.0714133126934985,0.00567028205427287,0.0110332226468682,0.00237226415740872,0.0153562957403363,0.0134514093436018,0.0123534853517586,0.0129518038567577,0.0153226303630063,0.00612377415919341,0.0559973022309997
DEL,C,1,4,0.00409972985585654,0.0022873011972429,0.0033956387532401,0.0026078941959265,0.000805367216349724,0.00189415306624396,0.0434540598818979,0.00107587100294991,0.0130957835635073,0.00331610882413823,0.00718167618721483,0.00591007671824374,0.00133748130781827,0.00305100985771012,0.00355908146441611,0.00196355140258139,0.0407231559458822
DEL,C,1,5+,0.00143375684759039,0.00227527544331388,0.0134765334678192,0.0018493554838898,0.00274843878933337,0.00354245074983968,0.0256643389153206,0.000589568039164236,0.00067055554490607,0.000745874326346601,0.0229489502595929,0.0184962421647702,0.00154625230115379,0.00227776350286072,0.00329429616469347,0.00083804664769384,0.0221364362687661
DEL,T,1,0,0.0396549271972848,0.00734956961310658,0.0065420116987894,0.00302564956934957,0.00141661090917418,0.0194781854927504,0.0280528195135461,0.0289305319264521,0.106245171265473,0.0168726632222985,0.0202189134411215,0.0101927504890896,0.0726669525012032,0.0881310401295673,0.188168645577059,0.0383140826078194,0.0346489340267262
DEL,T,1,1,0.516279429632718,0.00323743375563049,3.15997362955739e-06,0.00086304215711944,6.95493184172057e-06,0.000543384106345926,0.00780920187143295,0.0109099828043765,0.0390881238624547,0.00926736008985981,0.0138642988744275,8.28749825798968e-05,0.0900904531043274,0.111535099146714,0.0769560360493264,0.00817800740964578,0.020524958558263
DEL,T,1,2,0.0188664079810635,0.00524866060190676,0.006643993202879,0.00964717892324285,0.000298474862057098,0.00795684596187887,0.0110241594872353,0.0090230309469847,0.0846746902965288,0.0216507017362575,0.0218967424568841,0.0117323350338941,0.204419526789082,0.109138161888499,0.0866106859617547,0.00819955609188999,0.00862197158976283
DEL,T,1,3,0.0545063756657883,0.00653517827718209,0.0168042888997051,0.0212513877973709,0.0019701472941753,0.0157014039854956,0.0153455325967616,0.0103418593460031,0.104998831543312,0.00587471370404597,0.0342023866434155,0.0120795375924919,0.0609212975384031,0.100155391687375,0.073797070544443,0.00811936608717267,0.00995554366681871
DEL,T,1,4,0.0145510626659233,0.00423243539590693,0.0445243493599038,0.0170056884699993,0.00410474836632503,0.0107760475425523,0.0135974638720462,0.00173297329778645,0.0956122968573743,0.00695504516727893,0.441428810414299,0.0387000724574519,0.0332191659886499,0.0491699013449732,0.0463837776583713,0.00140454048078947,0.015120479120544
DEL,T,1,5+,0.00667682067661271,0.0021818833543028,0.815125842228707,0.00303302154927928,0.000954358925395365,0.048636760172095,0.00811854716663864,0.00908089516187804,0.00431900883449313,0.00881167030153376,0.0155086229462159,0.0138751622150564,0.0252520235794567,0.0265286392810422,0.0308577388201876,0.0134751859434477,0.0134628266073041
INS,C,1,0,0.00281446185675865,0.00040865163817018,2.71993991852556e-06,0.00222696918993395,5.71211530289896e-06,0.529874157209978,0.00269198508392764,0.00265526532959293,0.000201097275891253,0.000713965145345875,0.000749959175017916,9.95226764490164e-05,0.000439486898713445,0.000504143823078961,0.000621921792442569,0.00255061502961196,0.00229033129576872
INS,C,1,1,0.00233509521668962,0.000311857618769405,0.000181130475978598,0.00176232034578122,5.22277602216057e-05,0.0152305421355395,0.00126150110287936,0.00221437083750126,0.000210274537634198,0.120312532972357,0.00245648156661842,0.000339932823283857,0.00100862410990579,0.00121173721498851,0.00124146483436677,0.00191989561187628,0.00142653248278606
INS,C,1,2,0.00203246750393935,0.000206803768381291,1.24882945372477e-05,0.000138845723142891,9.62367252118847e-06,0.000624687969291768,0.00216943293207648,0.00100145240891904,0.000388854035205484,0.0659165629840648,0.00198576937649294,0.000128892407117682,0.00218423083434587,0.00293656908499039,0.00353430196965452,0.00227521892869885,0.001107372382003
