"ex.sig","gt.sig","sim"
"signeR.1","SBS5",0.999746771891506
"signeR.2","SBS7a",0.998856466136425
"signeR.3","SBS3",0.995303072029066
"signeR.4","SBS40",0.979244878550015
"signeR.6","SBS4",0.996537998735197
"signeR.8","SBS7b",0.998186199329401
"signeR.9","SBS1",0.999951894834401
"signeR.10","SBS44",0.996397372536983
"signeR.11","SBS17b",0.999851656165536
"signeR.13","SBS18",0.993269450198994
"signeR.14","SBS13",0.999996786508225
"signeR.15","SBS2",0.999993249681608
"signeR.16","SBS7c",0.999858987746396
"signeR.18","SBS17a",0.997870998892418
"signeR.19","SBS26",0.985428186962606
"signeR.20","SBS7d",0.999947991674105
"signeR.21","SBS9",0.963254844491389
"signeR.23","SBS22",0.99159352544843
