"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.9861117272111
"SBS96B","SBS7b",0.998720772851795
"SBS96C","SBS4",0.984677882935329
"SBS96D","SBS2",0.999925502141977
"SBS96F","SBS3",0.948609184637303
"SBS96G","SBS40",0.930932469267197
"SBS96H","SBS17b",0.999566993274228
"SBS96I","SBS1",0.999996000992803
"SBS96J","SBS44",0.998560752025191
"SBS96K","SBS7c",0.999963150076835
"SBS96L","SBS18",0.99468292150473
"SBS96M","SBS12",0.994521098711168
"SBS96O","SBS16",0.976227394122534
"SBS96P","SBS17a",0.999989006612016
"SBS96Q","SBS7d",0.998732774055163
"SBS96R","SBS13",0.999972884698688
"SBS96S","SBS22",0.9942512790106
"SBS96T","SBS41",0.984549907516769
"SBS96U","SBS28",0.992976986326782
