Signature,NumberOfPostSamples
low confidence hdp.1,3416
low confidence hdp.2,2995
low confidence hdp.3,2201
low confidence hdp.4,1993
low confidence hdp.5,1800
low confidence hdp.6,1346
low confidence hdp.7,997
low confidence hdp.8,824
low confidence hdp.9,755
low confidence hdp.10,600
low confidence hdp.11,600
low confidence hdp.12,585
low confidence hdp.13,400
low confidence hdp.14,392
low confidence hdp.15,200
low confidence hdp.16,114
low confidence hdp.17,33
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
