Approach,Down_samp_level,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_sigs,FN,FP
mSigHdp,1k,seed.145879,0.866666666666667,1,0.986875967302674,2.853542633969341,15,0,2
mSigHdp,1k,seed.200437,0.866666666666667,1,0.987615461117573,2.85428212778424,15,0,2
mSigHdp,1k,seed.310111,0.866666666666667,1,0.988311244546312,2.854977911212979,15,0,2
mSigHdp,1k,seed.528401,0.928571428571429,1,0.990837517242237,2.9194089458136663,14,0,1
mSigHdp,1k,seed.1076753,0.866666666666667,1,0.988299687968517,2.854966354635184,15,0,2
mSigHdp,3k,seed.145879,1,1,0.990689795183902,2.990689795183902,13,0,0
mSigHdp,3k,seed.200437,0.928571428571429,1,0.987001924882236,2.915573353453665,14,0,1
mSigHdp,3k,seed.310111,0.866666666666667,1,0.990436208886132,2.8571028755527994,15,0,2
mSigHdp,3k,seed.528401,0.928571428571429,1,0.985809980066523,2.914381408637952,14,0,1
mSigHdp,3k,seed.1076753,0.866666666666667,1,0.98702571664532,2.853692383311987,15,0,2
mSigHdp,5k,seed.145879,0.928571428571429,1,0.989073666126013,2.917645094697442,14,0,1
mSigHdp,5k,seed.200437,0.8125,1,0.988793057715296,2.801293057715296,16,0,3
mSigHdp,5k,seed.310111,0.928571428571429,1,0.987094100897924,2.915665529469353,14,0,1
mSigHdp,5k,seed.528401,0.928571428571429,1,0.9889080291793,2.917479457750729,14,0,1
mSigHdp,5k,seed.1076753,0.866666666666667,1,0.987177542400872,2.853844209067539,15,0,2
mSigHdp,10k,seed.145879,0.866666666666667,1,0.989125088265356,2.855791754932023,15,0,2
mSigHdp,10k,seed.200437,0.8125,1,0.987478461659775,2.799978461659775,16,0,3
mSigHdp,10k,seed.310111,0.8125,1,0.988956993783232,2.801456993783232,16,0,3
mSigHdp,10k,seed.528401,0.866666666666667,1,0.990792155946439,2.857458822613106,15,0,2
mSigHdp,10k,seed.1076753,0.8125,1,0.990666173519995,2.803166173519995,16,0,3
mSigHdp,non_hyper,seed.145879,0.8125,1,0.981434339704911,2.793934339704911,16,0,3
mSigHdp,non_hyper,seed.200437,0.8125,1,0.98567835573244,2.79817835573244,16,0,3
mSigHdp,non_hyper,seed.310111,0.866666666666667,1,0.980827493127028,2.847494159793695,15,0,2
mSigHdp,non_hyper,seed.528401,0.8125,1,0.984286134798416,2.796786134798416,16,0,3
mSigHdp,non_hyper,seed.1076753,0.764705882352941,1,0.983693843418005,2.748399725770946,17,0,4
