MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00228156	0.00000110	0.00092618	0.02860166	0.08439356	0.02272580	0.00312643	0.37208356	0.01034769	0.00307635
1:Del:C:1	0.00000000	0.00000519	0.00442507	0.01893800	0.23431082	0.00130231	0.00425726	0.09575888	0.00041270	0.00008529
1:Del:C:2	0.00000000	0.00000000	0.00522643	0.00000000	0.21147278	0.00393413	0.00792617	0.00000000	0.00106021	0.00000000
1:Del:C:3	0.00234901	0.00170506	0.00880301	0.00505790	0.07547259	0.00002799	0.00559263	0.01020146	0.00125768	0.00051524
1:Del:C:4	0.00357901	0.00050055	0.00277212	0.00058711	0.04439358	0.00166106	0.00043545	0.01422492	0.00250560	0.00124885
1:Del:C:5	0.01486349	0.00188767	0.00846533	0.00144546	0.02649152	0.00113670	0.00032142	0.00024237	0.00360194	0.00349551
1:Del:T:0	0.00622426	0.00077355	0.11871388	0.03270967	0.02333501	0.00035143	0.06776535	0.11876857	0.00613039	0.01627675
1:Del:T:1	0.00000000	0.00000001	0.00668581	0.00159357	0.00326624	0.00000379	0.41803408	0.00624715	0.00974512	0.00000186
1:Del:T:2	0.00683850	0.00002804	0.13852166	0.00315281	0.00227963	0.00772736	0.06309276	0.09067704	0.00191055	0.00582833
1:Del:T:3	0.01952688	0.00124508	0.10287549	0.00235096	0.00205528	0.01927560	0.07266676	0.11799714	0.00579869	0.01363650
1:Del:T:4	0.04532485	0.00278992	0.08411472	0.00359312	0.00203615	0.01404187	0.02096270	0.10697388	0.00776962	0.01004493
1:Del:T:5	0.82632808	0.00028481	0.00894385	0.00023007	0.00103151	0.00018815	0.00170481	0.00748327	0.00111457	0.06318285
1:Ins:C:0	0.00000001	0.00000002	0.00000004	0.00000013	0.00000013	0.00000001	0.00000006	0.00000024	0.00000008	0.53286566
1:Ins:C:1	0.00018188	0.00000938	0.00826317	0.00195688	0.00518199	0.00143270	0.00269598	0.00000000	0.00005270	0.01401983
1:Ins:C:2	0.00000392	0.00000001	0.00579626	0.00159730	0.00403431	0.00001498	0.00368936	0.00000833	0.00007979	0.00047515
1:Ins:C:3	0.00038434	0.00065924	0.00187210	0.00025825	0.00879749	0.00000051	0.00028710	0.00000807	0.00078444	0.00078064
1:Ins:C:4	0.00271262	0.00115750	0.00315443	0.00063553	0.00831067	0.00027597	0.00001065	0.00008546	0.00049168	0.00071117
1:Ins:C:5	0.00789671	0.01879716	0.03257623	0.00918410	0.00812231	0.00001891	0.00000082	0.00007398	0.00369800	0.00270805
1:Ins:T:0	0.00104991	0.00222368	0.00197125	0.00331060	0.01743282	0.00634843	0.02428797	0.01376637	0.00460633	0.03814589
1:Ins:T:1	0.00000000	0.00000000	0.01176658	0.00421361	0.06625383	0.00018006	0.01090726	0.00468843	0.00035759	0.00275931
1:Ins:T:2	0.00049677	0.00000406	0.03488850	0.00008115	0.05519105	0.00000000	0.01530119	0.00003377	0.00010753	0.00130998
1:Ins:T:3	0.00105243	0.00302974	0.02743937	0.00129546	0.03187193	0.00003414	0.01642487	0.00010724	0.00052285	0.00028605
1:Ins:T:4	0.00340398	0.01359635	0.02901268	0.00424398	0.00822123	0.00041334	0.01243807	0.00192307	0.00224402	0.00466045
1:Ins:T:5	0.00272492	0.92186502	0.05740025	0.02320927	0.00141749	0.00571436	0.00146758	0.00590043	0.00333143	0.16362438
2:Del:R:0	0.00003081	0.00013225	0.01723410	0.00722360	0.00869494	0.00014936	0.02826266	0.01244778	0.08747099	0.00095657
2:Del:R:1	0.00294668	0.00008075	0.01431777	0.00714646	0.01175796	0.00037196	0.00973413	0.00063610	0.20630629	0.00685091
2:Del:R:2	0.00168126	0.00044210	0.00176667	0.00013186	0.01348450	0.00162249	0.00232398	0.00004887	0.04578754	0.00225620
2:Del:R:3	0.00093322	0.00014164	0.00011918	0.00002415	0.00624812	0.00039478	0.00003501	0.00000902	0.00981697	0.00020299
2:Del:R:4	0.00089379	0.00000819	0.00060914	0.00022016	0.00325634	0.00014335	0.00017410	0.00018885	0.00321881	0.00040994
2:Del:R:5	0.00000000	0.00000000	0.02288054	0.00002980	0.00054359	0.00000104	0.01392603	0.00002111	0.00098305	0.00000000
3:Del:R:0	0.00000000	0.00001098	0.01085811	0.01402761	0.00226150	0.00074962	0.01764862	0.00088969	0.00476925	0.00144160
3:Del:R:1	0.00426891	0.00340954	0.01065977	0.00212450	0.00000229	0.00406956	0.00054302	0.00134738	0.09680028	0.00474003
3:Del:R:2	0.00208870	0.00053658	0.00132125	0.00028239	0.00000223	0.00050734	0.00063240	0.00043866	0.01453798	0.00160531
3:Del:R:3	0.00049507	0.00025460	0.00114356	0.00041872	0.00004037	0.00010468	0.00017371	0.00025219	0.00362556	0.00034369
3:Del:R:4	0.00000000	0.00000001	0.00599400	0.00000001	0.00000922	0.00000001	0.00349472	0.00000003	0.00042074	0.00000412
3:Del:R:5	0.00000000	0.00000001	0.00934019	0.00000000	0.00019032	0.00003229	0.00485117	0.00001510	0.00023079	0.00002707
4:Del:R:0	0.00000000	0.00003834	0.00673161	0.00732504	0.00069859	0.00234590	0.01224673	0.00032793	0.00639813	0.00035402
4:Del:R:1	0.00190947	0.00037613	0.00191803	0.00071412	0.00097627	0.00246501	0.00024964	0.00246057	0.05633304	0.00062975
4:Del:R:2	0.00048776	0.00000000	0.00000982	0.00000082	0.00000000	0.00054113	0.00005410	0.00004112	0.01016637	0.00060199
4:Del:R:3	0.00000000	0.00000000	0.00372684	0.00000533	0.00003723	0.00009992	0.00226136	0.00000168	0.00370939	0.00003362
4:Del:R:4	0.00000000	0.00000013	0.00454882	0.00008815	0.00021572	0.00001482	0.00318643	0.00000000	0.00014668	0.00000000
4:Del:R:5	0.00015650	0.00002869	0.00158988	0.00001032	0.00007314	0.00010255	0.00090380	0.00000000	0.00067761	0.00006824
5:Del:R:0	0.00000000	0.00000000	0.00626731	0.29333797	0.00104657	0.01497046	0.02462992	0.00005809	0.00221744	0.00060441
5:Del:R:1	0.00320982	0.00000363	0.00007980	0.00000015	0.00000000	0.00746980	0.00062218	0.00019003	0.01174071	0.00042922
5:Del:R:2	0.00041609	0.00009196	0.00034183	0.00032101	0.00002199	0.00041435	0.00024990	0.00005714	0.00293632	0.00002861
5:Del:R:3	0.00011744	0.00000534	0.00031107	0.00000045	0.00002362	0.00018150	0.00008685	0.00009692	0.00096286	0.00011026
5:Del:R:4	0.00006159	0.00000156	0.00013366	0.00000148	0.00004211	0.00008063	0.00002620	0.00005553	0.00018559	0.00002950
5:Del:R:5	0.00001428	0.00002196	0.00055645	0.00000981	0.00000585	0.00000000	0.00066881	0.00004230	0.00015660	0.00000613
2:Ins:R:0	0.00022130	0.00057365	0.00518265	0.00169118	0.00221842	0.00198391	0.01015640	0.00081041	0.00092467	0.02588022
2:Ins:R:1	0.00022254	0.00000159	0.02076659	0.00116368	0.00309052	0.00006166	0.01116132	0.00113276	0.00032947	0.00000681
2:Ins:R:2	0.00096931	0.00018405	0.00845934	0.00031988	0.00135154	0.00039277	0.00401886	0.00039873	0.00014430	0.00108006
2:Ins:R:3	0.00044932	0.00038121	0.00188664	0.00048027	0.00085553	0.00032012	0.00100130	0.00044578	0.00030758	0.00101654
2:Ins:R:4	0.00205151	0.00221633	0.00386388	0.00108095	0.00023712	0.00004982	0.00001671	0.00012532	0.00047069	0.00355470
2:Ins:R:5	0.01496885	0.01294149	0.03639644	0.00891171	0.00001472	0.00002885	0.00060401	0.00007291	0.00440990	0.00032547
3:Ins:R:0	0.00000051	0.00004664	0.00384218	0.00033387	0.00034460	0.00100536	0.00274552	0.00046415	0.00022684	0.00813528
3:Ins:R:1	0.00103573	0.00030805	0.00690242	0.00050350	0.00033873	0.00008461	0.00570996	0.00056976	0.00055771	0.00297814
3:Ins:R:2	0.00017272	0.00003343	0.00159467	0.00002186	0.00016078	0.00081991	0.00077424	0.00000495	0.00112169	0.00034991
3:Ins:R:3	0.00001030	0.00014431	0.00011589	0.00005053	0.00000674	0.00029729	0.00005053	0.00002092	0.00000996	0.00033457
3:Ins:R:4	0.00010874	0.00009902	0.00016212	0.00012079	0.00002039	0.00014308	0.00000072	0.00004088	0.00016936	0.00094402
3:Ins:R:5	0.00208669	0.00096839	0.00240633	0.00052495	0.00000815	0.00000018	0.00000189	0.00002010	0.00030769	0.00189718
4:Ins:R:0	0.00000563	0.00000072	0.00171053	0.00068701	0.00014738	0.00165330	0.00302029	0.00000788	0.00041376	0.00525503
4:Ins:R:1	0.00115247	0.00058073	0.00482156	0.00091884	0.00001715	0.00066822	0.00487251	0.00097402	0.00200097	0.00179535
4:Ins:R:2	0.00000000	0.00002572	0.00032861	0.00013621	0.00014802	0.00041390	0.00025483	0.00002354	0.00008551	0.00008563
4:Ins:R:3	0.00022922	0.00005537	0.00004831	0.00000979	0.00000396	0.00038720	0.00000015	0.00000330	0.00008997	0.00084057
4:Ins:R:4	0.00015166	0.00035342	0.00039384	0.00024652	0.00000078	0.00000465	0.00002766	0.00015424	0.00025317	0.00150163
4:Ins:R:5	0.00219272	0.00076429	0.00257478	0.00132860	0.00001556	0.00004745	0.00081673	0.00000037	0.00033084	0.00020829
5:Ins:R:0	0.00000000	0.00000003	0.00428651	0.00000000	0.00006853	0.00866985	0.00397485	0.00000538	0.00005640	0.00284279
5:Ins:R:1	0.00004166	0.00165335	0.00233693	0.01105495	0.00026782	0.00570913	0.01250285	0.00111912	0.00239010	0.02473440
5:Ins:R:2	0.00000794	0.00022350	0.00043517	0.00005508	0.00000640	0.00132577	0.00030098	0.00000936	0.00006893	0.00054003
5:Ins:R:3	0.00008351	0.00020056	0.00058675	0.00007955	0.00006872	0.00005958	0.00004145	0.00017640	0.00004550	0.00012850
5:Ins:R:4	0.00000379	0.00018948	0.00035969	0.00004054	0.00001015	0.00002381	0.00006013	0.00013613	0.00001859	0.00002219
5:Ins:R:5	0.00006340	0.00018157	0.00081138	0.00038385	0.00007596	0.00000332	0.00035439	0.00001514	0.00002189	0.00000000
