Signature,NumberOfPostSamples
low confidence hdp.1,415
low confidence hdp.2,400
low confidence hdp.3,400
low confidence hdp.4,400
low confidence hdp.5,400
low confidence hdp.6,400
low confidence hdp.7,400
low confidence hdp.8,400
low confidence hdp.9,400
low confidence hdp.10,400
low confidence hdp.11,400
low confidence hdp.12,398
low confidence hdp.13,392
low confidence hdp.14,392
low confidence hdp.15,380
low confidence hdp.16,379
low confidence hdp.17,344
low confidence hdp.18,338
low confidence hdp.19,336
low confidence hdp.20,202
low confidence hdp.21,201
low confidence hdp.22,200
low confidence hdp.23,200
low confidence hdp.24,200
low confidence hdp.25,200
low confidence hdp.26,200
low confidence hdp.27,200
low confidence hdp.28,200
low confidence hdp.29,200
low confidence hdp.30,200
low confidence hdp.31,200
low confidence hdp.32,200
low confidence hdp.33,200
low confidence hdp.34,200
low confidence hdp.35,200
low confidence hdp.36,200
low confidence hdp.37,200
low confidence hdp.38,199
low confidence hdp.39,199
low confidence hdp.40,199
low confidence hdp.41,196
low confidence hdp.42,196
low confidence hdp.43,193
low confidence hdp.44,193
low confidence hdp.45,191
low confidence hdp.46,190
low confidence hdp.47,189
low confidence hdp.48,187
low confidence hdp.49,183
low confidence hdp.50,181
low confidence hdp.51,171
low confidence hdp.52,169
low confidence hdp.53,165
low confidence hdp.54,161
low confidence hdp.55,158
low confidence hdp.56,154
low confidence hdp.57,149
low confidence hdp.58,139
low confidence hdp.59,134
low confidence hdp.60,131
low confidence hdp.61,129
low confidence hdp.62,120
low confidence hdp.63,119
low confidence hdp.64,100
low confidence hdp.65,90
low confidence hdp.66,85
low confidence hdp.67,85
low confidence hdp.68,78
low confidence hdp.69,78
low confidence hdp.70,76
low confidence hdp.71,57
low confidence hdp.72,54
low confidence hdp.73,51
low confidence hdp.74,47
low confidence hdp.75,43
low confidence hdp.76,34
low confidence hdp.77,34
low confidence hdp.78,32
low confidence hdp.79,30
low confidence hdp.80,28
low confidence hdp.81,19
low confidence hdp.82,15
low confidence hdp.83,13
low confidence hdp.84,12
low confidence hdp.85,12
low confidence hdp.86,7
low confidence hdp.87,6
low confidence hdp.88,4
low confidence hdp.89,3
low confidence hdp.90,3
low confidence hdp.91,3
low confidence hdp.92,2
low confidence hdp.93,2
low confidence hdp.94,2
low confidence hdp.95,2
low confidence hdp.96,2
low confidence hdp.97,2
low confidence hdp.98,2
low confidence hdp.99,2
low confidence hdp.100,2
low confidence hdp.101,2
low confidence hdp.102,2
low confidence hdp.103,2
low confidence hdp.104,2
low confidence hdp.105,2
low confidence hdp.106,2
low confidence hdp.107,2
low confidence hdp.108,2
low confidence hdp.109,2
low confidence hdp.110,2
