num.sigs,25
likelihood,4605.218
evidence,-60640.46
relevance,25.8507624835292,7.49992605635949,3.15330827682152,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,9.49936995016165,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,4.90280671697437,0.924286019579925,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.939037826371698,2.6385747542378,0.00775193798449612,0.00775193798449612,1.18087269680081,0.00775193798449612,3.34335059542768,4.10548697094165,0.00775193798449612,1.06756835874542,5.68913551305196,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,3.01324830899838,0.00775193798449612,1.73300584101457,1.31515700379408,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.656186065632105,3.5420733016238,0.00775193798449612,0.00775193798449612,3.80013985773526,0.00775193798449612,0.536011381908669,0.00775193798449612,4.76707764717792,0.00775193798449612,9.94887507201344,0.483422511001599,0.00775193798449612,1.80951559702012,4.45806617484168,0.00775193798449612,0.00775193798449612,0.00775193798449612
error,2464800
