Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12
DEL,C,1,0,0.0274345244437147,0.00309145956006994,0.0214095273883165,0.00060961659843175,0.0470714040876305,0.029900623337375,0.113012294974247,0.0349852247815014,0.334596455212521,0.0109068149637808,0.0126208505225414,0.00653196512300552
DEL,C,1,1,0.000636149587873655,3.59578151467426e-05,0.0302402697295495,0.000599812558914983,0.014275029044023,0.00628850655102158,0.208852089010168,0.0211970814038854,0.0963645824832498,0.00262894670666285,0.00242689105029194,0.0150288625544376
DEL,C,1,2,3.19692573576527e-05,9.10148681747412e-07,0.0277736966103865,2.49420561896147e-06,0.00747053877632078,0.00806998431467559,0.186857178291509,0.00250436519093799,0.00275373532831066,0.000433596670412485,0.0033575288643672,0.00240168558342557
DEL,C,1,3,0.00902367300568668,0.00169935938246639,0.0139450265040769,0.0018223279352955,0.00454178872696258,0.00100426567261797,0.0668393545313664,0.00581012292516715,0.0113673812675241,0.00100860745139272,0.00145361490870097,0.00244297618071286
DEL,C,1,4,0.0135868860850729,0.00234901331361925,0.0028584105030428,0.000765473097870235,0.00399333594129191,0.00262934774776023,0.0429491879280533,0.00149183418724043,0.0130098297472802,0.00215665747111401,0.0023511105618442,0.00294297664830702
DEL,C,1,5+,0.0197411975130864,0.0111133865173936,0.00241090380799718,0.00292662632580301,0.00128026968200243,0.001875292563974,0.0244230287808882,0.0006125027930527,0.000857440778741341,0.00407177165453486,0.00223659003017434,0.000741970279959195
DEL,T,1,0,0.0412457144685337,0.00412404741758098,0.111153996999271,0.0016136200548378,0.0404213747908032,0.00343593526248791,0.029902227783219,0.0335438609836877,0.107957911892238,0.0182203557692435,0.00778005820664516,0.0256900703778002
DEL,T,1,1,1.49946441231891e-05,2.16884457039231e-07,0.097957137233508,2.27683350915253e-06,0.507667372692616,0.00116667141594082,0.0102772188343168,0.0101507083489171,0.0391755787223693,0.00067429261441988,0.00373644479547888,0.0110072478314508
DEL,T,1,2,0.0151752317937162,0.00480852997626044,0.119724397822766,0.000695714764964051,0.021591990437302,0.0100437061008293,0.00933634426484752,0.00876612373920847,0.0848593508295814,0.00690408084578256,0.00510815526739546,0.0344788075551994
DEL,T,1,3,0.0603215699223375,0.0134231619376869,0.0841348174127419,0.00242170365987443,0.0546415723009587,0.021538994134826,0.0136539856414837,0.00989243380713075,0.104196095535376,0.0151460670341476,0.00723734689083771,0.00721129811579477
DEL,T,1,4,0.53770773301686,0.0332541332659047,0.0459242636492278,0.00485197819056574,0.0141170533571007,0.0173301962095634,0.0134220432128476,0.00166525418741175,0.0921263544089449,0.0114206911562639,0.0048861284180096,0.00759328188360915
DEL,T,1,5+,0.0137234315158565,0.834133321667471,0.0272256607765193,0.00104057352705948,0.00649742386040192,0.00345826892295878,0.00950637943598254,0.0110654313840555,0.00425640668492838,0.041522365854714,0.00238259359139867,0.00989051099787562
INS,C,1,0,1.28335802761272e-05,1.96536577515683e-07,0.000567257628663101,2.09569008431176e-06,0.00285722852308706,0.00217891162924583,0.00259291900769794,0.0026086954498418,0.000200472396764545,0.52513131603901,0.000434530554442049,0.000698971947481288
INS,C,1,1,0.00179048365272911,0.000109729890213229,0.00124602481782309,4.42791167913676e-05,0.00230668457954463,0.00177791978293986,0.00132910107392325,0.00213574184428432,0.000208515759136639,0.0158789605955487,0.000262763245810241,0.109668334649577
INS,C,1,2,0.000219052192408328,9.90726284660663e-06,0.00300232563258289,1.32492481161425e-05,0.00193390869038676,0.000137976866800844,0.00183025889074946,0.0015044373919005,0.000376239743627275,0.000727574592126083,0.000171295198077221,0.0602413346975156
INS,C,1,3,0.00152359830410816,0.000239638413469734,0.000348250843660268,0.000886762554910738,0.00041437324081344,0.000101291153042089,0.00623183114025333,0.000147364421751501,0.000270293675454622,0.00103483315794438,0.000873242659510442,0.0243605578715472
INS,C,1,4,0.00698816817543734,0.00182474660689276,0.000136015632750157,0.00159129134090425,0.000312485746010164,0.000464039123230874,0.0073603758487825,0.000277181747559255,0.000480008293165353,0.000986140259407642,6.72690095921804e-05,0.00705550794001312
