Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12,signeR.13,signeR.14
DEL,C,1,0,0.00493569570220805,7.59598145619539e-07,0.0263821589014096,0.00470581593983887,0.00399067260708175,0.0454441002204309,0.117564645898367,0.0341269974021504,6.51356421013874e-05,0.00929366359957919,0.352187963113934,0.0166050735651183,0.0133032905586347,0.000710028105335423
DEL,C,1,1,1.55233822955143e-05,0.000508160654972896,0.02483772182111,0.000217790652893005,1.41661288352968e-05,0.0237554574472888,0.209150003789102,0.00557166770812216,2.27603781721718e-05,0.000817010301033205,0.104461963788278,0.025025978727769,0.00162068445600227,6.92526717644346e-05
DEL,C,1,2,7.70437740427992e-07,3.40591858594108e-07,0.0220341829817183,3.52400518910774e-06,4.52716340289848e-06,0.000863731117963529,0.178540782414883,0.00738644571030953,9.87255621341601e-06,0.000287747518020569,1.68357370829183e-05,0.0215876373052468,0.000279126872771674,4.26074188839645e-05
DEL,C,1,3,0.00246756939880851,0.00180005474452503,0.0124653468525179,0.00259523666193042,0.00249798709529231,0.0047450484443609,0.0650478871367038,0.000951523463960157,0.00188000043141197,0.000325179607046232,0.0106389430221766,0.0103167106336486,0.000170541469808098,0.00237842938649979
DEL,C,1,4,0.00386653764591896,0.000583308963427902,0.00305695632357255,0.00400281505634718,0.003789150763563,9.3612749198561e-06,0.0434501681870614,0.00246796320942121,0.00146149896832462,0.00189640894284834,0.0136983854959268,0.00142224567327124,0.00110921269355039,0.00339158803580073
DEL,C,1,5+,0.0146348470896037,0.00338877817631634,0.00207857780902644,0.0145565713994405,0.0146974077424046,1.39215554345972e-05,0.0225809260693853,0.00109219156422489,0.00694631616645547,0.00248694571595925,1.22920912797912e-05,0.00171596370864041,0.00205935108952597,0.0145158667429799
DEL,T,1,0,0.00795726763471482,0.00112828841580445,0.0988640307282278,0.00794614797702778,0.00781650194276764,0.0346584294540543,0.0406705210240808,0.00482712645871419,0.00282104304322358,0.0174223783183493,0.110833839812947,0.0598696625662903,0.00405847748369283,0.00848671475717338
DEL,T,1,1,8.36311917014031e-07,3.44960959107727e-07,0.155988418096522,3.63943274095919e-06,3.98555207719631e-06,0.00815060943897596,0.00686568732047752,1.97573087951558e-05,8.41715264602338e-06,0.000118736135930517,0.0325224518184995,0.0262312212197462,0.0382335186951705,3.33810650902063e-05
DEL,T,1,2,0.00703745148816101,0.000687593743222832,0.107261776104733,0.00727076839343007,0.00710431586018606,0.00730086992954196,0.0206525285596968,0.0124486688018142,0.00245683383932074,0.0106154586670949,0.0912252459283094,0.0654307415566225,9.16030039909022e-05,0.00808957764759311
DEL,T,1,3,0.0201743376697125,0.00182960147693532,0.0887474034538514,0.0208137766674292,0.0205218817950541,0.00887063958879012,0.0216169450210464,0.0234471310411952,0.0072063808152431,0.016845079181867,0.119528195287551,0.0468982571202318,0.000255634275588093,0.0208664962732934
