Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID1 1),signeR.2 (False Positive) (ID2 1),signeR.3 (ID5 0.958),signeR.4 (False Positive) (ID2 1),signeR.5 (ID2 1),signeR.6 (False Positive) (ID1 0.999),signeR.7 (False Positive) (ID2 0.994),signeR.8 (False Positive) (ID6 0.86),signeR.9 (False Positive) (ID2 0.999),signeR.10 (False Positive) (ID2 0.971),signeR.11 (ID3 0.989),signeR.12 (ID9 0.997),signeR.13 (ID14 0.986),signeR.14 (ID4 0.986)
DEL,C,1,0,6.72377755405987e-06,0.00127105475574107,0.0186840880748355,0.00432361750716558,0.00446751310510671,1.71789952434466e-05,0.00562585503749865,0.0322074698897277,0.00646292742965376,0.0070495845269865,0.102572870973364,0.364866286847479,0.00661586979951608,0.0090438237086534
DEL,C,1,1,0.00011963149725016,1.10619107237068e-05,0.0214849674299541,4.23790623802808e-05,2.85423642520198e-05,0.000609595539226822,0.000114281885030176,0.00889612796403019,9.6343374510908e-05,6.26489136730087e-05,0.223480748059598,0.0970454190848207,0.000935043021396206,0.000203469615103123
DEL,C,1,2,1.84861713708754e-06,2.3368125876918e-06,0.0171195823821342,4.34543145947778e-06,5.97725750002151e-06,3.8836689375489e-06,3.99851653431474e-06,0.002908714846148,7.05365506901386e-06,8.10690182677919e-06,0.195816808510013,2.61140553865095e-05,9.10340203967149e-05,0.00195286873452965
DEL,C,1,3,0.00170186033784731,0.00191521467346564,0.0102630928949668,0.00127195718494166,0.00168281646889354,0.00365728569708334,0.000104825556931301,0.00138057446329674,0.00447632901891005,0.00573419578076529,0.0709609683348503,0.0114273282053857,0.000758953443154906,0.000465751070096976
DEL,C,1,4,0.000731298731322513,0.000924607764618826,0.00177155192380241,0.00349046419707497,0.00384143742236969,0.000412396284620459,0.00837563849213756,0.00149935137173179,0.00458974159591358,0.00626011161831783,0.043900502385218,0.0138983128954394,0.00199744742475835,0.00207047632241882
DEL,C,1,5+,0.00215852411569037,0.00939425779737041,0.000552493506998007,0.0043542595453231,0.0215687407839361,0.00781450051168254,0.022693264691689,0.000367315676479919,0.00979080141040199,0.0374166564535166,0.0251098498364034,3.0625646100245e-05,0.00402239143201818,0.00203932918796264
DEL,T,1,0,0.000728328975876753,0.00201253534380569,0.0999783812671855,0.00554581598621221,0.00502187963609588,0.00540478201185321,0.0125169296900803,0.0105099317249268,0.00910082755803493,0.0164533799633996,0.0306276996995521,0.121672912169094,0.0181450954877076,0.00237438359556196
DEL,T,1,1,1.82166762442888e-06,2.44679096822653e-06,0.143748650953174,3.45086242309082e-06,3.76361564276412e-06,3.1054562032446e-06,4.96453796472128e-06,9.92513440905663e-06,6.06938755583271e-06,7.69623970746471e-06,0.000326612946155557,0.0233940668064087,0.000150779186701961,0.0304895668676181
DEL,T,1,2,1.18883671573592e-05,0.00350857106118471,0.105564669477919,0.00640204784407878,0.00899509399056606,3.51887163091533e-05,0.0150596163409643,0.00719268884638787,0.0107606909823729,0.00791782709776612,0.00824006070779008,0.0857145962462212,0.00703913634083261,0.000159194785380691
DEL,T,1,3,1.30720454814009e-05,0.020778231149624,0.0822443019281427,0.00462567481347756,0.0150613926989262,4.21783122088155e-05,0.0403372610504943,0.0145479950545191,0.0197952999401805,0.0568231446608313,0.00952958681584356,0.113628863763714,0.0165419797745618,0.00276349430980221
DEL,T,1,4,0.00122100770939314,0.0280848756593078,0.0391131764399096,0.0443627434621746,0.0441600108312426,0.00916017861100327,0.0253552541781999,0.00924420002921903,0.0656947142520051,0.158954073232223,0.0103929028705607,0.100669555135457,0.0145333957571194,0.00023792990422323
