num.sigs,17
likelihood,79323.47
evidence,38823.88
relevance,0.474139080851871,0.580910405821991,0.132573727507314,0.365008085286703,0.394445923363872,6.76563967770225,0.492632436751251,0.270897560986076,0.00453926463912846,0.406472908345436,0.0619616850916366,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.231820006519686,0.250050152894906,0.00453926463912846,0.00453926463912846,0.00453926463912846,3.12344298234953,0.00453926463912846,0.418833338738094,0.697483523298074,0.208901795645142,0.508853182369613
error,8731913
