"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.913992943104274
"SBS96B","SBS2",0.998545662009738
"SBS96C","SBS7b",0.979975403266128
"SBS96D","SBS40",0.901228367728253
"SBS96E","SBS4",0.982529054778779
"SBS96G","SBS44",0.993530646035692
"SBS96H","SBS1",0.999746637337697
"SBS96I","SBS3",0.928963880508731
"SBS96J","SBS18",0.989996053369019
"SBS96K","SBS17b",0.99951845028713
"SBS96L","SBS7c",0.993718075149679
"SBS96M","SBS17a",0.999714993413615
"SBS96N","SBS7d",0.958632461524924
"SBS96O","SBS13",0.998881867370854
"SBS96P","SBS28",0.965153762133963
