MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	0.00223360	0.00000324	0.00507049	0.03218367	0.09737080	0.02712604	0.34039999	0.01548236	0.00307949
1:Del:C:1	0.00000142	0.00002642	0.00637090	0.01897531	0.22311999	0.00280546	0.08917148	0.00103168	0.00007277
1:Del:C:2	0.00000000	0.00000000	0.00746229	0.00116674	0.19930546	0.00343368	0.00078917	0.00128259	0.00000000
1:Del:C:3	0.00240923	0.00203461	0.00653960	0.00572320	0.07178605	0.00018868	0.01053339	0.00073759	0.00051745
1:Del:C:4	0.00371791	0.00067754	0.00011342	0.00118025	0.04239137	0.00162431	0.01373009	0.00208265	0.00130069
1:Del:C:5	0.01561636	0.00259627	0.00013481	0.00252211	0.02507668	0.00098582	0.00061412	0.00192649	0.00356811
1:Del:T:0	0.00676621	0.00158065	0.11496827	0.04245838	0.03013212	0.00254122	0.11645242	0.00461277	0.01610054
1:Del:T:1	0.00000000	0.00000000	0.18111842	0.04179250	0.00451496	0.00009928	0.00488171	0.02870708	0.00000785
1:Del:T:2	0.00728921	0.00026607	0.13213118	0.01552071	0.00865205	0.00849902	0.08897471	0.00156048	0.00593234
1:Del:T:3	0.02029255	0.00203429	0.10427618	0.01496360	0.00874810	0.01917817	0.11463192	0.00527447	0.01286519
1:Del:T:4	0.04776878	0.00438419	0.05205136	0.01031300	0.00836215	0.01445023	0.10747178	0.00272807	0.01115532
1:Del:T:5	0.81552791	0.00031802	0.00562942	0.00041062	0.00073060	0.00006441	0.01346382	0.00095181	0.06694779
1:Ins:C:0	0.00000000	0.00000001	0.00000005	0.00000011	0.00000012	0.00000002	0.00000024	0.00000013	0.51940606
1:Ins:C:1	0.00022343	0.00000680	0.00669278	0.00233018	0.00590943	0.00139882	0.00064371	0.00001290	0.01407419
1:Ins:C:2	0.00001145	0.00000793	0.00605492	0.00206431	0.00391289	0.00006877	0.00046574	0.00003962	0.00048512
1:Ins:C:3	0.00043599	0.00078458	0.00062262	0.00042337	0.00835929	0.00000031	0.00011420	0.00059409	0.00067998
1:Ins:C:4	0.00290847	0.00146412	0.00000430	0.00125892	0.00785786	0.00024272	0.00020620	0.00000000	0.00075780
1:Ins:C:5	0.00880878	0.02277276	0.00000270	0.01013105	0.00811316	0.00002869	0.00112841	0.00060918	0.00261278
1:Ins:T:0	0.00109696	0.00233245	0.01055617	0.00600585	0.01594519	0.00596290	0.01379339	0.00597456	0.03732382
1:Ins:T:1	0.00000000	0.00000097	0.01347022	0.00655847	0.06256211	0.00038919	0.00392834	0.00047245	0.00286387
1:Ins:T:2	0.00063099	0.00002533	0.03123114	0.00303540	0.05430313	0.00000000	0.00229661	0.00003432	0.00138727
1:Ins:T:3	0.00115045	0.00379415	0.02388678	0.00414368	0.03070388	0.00002100	0.00165594	0.00035720	0.00028913
1:Ins:T:4	0.00375588	0.01521454	0.01496367	0.00757086	0.00808564	0.00039879	0.00360633	0.00084956	0.00515141
1:Ins:T:5	0.00297430	0.90272557	0.00055465	0.01065713	0.00142953	0.00583997	0.01417320	0.00277761	0.18326401
2:Del:R:0	0.00003951	0.00015629	0.02494889	0.00968159	0.00894615	0.00044748	0.01244487	0.09142408	0.00039080
2:Del:R:1	0.00313970	0.00018073	0.01363412	0.00815278	0.01173527	0.00072328	0.00167637	0.19389612	0.00518425
