Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6
DEL,C,1,0,0.00817562526546667,0.00375310062140324,0.0154025648619914,0.168089728159623,0.0137265319626559,0.0198087903264986
DEL,C,1,1,0.0076473262750368,0.000410881108394234,0.0203143470138252,0.140573108403399,0.0169326584122831,0.0499681658139196
DEL,C,1,2,0.00208906410682541,2.09899106963151e-05,0.025479471314011,0.0709677781172898,0.0578051127748243,0.0144366116152589
DEL,C,1,3,0.00373396548819523,0.0036942152662668,0.0113357166120345,0.0929564319195848,0.00547035222127984,0.0270245391713907
DEL,C,1,4,0.00316998907887214,0.00272493761610101,0.00307632471219632,0.0535885383757555,0.00854500054423323,0.00228848164995692
DEL,C,1,5+,0.00152768951474157,0.0119759342018233,0.00144442623714662,0.0238922060234572,0.0058529320161093,0.00512415332571359
DEL,T,1,0,0.0231670685390211,0.00843294907821518,0.0755718724250231,0.0221635270489315,0.054051520027244,0.00361298834792081
DEL,T,1,1,0.00730177242294881,2.27931676289883e-05,0.0859043103432274,0.0338912509334221,0.169252223542991,0.269140783811358
DEL,T,1,2,0.0157466857726779,0.00458731432731182,0.103041719212278,0.00627130471076917,0.0133784382338392,0.126955756873755
DEL,T,1,3,0.0105066908982579,0.0145894215232005,0.0935190433290272,0.0101319417796148,0.309452091849326,0.0116469652687751
DEL,T,1,4,0.0210037550727305,0.0416423328413958,0.0322540297845269,0.00782884922527243,0.00470950338987252,0.00565088764961428
DEL,T,1,5+,0.0122637956480704,0.392702060506862,0.0152135696203785,0.00743083839570706,0.00915281745770877,0.0211051704343513
INS,C,1,0,0.000949077883447694,2.16210506227507e-05,0.000724949765864356,0.00251263454958328,0.00270284542375292,0.000966531914730407
INS,C,1,1,0.00237285732219669,0.000287502269060739,0.00112859334282704,0.00112299554302647,0.00260046491527744,0.00194584864314772
INS,C,1,2,0.000722362033762481,2.35144704020575e-05,0.00250700688792706,0.000929258418472869,0.00367384371992573,0.00350815287568814
INS,C,1,3,0.000178809889767508,0.00100622638471626,0.000453283979128948,0.00560631052798125,0.00405426813562939,0.000823342001437013
INS,C,1,4,0.00103262873954313,0.0021271489266352,0.000301507140674284,0.0046189309721423,0.00203252251562919,0.000557417876749282
INS,C,1,5+,0.00345020479553944,0.0218302284269408,0.00341162349768177,0.0130378287030727,0.00125335296165257,0.000370759596920394
INS,T,1,0,0.00896384579809768,0.00162266075086591,0.00477209415532572,0.0253144744404651,0.00222650663695117,0.00735126786997333
INS,T,1,1,0.00195038724797335,4.9715793633798e-05,0.0109500159225278,0.0273957889706475,0.0068982908921222,0.00263622858224087
INS,T,1,2,0.00156229368402361,0.000498528411606811,0.0216050926578799,0.0835843135468815,0.0205978806157056,0.0589431050221305
INS,T,1,3,0.000803766390635539,0.00378743463340134,0.0184375305046934,0.0271697623253349,0.0152169766281465,0.0143726875468244
INS,T,1,4,0.00164649499442886,0.0109475908708278,0.0135137546986449,0.00753331513790514,0.0120388701071547,0.00881640751849323
INS,T,1,5+,0.0365026502760853,0.410157794989685,0.173655310278452,0.063564640731497,0.0110764933274851,0.00514460902761264
DEL,repeats,2,0,0.00158824681098513,0.000919886442779876,0.0189996616552071,0.0114291307898935,0.00405750120431809,0.0331893763312187
DEL,repeats,2,1,0.00410361867246178,0.0027385251570887,0.0192313010006943,0.0173287661222427,0.00268560239074653,0.00831524282196635
DEL,repeats,2,2,0.00216487455663408,0.00159176194332455,0.0040253939927308,0.0132244281440901,0.0029517917127828,0.00352605161484982
DEL,repeats,2,3,0.000519257675523469,0.000846304543642149,0.000306171339535544,0.00802071695651893,0.0019958810704906,0.000204557018990562
DEL,repeats,2,4,0.000747534615552233,0.000455511717477894,0.000342485459241065,0.00421514201780954,0.00244527761821985,0.00208903855644112
DEL,repeats,2,5+,0.000388841586406025,1.45432671620087e-05,0.0156600952705452,0.000379316896494412,0.00737462967892395,0.0259173743061042
DEL,repeats,3,0,0.0011393682917834,0.000105508563130704,0.0139310577151299,0.000920931121013986,0.00836825945591765,0.0279859571606463
DEL,repeats,3,1,0.00508495908967618,0.0074209432550297,0.00713636703932505,0.000740449694456161,0.00515243380022438,0.00709045767076036
DEL,repeats,3,2,0.000875771682731804,0.0015348241056754,0.0011294500324138,0.00021192122308626,0.00365228992866773,0.00054207610032499
DEL,repeats,3,3,0.000348676032775092,0.000745574611383029,0.000624241145553893,0.000151590802720885,0.00208532930421129,0.000590658392335249
DEL,repeats,3,4,8.79414226866755e-05,1.00261085456626e-05,0.0043715917735145,0.000156519203257775,0.00626353173957416,0.00577362186100862
DEL,repeats,3,5+,0.000301453049882691,1.304656390789e-05,0.00737652568681399,0.000243700909306894,0.00530223264946746,0.00818483772235987
DEL,repeats,4,0,0.00213027038735205,4.39093063105905e-05,0.0079230460493022,0.000610781776882131,0.00955048490641883,0.0105065598879028
DEL,repeats,4,1,0.00354663464696918,0.00187624375702307,0.00247559493641245,0.00196371269668142,0.00184823760037331,0.00298397551452483
DEL,repeats,4,2,0.000415672826685799,0.000303668467462154,9.10946593923567e-05,0.000105195859735681,0.000329773006247366,0.000473038106415675
DEL,repeats,4,3,0.000218292466373138,9.28677320326657e-06,0.00280789530834424,0.000195776462706793,0.00254011429975504,0.0045104822687419
DEL,repeats,4,4,0.000196014406262054,1.17842840550188e-05,0.00327150715638026,0.000290775631676496,0.00325246710083187,0.00881896448123061
DEL,repeats,4,5+,0.000163426645340438,0.000109097044426724,0.00109380222683132,0.000241321681461499,0.000859996271194112,0.0045386088588531
DEL,repeats,5+,0,0.0395352959274405,2.24234999577903e-05,0.0160022951665907,0.00165203384893467,0.00740049422843355,0.0163083083390226
DEL,repeats,5+,1,0.000842663558362338,0.0017790932897753,0.000229735590850003,0.000261035283609058,0.000648769116865734,0.000414227963455889
DEL,repeats,5+,2,0.000757519089207857,0.000126471424973029,0.000229116870592897,0.000137145490802415,0.000407366654776159,0.000562531802224046
DEL,repeats,5+,3,0.000310006524056727,0.000143016307330305,7.8863035848033e-05,0.000118621502577553,0.000366414451385963,0.000393772261556832
DEL,repeats,5+,4,0.000126806067697984,2.11522038202557e-05,4.34056057292734e-05,4.14665424483138e-05,0.000128245057985087,7.67088821214609e-05
DEL,repeats,5+,5+,3.64579640650012e-05,4.00683690439968e-05,0.000517154947208646,0.000243870854152993,0.000938667609285804,0.000884709107134182
INS,repeats,2,0,0.00137493032008206,0.00057651025766026,0.00493324698536884,0.0013476626295702,0.00764297438008602,0.00864509101508864
INS,repeats,2,1,0.00130055086975498,0.000141907304316711,0.0178507457316274,0.00140765316024337,0.0138817192597135,0.0143266622175515
INS,repeats,2,2,0.000343374830150118,0.000801854260251757,0.00545159177922576,0.000687087012780872,0.0127113483944042,0.0061315966442421
INS,repeats,2,3,0.000786496828710013,0.000440634847783341,0.00126285563861901,0.00162654212201972,0.000618593809104537,0.00143189913293394
INS,repeats,2,4,0.000491841026364865,0.00259181217304641,0.000711480701805821,0.000523939960525211,0.000505436405000049,0.000145746876030776
INS,repeats,2,5+,0.00172129724005732,0.0214391380633827,0.00595142255923545,0.00131758239181056,0.00529145575383846,0.00143189913293394
INS,repeats,3,0,0.000577570904398177,9.27054389087252e-05,0.00284758859253088,0.000408547410023551,0.00121563382695108,0.00368714026730489
INS,repeats,3,1,0.000521241561168398,0.000746449190995375,0.00522956639465662,0.000645110635794259,0.00484313689567211,0.0010534686478014
INS,repeats,3,2,0.000868258935453468,0.000112739623430724,0.000728186148747679,0.000248969199535983,0.000821199446929716,0.00237797534576529
INS,repeats,3,3,7.54201772227813e-05,0.000161887391130729,5.50185090164913e-05,9.31297756626065e-05,0.000244635530778275,3.83544410607304e-05
INS,repeats,3,4,0.000447870315021527,0.000123117367078257,5.08302488145439e-05,0.000107914977273276,4.09522033901958e-05,4.09114037981125e-05
INS,repeats,3,5+,0.000200892813585649,0.00221851093912909,0.000405547331599933,0.000156519203257775,0.00108092263158859,0.000166202577929832
INS,repeats,4,0,0.00171989876329122,1.9754679697434e-05,0.0022936435869574,0.000201384642628081,0.00133202429974426,0.00159043082265162
INS,repeats,4,1,0.00150105341075474,0.00131877589257183,0.00258177685130501,0.00049097066038188,0.00329234161465916,0.0037843048513254
INS,repeats,4,2,0.000283370420069898,1.05851181947912e-05,0.000202416711805482,0.000193907069399697,0.000535611712761245,0.000600886243284777
INS,repeats,4,3,0.000145506629105098,0.000143016307330305,2.92702275477008e-05,6.98473317469548e-05,0.000212304843891278,2.81265901112023e-05
INS,repeats,4,4,0.000153637307977757,0.000347451545787457,4.90692757750887e-05,0.000137655325340714,0.000210149464765479,0.000217341832677472
INS,repeats,4,5+,0.000340155081316546,0.00250623861530641,0.00076759386973873,0.000243361019614694,0.00121778920607688,0.000380987447869922
INS,repeats,5+,0,0.00407350263791745,2.44341314377208e-05,0.00347454258844285,0.000195096683322395,0.00762788672620542,0.00405278593875051
INS,repeats,5+,1,0.00883255159566199,0.00124122682818223,0.00402796406149108,0.00128206391897574,0.00268560239074653,0.00501676089074354
INS,repeats,5+,2,0.000944362089701552,0.000217779339758933,0.000293844528259358,0.000115052660809461,0.000351326797505364,0.000329848193122282
INS,repeats,5+,3,0.000195233861090279,6.80368840697569e-05,0.000294891593309844,0.00012049089588465,0.00029636462979747,0.00017643042887936
INS,repeats,5+,4,0.000185899841744466,9.8151274845398e-05,0.000129360127601058,8.6162036972521e-05,0.000594884638720739,0.000235240571839147
INS,repeats,5+,5+,0.000372092387928349,0.000140717154741147,0.000578979379053302,0.000272421588297734,0.00119300234613018,0.00153417764242922
DEL,MH,2,1,0.00323805912239404,0.00050107100388188,0.0300800847703865,0.0132881574613775,0.0464430317131708,0.0194150180649417
DEL,MH,3,1,0.000839021014227387,3.35586115170468e-05,0.00858065049487388,0.000876405571335879,0.00249916209636485,0.0176328150369865
DEL,MH,3,2,0.00522161954016783,0.00298017060235156,0.00581758860823685,0.00195963402037503,0.00705994432655718,0.0141706874905712
DEL,MH,4,1,0.00282752488475576,8.10023014156766e-05,0.00778649924794553,0.000506945475915246,0.00327617627121567,0.00757116666538819
DEL,MH,4,2,0.00605130653504941,0.00040886146062964,0.00647752515323916,0.000782426071442774,0.0048733122034333,0.00610602701686828
DEL,MH,4,3,0.00484468126763138,0.00052148387235974,0.00218888948804278,0.000414665424483138,0.00136758805531996,0.00607278650128232
DEL,MH,5+,1,0.0207696240439135,0.00034183440044218,0.00463569013556684,0.00138063192971353,0.0143354265656943,0.0132731935697501
DEL,MH,5+,2,0.57327468620458,2.5795590421889e-05,0.00449695401637733,0.00300802377596375,0.00577426067801761,0.00774504013153016
DEL,MH,5+,3,0.0499283199350586,0.000128788610131514,0.0043438445496766,0.000867568439338697,0.00300890925961649,0.00752514133611531
DEL,MH,5+,4,0.0526935638196498,0.000130898420742742,0.0027238445411097,0.0014416421294633,0.0058798742551818,0.00402210238590193
DEL,MH,5+,5+,0.0107561726487865,0.00146353234284217,0.000750983610528734,0.000434718916322897,0.00372772819807072,0.00296096284988839
