Signature,NumberOfPostSamples
low confidence hdp.1,3455
low confidence hdp.2,3263
low confidence hdp.3,3195
low confidence hdp.4,2575
low confidence hdp.5,2399
low confidence hdp.6,2288
low confidence hdp.7,2199
low confidence hdp.8,2198
low confidence hdp.9,1878
low confidence hdp.10,1202
low confidence hdp.11,800
low confidence hdp.12,596
low confidence hdp.13,524
low confidence hdp.14,504
low confidence hdp.15,400
low confidence hdp.16,340
low confidence hdp.17,297
low confidence hdp.18,283
low confidence hdp.19,238
low confidence hdp.20,221
low confidence hdp.21,206
low confidence hdp.22,200
low confidence hdp.23,200
low confidence hdp.24,186
low confidence hdp.25,119
low confidence hdp.26,67
low confidence hdp.27,38
low confidence hdp.28,34
low confidence hdp.29,25
low confidence hdp.30,17
low confidence hdp.31,16
low confidence hdp.32,16
low confidence hdp.33,11
low confidence hdp.34,11
low confidence hdp.35,9
low confidence hdp.36,8
low confidence hdp.37,8
low confidence hdp.38,8
low confidence hdp.39,8
low confidence hdp.40,6
low confidence hdp.41,6
low confidence hdp.42,6
low confidence hdp.43,6
low confidence hdp.44,6
low confidence hdp.45,6
low confidence hdp.46,4
low confidence hdp.47,4
low confidence hdp.48,4
low confidence hdp.49,4
low confidence hdp.50,4
low confidence hdp.51,3
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
low confidence hdp.55,2
low confidence hdp.56,2
low confidence hdp.57,2
low confidence hdp.58,2
low confidence hdp.59,2
low confidence hdp.60,2
low confidence hdp.61,2
low confidence hdp.62,2
low confidence hdp.63,2
low confidence hdp.64,2
low confidence hdp.65,2
low confidence hdp.66,2
low confidence hdp.67,2
low confidence hdp.68,2
low confidence hdp.69,2
low confidence hdp.70,2
low confidence hdp.71,2
low confidence hdp.72,2
low confidence hdp.73,2
low confidence hdp.74,2
low confidence hdp.75,2
