Signature,NumberOfPostSamples
hdp.1,3600
hdp.2,3400
hdp.3,3200
hdp.4,2800
hdp.5,2204
hdp.6,2202
hdp.7,2004
hdp.8,1802
hdp.9,1799
hdp.10,1603
hdp.11,1602
hdp.12,1600
hdp.13,1600
hdp.14,1600
hdp.15,1600
hdp.16,1600
hdp.17,1600
hdp.18,1600
hdp.19,1600
hdp.20,1600
hdp.21,1600
hdp.22,1600
hdp.23,1600
hdp.24,1600
hdp.25,1600
hdp.26,1600
hdp.27,1600
hdp.28,1600
hdp.29,1600
hdp.30,1600
hdp.31,1600
hdp.32,1600
