"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.921902211684025
"SBS96B","SBS2",0.9995981434575
"SBS96C","SBS7b",0.993496646830413
"SBS96D","SBS4",0.984984457572086
"SBS96F","SBS3",0.929057030232174
"SBS96G","SBS40",0.927329442588502
"SBS96H","SBS44",0.999131660121229
"SBS96I","SBS1",0.999809311951764
"SBS96J","SBS17b",0.999350218054431
"SBS96K","SBS12",0.991336755604923
"SBS96L","SBS18",0.989503219575372
"SBS96M","SBS7c",0.999098481319214
"SBS96N","SBS17a",0.999834287307713
"SBS96P","SBS7d",0.994264008664314
"SBS96Q","SBS13",0.999898624952821
"SBS96R","SBS22",0.99269405635015
"SBS96S","SBS41",0.932924878830347
"SBS96T","SBS28",0.982562924820446
