Signature,NumberOfPostSamples
low confidence hdp.1,3190
low confidence hdp.2,3129
low confidence hdp.3,3000
low confidence hdp.4,2928
low confidence hdp.5,2600
low confidence hdp.6,2400
low confidence hdp.7,2301
low confidence hdp.8,2000
low confidence hdp.9,2000
low confidence hdp.10,1967
low confidence hdp.11,1937
low confidence hdp.12,1681
low confidence hdp.13,1400
low confidence hdp.14,1201
low confidence hdp.15,1013
low confidence hdp.16,1002
low confidence hdp.17,1000
low confidence hdp.18,1000
low confidence hdp.19,821
low confidence hdp.20,685
low confidence hdp.21,616
low confidence hdp.22,602
low confidence hdp.23,600
low confidence hdp.24,600
low confidence hdp.25,573
low confidence hdp.26,509
low confidence hdp.27,464
low confidence hdp.28,406
low confidence hdp.29,400
low confidence hdp.30,400
low confidence hdp.31,400
low confidence hdp.32,364
low confidence hdp.33,348
low confidence hdp.34,334
low confidence hdp.35,266
low confidence hdp.36,260
low confidence hdp.37,227
low confidence hdp.38,221
low confidence hdp.39,205
low confidence hdp.40,205
low confidence hdp.41,200
low confidence hdp.42,200
low confidence hdp.43,200
low confidence hdp.44,200
low confidence hdp.45,199
low confidence hdp.46,198
low confidence hdp.47,198
low confidence hdp.48,197
low confidence hdp.49,196
low confidence hdp.50,189
low confidence hdp.51,187
low confidence hdp.52,187
low confidence hdp.53,186
low confidence hdp.54,174
low confidence hdp.55,174
low confidence hdp.56,171
low confidence hdp.57,171
low confidence hdp.58,170
low confidence hdp.59,169
low confidence hdp.60,168
low confidence hdp.61,158
low confidence hdp.62,152
low confidence hdp.63,151
low confidence hdp.64,150
low confidence hdp.65,132
low confidence hdp.66,122
low confidence hdp.67,119
low confidence hdp.68,116
low confidence hdp.69,114
low confidence hdp.70,113
low confidence hdp.71,112
low confidence hdp.72,110
low confidence hdp.73,103
low confidence hdp.74,102
low confidence hdp.75,101
low confidence hdp.76,101
low confidence hdp.77,93
low confidence hdp.78,90
low confidence hdp.79,86
low confidence hdp.80,81
low confidence hdp.81,79
low confidence hdp.82,74
low confidence hdp.83,71
low confidence hdp.84,71
low confidence hdp.85,62
low confidence hdp.86,61
low confidence hdp.87,60
low confidence hdp.88,60
low confidence hdp.89,57
low confidence hdp.90,55
low confidence hdp.91,50
low confidence hdp.92,49
low confidence hdp.93,48
low confidence hdp.94,46
low confidence hdp.95,43
low confidence hdp.96,40
low confidence hdp.97,39
low confidence hdp.98,36
low confidence hdp.99,34
low confidence hdp.100,34
low confidence hdp.101,33
low confidence hdp.102,32
low confidence hdp.103,31
low confidence hdp.104,29
low confidence hdp.105,28
low confidence hdp.106,28
low confidence hdp.107,26
low confidence hdp.108,26
low confidence hdp.109,25
low confidence hdp.110,25
low confidence hdp.111,22
low confidence hdp.112,21
low confidence hdp.113,20
low confidence hdp.114,20
low confidence hdp.115,19
low confidence hdp.116,18
low confidence hdp.117,17
low confidence hdp.118,16
low confidence hdp.119,15
low confidence hdp.120,14
low confidence hdp.121,14
low confidence hdp.122,13
low confidence hdp.123,12
low confidence hdp.124,12
low confidence hdp.125,12
low confidence hdp.126,11
low confidence hdp.127,11
low confidence hdp.128,11
low confidence hdp.129,10
low confidence hdp.130,10
low confidence hdp.131,10
low confidence hdp.132,10
low confidence hdp.133,9
low confidence hdp.134,8
low confidence hdp.135,8
low confidence hdp.136,7
low confidence hdp.137,6
low confidence hdp.138,6
low confidence hdp.139,6
low confidence hdp.140,6
low confidence hdp.141,5
low confidence hdp.142,5
low confidence hdp.143,4
low confidence hdp.144,4
low confidence hdp.145,4
low confidence hdp.146,4
low confidence hdp.147,4
low confidence hdp.148,4
low confidence hdp.149,4
low confidence hdp.150,4
low confidence hdp.151,4
low confidence hdp.152,4
low confidence hdp.153,4
low confidence hdp.154,4
low confidence hdp.155,3
low confidence hdp.156,3
low confidence hdp.157,3
low confidence hdp.158,2
low confidence hdp.159,2
low confidence hdp.160,2
low confidence hdp.161,2
low confidence hdp.162,2
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
low confidence hdp.166,2
low confidence hdp.167,2
low confidence hdp.168,2
low confidence hdp.169,2
low confidence hdp.170,2
low confidence hdp.171,2
low confidence hdp.172,2
low confidence hdp.173,2
low confidence hdp.174,2
low confidence hdp.175,2
low confidence hdp.176,2
low confidence hdp.177,2
low confidence hdp.178,2
low confidence hdp.179,2
low confidence hdp.180,2
low confidence hdp.181,2
low confidence hdp.182,2
low confidence hdp.183,2
low confidence hdp.184,2
low confidence hdp.185,2
low confidence hdp.186,2
low confidence hdp.187,2
low confidence hdp.188,2
low confidence hdp.189,2
low confidence hdp.190,2
low confidence hdp.191,2
low confidence hdp.192,2
low confidence hdp.193,2
low confidence hdp.194,2
low confidence hdp.195,2
low confidence hdp.196,2
low confidence hdp.197,2
low confidence hdp.198,2
low confidence hdp.199,2
low confidence hdp.200,2
