"","mean","stdev"
"averCosSim",0.99468093825869,0.00230195601220503
"falseNeg",3,1.22474487139159
"falsePos",2.4,1.14017542509914
"truePos",8,1.22474487139159
"TPR",0.727272727272727,0.111340442853781
"PPV",0.77,0.109544511501033
