"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.991196626501437,0.994276472729858,0.99437728010543,0.996701263250814,0.996853048705911
"falseNeg",2,2,3,3,5
"falsePos",1,2,2,3,4
"truePos",6,8,8,9,9
"TPR",0.545454545454545,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818
"PPV",0.6,0.75,0.8,0.8,0.9
