"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.921307265065802
"SBS96B","SBS2",0.997646537067
"SBS96C","SBS7b",0.985515320081821
"SBS96E","SBS4",0.994258701531129
"SBS96F","SBS3",0.923052621491325
"SBS96H","SBS1",0.999684233019506
"SBS96I","SBS44",0.994422858921426
"SBS96J","SBS17b",0.999478141331495
"SBS96K","SBS18",0.990886594787007
"SBS96L","SBS7c",0.99472024187033
"SBS96M","SBS17a",0.99971846896768
"SBS96N","SBS7d",0.969399329937421
"SBS96O","SBS35",0.917171647199443
"SBS96P","SBS13",0.998886480704891
"SBS96Q","SBS28",0.968132503090061
