Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3400
low confidence hdp.3,2129
low confidence hdp.4,2105
low confidence hdp.5,1799
low confidence hdp.6,1798
low confidence hdp.7,1597
low confidence hdp.8,1302
low confidence hdp.9,1122
low confidence hdp.10,1000
low confidence hdp.11,783
low confidence hdp.12,782
low confidence hdp.13,598
low confidence hdp.14,400
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,134
low confidence hdp.18,28
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
