Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.998),hdp.2 (ID8 0.999),hdp.3 (False Positive) (ID5 0.967),hdp.4 (ID3 0.998),hdp.5 (ID6 1),hdp.6 (ID5 0.972),hdp.7 (ID1 1),hdp.8 (ID13 0.999),hdp.9 (ID14 0.916),hdp.10 (ID11 0.999),hdp.11 (ID4 0.998),hdp.12 (ID9 0.998),hdp.13 (ID12 0.993),hdp.14 (ID10 0.987)
DEL,C,1,0,0.00460208753204353,0.0388035111687512,0.0190369780149167,0.11607412380101,0.0296616156532489,0.0199087437851649,0.000244049102392026,0.0505122423958524,0.0128343963714004,0.00279306480676553,0.00831865552795179,0.324473241923132,0.0482974062714883,0.0102273761159319
DEL,C,1,1,0.0001172708146113,0.0222159067492428,0.0263708047239143,0.219075774955502,0.00564156624020411,0.0276114585375913,0.000728996690476474,0.0143686195882857,0.00170364268915213,0.00123537172393219,0.00234063399794394,0.0945863879865423,0.0112807106709856,0.0238254491250562
DEL,C,1,2,3.04193935390082e-06,0.00292755325814941,0.0280930830028946,0.191350948365351,0.00785107825324352,0.0265504366032462,8.93272895831653e-06,0.00633997684942642,0.00096987547010307,0.000200862591924345,0.00145318204388355,0.00263317515746866,0.00193624600788192,0.0174957593654357
DEL,C,1,3,0.00242498564942297,0.00580221120088658,0.0131881598703411,0.0604936317562675,0.000911146780670536,0.0155073613186339,0.00170761630625719,0.00565669622787124,0.00073314402765886,0.000407954158640204,0.00124573567782526,0.00937483536984614,0.00557622430247046,0.00766430044174056
DEL,C,1,4,0.00339389916204104,0.00101164163667506,0.00215996467327167,0.0424870123577234,0.00291804654699113,0.00271866855206843,0.000768350559158166,0.00328400531931234,0.00270036957958967,0.000249658308277105,0.00167587189291412,0.0113773719108837,0.00309478706095996,0.00401151774211707
DEL,C,1,5+,0.0138252493534282,0.000643909573655973,0.00213981572393601,0.0228163560335184,0.00167615585921924,0.00244556035409552,0.0032914074800292,0.00139661390914305,0.00530656952106387,0.000759410642117299,0.0024126214869031,0.0011306709893791,0.0344688037378169,0.00657251620123893
DEL,T,1,0,0.00743603690400567,0.035731313429105,0.0655571094461223,0.036872925812801,0.00388773157255207,0.150081481503839,0.00102392222819832,0.0478115107475215,0.0238026867677501,0.000659697113791423,0.00408772839321787,0.0971527209193526,0.0243055066096014,0.0331087309919242
DEL,T,1,1,3.81446839048864e-06,0.00955094472638459,0.112899482436432,0.0114731582436087,0.000263493972166304,0.0957750708394132,8.58857086887644e-06,0.531628379134319,0.000588712649159505,0.00104116252592343,0.000805328392659882,0.0449050199911033,0.00404900726245223,0.0011757037293073
DEL,T,1,2,0.00597992339183785,0.00863178076549423,0.165312336505428,0.0143051766454769,0.0120532366399053,0.092560640220805,0.000763934825012464,0.0211147798353043,0.0121656713667942,0.000719902214832447,0.00100710485804065,0.0789266186055577,0.0206554594330166,0.00294092109532382
DEL,T,1,3,0.0169156205533866,0.00864221929337211,0.0781741793567445,0.0153073269201572,0.0211631335702679,0.07580787676876,0.00277993792878777,0.0597252407570229,0.0224771044902294,0.00152165490603354,0.00125609674632525,0.116486612754398,0.0173710675787731,0.00711155351176057
